tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
623	2652	331	0	0	10	198	778	0	0	30	15	39	864	458548	29563	289245	2009766
624	2584	157	0	0	3	356	418	0	0	59	33	68	551	459099	29566	289279	2046031
625	2515	164	0	0	18	518	415	0	0	30	18	39	504	459603	29584	289297	1933185
626	2425	103	0	0	3	392	293	0	0	10	6	19	350	459953	29587	289313	1869532
627	1884	131	0	0	2	230	354	0	0	17	9	26	421	460374	29589	289330	1421815
628	2276	70	0	0	1	634	208	0	0	18	9	27	276	460650	29590	289350	1724435
629	80	12	0	0	0	64	45	0	0	0	0	0	61	460711	29590	289354	21613
630	80	12	0	0	0	64	45	0	0	0	0	0	61	460772	29590	289356	134649
631	119	21	0	0	0	35	70	0	0	0	0	0	86	460858	29590	289358	31768
632	1718	132	0	0	2	242	356	0	0	5	3	14	405	461263	29592	289373	1324471
633	2448	347	0	0	7	256	724	0	0	115	84	113	953	462216	29599	289418	1855491
634	72335	72041	0	0	0	139	169542	0	0	18	9	27	169610	631826	29599	289426	15786260
635	3502	78	0	0	5	693	222	0	0	18	9	27	290	632116	29604	289444	2843598
636	3778	798	0	0	2	188	1702	0	0	10	6	19	1759	633875	29606	289459	2743985
637	122	11	0	0	0	64	42	0	0	0	0	0	58	633933	29606	289462	26456
638	450	34	0	0	1	138	111	0	0	6	3	15	161	634094	29607	289477	240489
639	373	25	0	0	0	139	84	0	0	30	15	39	170	634264	29607	289490	192713
640	441	41	0	0	1	112	124	0	0	23	12	32	200	634464	29608	289502	234733
641	472	39	0	0	3	123	118	0	0	35	18	44	212	634676	29611	289517	231075
642	127	15	0	0	0	64	54	0	0	6	3	15	104	634780	29611	289521	27077
643	315	33	0	0	0	139	107	0	0	0	0	0	123	634903	29611	289527	98108
644	586	54	0	0	7	139	163	0	0	12	6	21	222	635125	29618	289538	295826
645	455	44	0	0	1	139	131	0	0	0	0	0	147	635272	29619	289550	243921
646	411	30	0	0	0	139	99	0	0	0	0	0	115	635387	29619	289555	207300
647	475	56	0	0	1	126	157	0	0	12	6	21	216	635603	29620	289568	271956
648	897	303	0	0	6	123	658	0	0	12	6	21	717	636320	29626	289580	678469
649	653	59	0	0	12	139	162	0	0	18	9	27	230	636550	29638	289589	357389
650	586	48	0	0	2	126	139	0	0	18	9	27	207	636757	29640	289600	314973
