tu	cum_src	srcbytes	onl_tu_wire	ceil_tu_wire	cum_onl_wire	cum_ceil_wire	onl_tu_tok	ceil_tu_tok	cum_onl_tok	cum_ceil_tok	blocks	pairs
170	600432376	4713986	14817	14849	3203870	3153076	1183	476	136050	23590	12346	26928
171	605248013	4815637	14501	12644	3218371	3165720	959	398	137009	23988	12435	27139
172	607666650	2418637	1035	1471	3219406	3167191	52	143	137061	24131	12438	27168
173	612461885	4795235	31806	31348	3251212	3198539	884	522	137945	24653	12531	27418
174	614902821	2440936	2232	2489	3253444	3201028	74	152	138019	24805	12535	27450
175	619631264	4728443	15669	14260	3269113	3215288	763	251	138782	25056	12613	27635
176	623516510	3885246	2335	1984	3271448	3217272	255	118	139037	25174	12622	27677
177	628206717	4690207	15496	15002	3286944	3232274	800	565	139837	25739	12698	27896
178	632836551	4629834	3825	3550	3290769	3235824	834	452	140671	26191	12816	28028
179	632873134	36583	2302	2458	3293071	3238282	53	25	140724	26216	12817	28062
180	632889439	16305	1208	1154	3294279	3239436	26	10	140750	26226	12817	28073
181	633395262	505823	127596	127534	3421875	3366970	52	25	140802	26251	12817	28086
182	633476860	81598	1145	1378	3423020	3368348	146	42	140948	26293	12817	28141
183	633599270	122410	2693	2621	3425713	3370969	188	60	141136	26353	12817	28214
184	633619426	20156	3101	3057	3428814	3374026	29	13	141165	26366	12819	28226
185	633667409	47983	3775	3789	3432589	3377815	52	41	141217	26407	12819	28261
186	633892608	225199	27901	27810	3460490	3405625	213	122	141430	26529	12823	28343
187	633939793	47185	3250	3179	3463740	3408804	57	35	141487	26564	12826	28371
188	634065696	125903	3933	3728	3467673	3412532	266	173	141753	26737	12830	28485
189	635434159	1368463	197269	197132	3664942	3609664	533	185	142286	26922	12835	28919
190	636705498	1271339	11222	10510	3676164	3620174	552	207	142838	27129	12837	28989
191	637818684	1113186	4096	3733	3680260	3623907	400	67	143238	27196	12895	29043
192	639023474	1204790	13643	12883	3693903	3636790	674	349	143912	27545	12896	29406
193	640219357	1195883	22301	21669	3716204	3658459	444	118	144356	27663	12897	29509
194	641370939	1151582	5181	4551	3721385	3663010	491	168	144847	27831	12903	29629
195	642462878	1091939	1211	572	3722596	3663582	335	31	145182	27862	12925	29650
196	642997375	534497	3375	3197	3725971	3666779	126	88	145308	27950	12950	29730
197	644138504	1141129	7496	6796	3733467	3673575	371	81	145679	28031	13162	29788
198	645280704	1142200	6548	5443	3740015	3679018	263	101	145942	28132	13162	29944
199	645461787	181083	35389	35512	3775404	3714530	32	22	145974	28154	13162	29960
200	646795216	1333429	22418	22098	3797822	3736628	542	410	146516	28564	13164	30189
201	648026567	1231351	2784	2565	3800606	3739193	374	246	146890	28810	13191	30243
202	648076877	50310	3773	3746	3804379	3742939	36	22	146926	28832	13193	30259
203	648681270	604393	3059	2826	3807438	3745765	184	72	147110	28904	13195	30303
204	649786237	1104967	1676	1341	3809114	3747106	215	60	147325	28964	13203	30327
205	650390467	604230	1956	1689	3811070	3748795	156	26	147481	28990	13204	30341
206	650474845	84378	1069	993	3812139	3749788	85	52	147566	29042	13213	30373
207	651645692	1170847	8839	8460	3820978	3758248	331	166	147897	29208	13221	30486
208	652180351	534659	4511	4444	3825489	3762692	56	41	147953	29249	13226	30519
209	652216596	36245	956	914	3826445	3763606	20	16	147973	29265	13226	30535
210	652385543	168947	18808	18636	3845253	3782242	256	198	148229	29463	13233	30738
211	654999687	2614144	44528	44046	3889781	3826288	561	281	148790	29744	13293	30969
212	656294768	1295081	16625	16792	3906406	3843080	326	323	149116	30067	13296	31212
213	656322609	27841	904	905	3907310	3843985	26	27	149142	30094	13296	31227
214	658037312	1714703	1808	1539	3909118	3845524	427	227	149569	30321	13315	31299
215	659659386	1622074	2746	2672	3911864	3848196	437	239	150006	30560	13359	31423
216	660686390	1027004	1170	926	3913034	3849122	129	84	150135	30644	13364	31469
217	664600843	3914453	3373	2751	3916407	3851873	268	126	150403	30770	13387	31562
