tu	cum_src	srcbytes	onl_tu_wire	ceil_tu_wire	cum_onl_wire	cum_ceil_wire	onl_tu_tok	ceil_tu_tok	cum_onl_tok	cum_ceil_tok	blocks	pairs
351	875971276	4079048	44115	42431	5885178	5804167	568	435	181322	54135	15241	40595
352	879941222	3969946	8390	8431	5893568	5812598	735	647	182057	54782	15253	40829
353	881881598	1940376	5322	5161	5898890	5817759	170	93	182227	54875	15255	40920
354	884829977	2948379	7025	6819	5905915	5824578	209	141	182436	55016	15263	41021
355	888491849	3661872	34429	34296	5940344	5858874	477	398	182913	55414	15276	41302
356	896384982	7893133	268960	267312	6209304	6126186	3005	2597	185918	58011	15310	43217
357	899036458	2651476	3307	3245	6212611	6129431	88	68	186006	58079	15314	43251
358	902812929	3776471	16392	16415	6229003	6145846	413	310	186419	58389	15323	43410
359	905539024	2726095	4105	4014	6233108	6149860	183	129	186602	58518	15331	43496
360	909846960	4307936	35164	34778	6268272	6184638	540	411	187142	58929	15353	43755
361	913375011	3528051	46565	46895	6314837	6231533	218	355	187360	59284	15357	43895
362	917276706	3901695	8140	8091	6322977	6239624	287	271	187647	59555	15368	44010
363	920814946	3538240	7746	7577	6330723	6247201	264	213	187911	59768	15389	44089
364	924308148	3493202	25211	25192	6355934	6272393	389	372	188300	60140	15400	44386
365	928306239	3998091	46494	46437	6402428	6318830	540	494	188840	60634	15406	44733
366	932743317	4437078	86220	86143	6488648	6404973	527	402	189367	61036	15443	44988
367	938013203	5269886	113155	113207	6601803	6518180	1346	1191	190713	62227	15469	45747
368	942121756	4108553	27540	27325	6629343	6545505	475	377	191188	62604	15480	46002
369	946318779	4197023	35723	36044	6665066	6581549	545	599	191733	63203	15497	46319
370	949625497	3306718	11857	11756	6676923	6593305	144	106	191877	63309	15502	46390
371	952143167	2517670	8214	8189	6685137	6601494	169	148	192046	63457	15504	46487
372	955368792	3225625	2748	2762	6687885	6604256	134	133	192180	63590	15506	46538
373	958742913	3374121	24325	24207	6712210	6628463	295	263	192475	63853	15509	46744
374	961415127	2672214	1656	1768	6713866	6630231	87	103	192562	63956	15510	46766
375	964170951	2755824	7683	7870	6721549	6638101	129	213	192691	64169	15512	46823
376	966816891	2645940	1048	934	6722597	6639035	46	11	192737	64180	15514	46835
377	969466905	2650014	1351	1249	6723948	6640284	45	11	192782	64191	15514	46847
378	972112053	2645148	1090	996	6725038	6641280	49	17	192831	64208	15518	46863
379	974756105	2644052	724	617	6725762	6641897	50	21	192881	64229	15523	46883
380	977748454	2992349	1198	1437	6726960	6643334	114	228	192995	64457	15528	46927
381	980392477	2644023	667	563	6727627	6643897	39	11	193034	64468	15533	46942
382	983075667	2683190	4226	4128	6731853	6648025	57	34	193091	64502	15536	46979
383	985724312	2648645	1001	921	6732854	6648946	34	10	193125	64512	15538	46991
384	990801350	5077038	99215	98783	6832069	6747729	1624	1400	194749	65912	15562	48007
385	994463627	3662277	10035	9942	6842104	6757671	217	167	194966	66079	15569	48123
386	999010371	4546744	43851	43505	6885955	6801176	1139	957	196105	67036	15605	48626
387	1003186589	4176218	12800	12364	6898755	6813540	636	501	196741	67537	15630	48838
388	1006414142	3227553	4808	5021	6903563	6818561	204	263	196945	67800	15638	48907
389	1010774075	4359933	46463	46126	6950026	6864687	832	719	197777	68519	15670	49281
390	1014375202	3601127	13732	13806	6963758	6878493	295	223	198072	68742	15682	49446
391	1018497797	4122595	2842	3651	6966600	6882144	202	334	198274	69076	15687	49527
392	1023020060	4522263	34295	34088	7000895	6916232	430	375	198704	69451	15727	49693
393	1027012130	3992070	19992	19796	7020887	6936028	398	352	199102	69803	15736	49808
394	1030631013	3618883	4397	4265	7025284	6940293	244	197	199346	70000	15747	49833
395	1034931071	4300058	13125	12781	7038409	6953074	348	311	199694	70311	15760	49947
396	1038715331	3784260	17431	16986	7055840	6970060	620	453	200314	70764	15823	50083
397	1041706816	2991485	2453	2271	7058293	6972331	196	127	200510	70891	15832	50156
398	1046741352	5034536	30109	29702	7088402	7002033	772	601	201282	71492	15860	50508
399	1051684051	4942699	90993	90612	7179395	7092645	1090	943	202372	72435	15903	50971
400	1055669028	3984977	10467	10194	7189862	7102839	394	302	202766	72737	15923	51077
401	1060751527	5082499	75576	75045	7265438	7177884	1096	958	203862	73695	15966	51656
402	1064331822	3580295	8098	7926	7273536	7185810	346	275	204208	73970	15991	51767
403	1068852929	4521107	14738	14377	7288274	7200187	499	392	204707	74362	16011	51966
404	1073751960	4899031	9468	9268	7297742	7209455	576	554	205283	74916	16045	52213
405	1078053805	4301845	33762	33487	7331504	7242942	636	613	205919	75529	16077	52510
406	1083577793	5523988	42713	42309	7374217	7285251	1516	1401	207435	76930	16111	53311
407	1086600690	3022897	11670	10874	7385887	7296125	304	214	207739	77144	16112	53570
408	1090335674	3734984	9240	9060	7395127	7305185	337	320	208076	77464	16123	53719
409	1094057478	3721804	13523	13450	7408650	7318635	282	283	208358	77747	16135	53841
410	1097748771	3691293	32854	32777	7441504	7351412	277	258	208635	78005	16140	54028
411	1100588240	2839469	2191	2150	7443695	7353562	77	58	208712	78063	16141	54068
412	1104309918	3721678	21402	21406	7465097	7374968	159	174	208871	78237	16148	54171
413	1108963240	4653322	53244	53472	7518341	7428440	522	641	209393	78878	16168	54462
414	1113747363	4784123	6257	5939	7524598	7434379	413	316	209806	79194	16189	54622
415	1117486656	3739293	23949	23967	7548547	7458346	312	320	210118	79514	16206	54778
416	1120882008	3395352	5053	5213	7553600	7463559	145	231	210263	79745	16210	54850
417	1124290092	3408084	6482	7379	7560082	7470938	190	313	210453	80058	16213	54928
418	1127522584	3232492	3161	3204	7563243	7474142	112	132	210565	80190	16223	54969
419	1131138448	3615864	4214	4121	7567457	7478263	197	191	210762	80381	16233	55050
420	1134367603	3229155	4601	4389	7572058	7482652	91	18	210853	80399	16235	55074
421	1138038583	3670980	8467	8244	7580525	7490896	206	117	211059	80516	16244	55155
422	1141265050	3226467	842	788	7581367	7491684	68	65	211127	80581	16248	55186
423	1145244816	3979766	19037	19357	7600404	7511041	237	363	211364	80944	16255	55308
424	1148904199	3659383	3445	3237	7603849	7514278	200	127	211564	81071	16265	55379
425	1153219297	4315098	31087	30705	7634936	7544983	646	295	212210	81366	16278	55557
426	1156512651	3293354	5689	5438	7640625	7550421	144	63	212354	81429	16285	55614
427	1160051838	3539187	12112	12106	7652737	7562527	175	176	212529	81605	16286	55711
428	1164308280	4256442	13941	13749	7666678	7576276	345	298	212874	81903	16300	55862
429	1168040563	3732283	20347	19833	7687025	7596109	359	392	213233	82295	16303	56110
430	1171215583	3175020	8031	8024	7695056	7604133	231	233	213464	82528	16310	56230
431	1176893710	5678127	55373	55215	7750429	7659348	811	687	214275	83215	16373	56608
432	1182271532	5377822	53740	53526	7804169	7712874	677	638	214952	83853	16406	56931
433	1185990655	3719123	1599	1626	7805768	7714500	122	149	215074	84002	16419	56967
434	1189234354	3243699	4089	4075	7809857	7718575	96	97	215170	84099	16421	57027
435	1193342418	4108064	51785	51712	7861642	7770287	416	415	215586	84514	16427	57270
436	1198375125	5032707	18390	18015	7880032	7788302	777	706	216363	85220	16460	57474
437	1201472562	3097437	4651	4928	7884683	7793230	213	311	216576	85531	16467	57581
438	1205578224	4105662	3919	3813	7888602	7797043	432	310	217008	85841	16470	57621
439	1210389222	4810998	58206	57766	7946808	7854809	738	501	217746	86342	16480	57873
440	1213172631	2783409	1932	1988	7948740	7856797	95	102	217841	86444	16482	57935
441	1219129328	5956697	107260	106519	8056000	7963316	1374	1200	219215	87644	16528	58703
442	1223220259	4090931	938	1241	8056938	7964557	88	235	219303	87879	16531	58725
443	1227469755	4249496	17071	17349	8074009	7981906	181	318	219484	88197	16544	58761
444	1231794878	4325123	9063	8914	8083072	7990820	412	339	219896	88536	16550	58890
445	1236232702	4437824	10049	10282	8093121	8001102	507	384	220403	88920	16565	58989
446	1240191313	3958611	4328	4315	8097449	8005417	237	250	220640	89170	16571	59090
447	1245238459	5047146	122047	122246	8219496	8127663	1155	1212	221795	90382	16579	59801
448	1249423600	4185141	5758	5516	8225254	8133179	295	263	222090	90645	16592	59911
449	1253504318	4080718	17593	17412	8242847	8150591	578	553	222668	91198	16609	60229
450	1257835853	4331535	15668	15574	8258515	8166165	360	338	223028	91536	16634	60339
451	1262742599	4906746	15513	15375	8274028	8181540	409	392	223437	91928	16657	60468
452	1268761809	6019210	190909	190688	8464937	8372228	1716	1680	225153	93608	16685	61613
453	1272268023	3506214	6479	6670	8471416	8378898	237	354	225390	93962	16692	61727
454	1276900611	4632588	50622	50325	8522038	8429223	1050	996	226440	94958	16716	62238
455	1280295509	3394898	2137	2073	8524175	8431296	289	264	226729	95222	16732	62294
456	1283642020	3346511	3447	3389	8527622	8434685	351	350	227080	95572	16739	62410
457	1287648427	4006407	13904	13855	8541526	8448540	604	603	227684	96175	16761	62647
458	1292031780	4383353	10228	10065	8551754	8458605	740	740	228424	96915	16786	62779
459	1296112129	4080349	37098	36939	8588852	8495544	717	668	229141	97583	16838	63144
460	1299311860	3199731	7250	7246	8596102	8502790	208	206	229349	97789	16845	63248
461	1303568421	4256561	14918	15418	8611020	8518208	425	525	229774	98314	16866	63435
462	1308623897	5055476	77936	77649	8688956	8595857	1021	949	230795	99263	16884	64165
463	1313196001	4572104	40179	40264	8729135	8636121	612	657	231407	99920	16890	64475
464	1315690987	2494986	2830	2794	8731965	8638915	98	87	231505	100007	16892	64529
465	1319005190	3314203	11113	11028	8743078	8649943	347	327	231852	100334	16900	64698
466	1323071091	4065901	20796	20728	8763874	8670671	446	465	232298	100799	16913	64970
467	1328018137	4947046	53417	53420	8817291	8724091	382	371	232680	101170	16923	65124
468	1330913854	2895717	4729	4731	8822020	8728822	114	113	232794	101283	16925	65164
469	1338075606	7161752	247391	247209	9069411	8976031	749	726	233543	102009	16943	65556
470	1341244536	3168930	8332	8280	9077743	8984311	217	222	233760	102231	16955	65665
471	1344661965	3417429	9201	9196	9086944	8993507	360	369	234120	102600	16968	65865
472	1348088402	3426437	8131	8060	9095075	9001567	280	267	234400	102867	16982	65969
473	1352747208	4658806	38724	38465	9133799	9040032	626	618	235026	103485	17032	66327
474	1357712973	4965765	41411	41433	9175210	9081465	994	1076	236020	104561	17072	66781
475	1363250037	5537064	58931	58517	9234141	9139982	1189	1203	237209	105764	17109	67412
476	1368041108	4791071	32855	33319	9266996	9173301	552	622	237761	106386	17135	67679
477	1373240678	5199570	57264	57032	9324260	9230333	1133	1182	238894	107568	17191	68229
478	1377818252	4577574	15996	16013	9340256	9246346	464	497	239358	108065	17210	68444
479	1381624931	3806679	16631	16595	9356887	9262941	365	403	239723	108468	17221	68652
480	1385498014	3873083	23314	23405	9380201	9286346	338	397	240061	108865	17230	68871
481	1389933959	4435945	23698	23645	9403899	9309991	731	827	240792	109692	17264	69275
482	1394666040	4732081	37823	37719	9441722	9347710	686	792	241478	110484	17295	69585
483	1398057473	3391433	10909	11048	9452631	9358758	286	335	241764	110819	17296	69721
484	1402627687	4570214	10315	10221	9462946	9368979	457	474	242221	111293	17313	69947
485	1408197332	5569645	107779	107735	9570725	9476714	1232	1274	243453	112567	17332	70653
486	1412531784	4334452	18781	19055	9589506	9495769	379	523	243832	113090	17351	70842
487	1416721950	4190166	11335	11607	9600841	9507376	349	502	244181	113592	17383	70975
488	1421978388	5256438	67121	67174	9667962	9574550	795	837	244976	114429	17396	71417
489	1426183869	4205481	14912	15096	9682874	9589646	494	595	245470	115024	17407	71637
490	1430314389	4130520	6514	6657	9689388	9596303	380	471	245850	115495	17419	71738
491	1434545914	4231525	20079	20353	9709467	9616656	375	517	246225	116012	17430	71891
492	1438716871	4170957	13456	13593	9722923	9630249	229	233	246454	116245	17442	72040
493	1441827552	3110681	7746	7838	9730669	9638087	158	210	246612	116455	17446	72135
494	1446663672	4836120	43373	43429	9774042	9681516	965	1113	247577	117568	17533	72414
495	1450427639	3763967	28676	28869	9802718	9710385	313	374	247890	117942	17540	72611
496	1455818005	5390366	123116	123502	9925834	9833887	1142	1365	249032	119307	17569	73411
497	1459698923	3880918	7950	7995	9933784	9841882	181	222	249213	119529	17578	73510
498	1464625409	4926486	23442	23545	9957226	9865427	531	632	249744	120161	17594	73776
499	1472219751	7594342	204786	206665	10162012	10072092	15627	15676	265371	135837	17598	89153
500	1483187677	10967926	399124	408657	10561136	10480749	34079	33299	299450	169136	17707	121333
501	1487632925	4445248	5955	5351	10567091	10486100	760	466	300210	169602	17723	121584
502	1491912807	4279882	4863	5190	10571954	10491290	556	162	300766	169764	17763	121759
503	1496529791	4616984	29966	28449	10601920	10519739	2441	2002	303207	171766	17767	123782
504	1500828646	4298855	8259	7213	10610179	10526952	874	507	304081	172273	17814	124294
505	1505096532	4267886	4014	4329	10614193	10531281	420	540	304501	172813	17828	124581
506	1509524150	4427618	15356	14110	10629549	10545391	1467	1128	305968	173941	17919	125753
507	1513756983	4232833	2368	1301	10631917	10546692	318	34	306286	173975	17934	125857
508	1518107074	4350091	7353	6998	10639270	10553690	734	601	307020	174576	18028	126255
509	1522401535	4294461	8087	7030	10647357	10560720	632	405	307652	174981	18034	126738
510	1526632260	4230725	2285	1734	10649642	10562454	297	75	307949	175056	18044	126822
511	1531022476	4390216	2967	2715	10652609	10565169	468	405	308417	175461	18072	126981
512	1535284959	4262483	4835	4522	10657444	10569691	457	323	308874	175784	18075	127259
513	1539511056	4226097	1792	1297	10659236	10570988	245	43	309119	175827	18097	127312
514	1544055284	4544228	17966	17231	10677202	10588219	2084	1886	311203	177713	18151	129216
515	1548443627	4388343	2485	2218	10679687	10590437	389	385	311592	178098	18158	129349
516	1552937169	4493542	9812	9358	10689499	10599795	791	642	312383	178740	18204	129955
517	1557255183	4318014	8719	8357	10698218	10608152	783	719	313166	179459	18204	130634
518	1561584851	4329668	4865	4873	10703083	10613025	469	461	313635	179920	18209	130939
519	1565827446	4242595	2493	2135	10705576	10615160	288	159	313923	180079	18224	131107
520	1570229215	4401769	12791	12355	10718367	10627515	1208	1084	315131	181163	18234	132205
521	1574512692	4283477	12011	11708	10730378	10639223	209	97	315340	181260	18243	132310
522	1578975383	4462691	18506	18090	10748884	10657313	1690	1582	317030	182842	18267	133904
523	1583230095	4254712	3954	3583	10752838	10660896	311	219	317341	183061	18271	134144
524	1587658127	4428032	4033	4090	10756871	10664986	443	504	317784	183565	18306	134368
525	1592178774	4520647	24293	23874	10781164	10688860	2127	2043	319911	185608	18307	136442
526	1596580070	4401296	10452	10495	10791616	10699355	973	1035	320884	186643	18309	137267
527	1600828258	4248188	2604	2365	10794220	10701720	237	153	321121	186796	18315	137423
528	1605060690	4232432	2101	1850	10796321	10703570	168	91	321289	186887	18321	137522
529	1609339578	4278888	5802	5966	10802123	10709536	489	497	321778	187384	18328	137933
530	1614285039	4945461	55165	55039	10857288	10764575	4487	4457	326265	191841	18341	142328
531	1618526793	4241754	5932	6117	10863220	10770692	160	250	326425	192091	18345	142437
532	1622871717	4344924	11217	10997	10874437	10781689	945	883	327370	192974	18358	143325
533	1627132595	4260878	4379	4436	10878816	10786125	327	321	327697	193295	18362	143604
534	1631384794	4252199	1373	1220	10880189	10787345	98	46	327795	193341	18369	143650
535	1635780302	4395508	1513	1390	10881702	10788735	129	92	327924	193433	18375	143696
536	1640035224	4254922	3470	3326	10885172	10792061	311	263	328235	193696	18379	143958
537	1644475818	4440594	6210	6046	10891382	10798107	454	406	328689	194102	18385	144359
538	1648762280	4286462	6372	6206	10897754	10804313	455	414	329144	194516	18389	144779
539	1652993257	4230977	2612	2491	10900366	10806804	88	50	329232	194566	18391	144833
540	1657263314	4270057	4703	4583	10905069	10811387	359	322	329591	194888	18407	145154
541	1661506864	4243550	2437	2911	10907506	10814298	180	388	329771	195276	18409	145309
542	1665727712	4220848	691	555	10908197	10814853	42	15	329813	195291	18410	145337
543	1669958063	4230351	1554	1489	10909751	10816342	81	56	329894	195347	18410	145391
544	1674708198	4750135	33610	34004	10943361	10850346	2582	2712	332476	198059	18419	147878
545	1679625869	4917671	33326	34166	10976687	10884512	1948	2156	334424	200215	18420	149653
546	1683918366	4292497	3844	4063	10980531	10888575	348	437	334772	200652	18424	149942
547	1688773585	4855219	89812	89676	11070343	10978251	784	664	335556	201316	18484	150253
548	1696312243	7538658	201715	201681	11272058	11179932	14085	14206	349641	215522	18557	164101
549	1700618562	4306319	2554	2511	11274612	11182443	155	148	349796	215670	18562	164222
550	1704640584	4022022	4745	4772	11279357	11187215	182	204	349978	215874	18570	164295
551	1708817083	4176499	1662	1565	11281019	11188780	60	40	350038	215914	18574	164318
552	1711175014	2357931	1264	847	11282283	11189627	128	47	350166	215961	18574	164377
553	1715393754	4218740	1045	848	11283328	11190475	95	56	350261	216017	18583	164421
554	1719612375	4218621	953	782	11284281	11191257	88	56	350349	216073	18586	164456
555	1723490104	3877729	685	580	11284966	11191837	33	5	350382	216078	18587	164464
556	1728052349	4562245	12147	12033	11297113	11203870	183	158	350565	216236	18591	164542
557	1732104428	4052079	3484	3103	11300597	11206973	349	291	350914	216527	18598	164639
558	1736126450	4022022	557	572	11301154	11207545	175	204	351089	216731	18608	164651
559	1740302949	4176499	203	140	11301357	11207685	48	40	351137	216771	18610	164654
560	1742660880	2357931	361	159	11301718	11207844	127	47	351264	216818	18611	164656
561	1747066520	4405640	5027	4857	11306745	11212701	465	416	351729	217234	18627	164850
562	1751309746	4243226	1774	1711	11308519	11214412	428	311	352157	217545	18929	164868
563	1751363069	53323	456	394	11308975	11214806	41	18	352198	217563	18929	164884
564	1755326687	3963618	11037	11100	11320012	11225906	115	177	352313	217740	18934	164954
565	1759871689	4545002	9024	9033	11329036	11234939	218	251	352531	217991	18947	165052
566	1764205664	4333975	6442	6341	11335478	11241280	287	261	352818	218252	18950	165314
567	1766999597	2793933	2610	2504	11338088	11243784	212	172	353030	218424	18955	165446
568	1771275022	4275425	4847	4762	11342935	11248546	272	251	353302	218675	18955	165698
569	1776308392	5033370	41545	41484	11384480	11290030	2785	2772	356087	221447	18963	168376
570	1780578919	4270527	1621	1686	11386101	11291716	115	146	356202	221593	18965	168428
571	1785031773	4452854	9449	9260	11395550	11300976	751	677	356953	222270	18966	169003
572	1789620938	4589165	20211	20083	11415761	11321059	1622	1612	358575	223882	18972	170499
573	1793139684	3518746	6818	6891	11422579	11327950	559	592	359134	224474	18974	171000
574	1797374458	4234774	1854	1800	11424433	11329750	102	89	359236	224563	18974	171090
575	1801704733	4330275	7631	7866	11432064	11337616	406	508	359642	225071	18976	171421
576	1806086891	4382158	11741	12437	11443805	11350053	812	1012	360454	226083	18998	172167
577	1811093202	5006311	41029	40686	11484834	11390739	482	415	360936	226498	19004	172487
578	1815349282	4256080	6589	6655	11491423	11397394	137	161	361073	226659	19004	172560
579	1819584129	4234847	1633	1594	11493056	11398988	101	89	361174	226748	19005	172649
580	1823853163	4269034	3203	3378	11496259	11402366	261	330	361435	227078	19007	172888
581	1828999793	5146630	34190	34652	11530449	11437018	2487	2668	363922	229746	19017	175277
582	1829670876	671083	4636	4776	11535085	11441794	33	84	363955	229830	19018	175287
583	1832092161	2421285	14420	14377	11549505	11456171	141	155	364096	229985	19018	175381
584	1834064067	1971906	10169	10024	11559674	11466195	438	389	364534	230374	19059	175529
585	1836723080	2659013	8236	8425	11567910	11474620	156	234	364690	230608	19064	175616
586	1836880816	157736	8448	8398	11576358	11483018	218	208	364908	230816	19064	175804
587	1837030150	149334	6875	8020	11583233	11491038	155	51	365063	230867	19067	175942
588	1837178198	148048	5611	5371	11588844	11496409	209	108	365272	230975	19067	176053
589	1837334056	155858	4043	3833	11592887	11500242	240	139	365512	231114	19074	176109
590	1837453344	119288	4829	4764	11597716	11505006	214	144	365726	231258	19074	176198
591	1837638665	185321	7507	7304	11605223	11512310	259	163	365985	231421	19074	176261
592	1837840753	202088	10325	10128	11615548	11522438	314	218	366299	231639	19076	176352
593	1838046752	205999	10844	10623	11626392	11533061	415	321	366714	231960	19076	176577
594	1838207700	160948	2718	2525	11629110	11535586	257	163	366971	232123	19143	176630
595	1838325434	117734	2032	1972	11631142	11537558	186	186	367157	232309	19149	176696
596	1838489384	163950	4678	4455	11635820	11542013	185	130	367342	232439	19157	176747
597	1838645914	156530	6319	6144	11642139	11548157	261	210	367603	232649	19161	176960
598	1838872540	226626	12081	11930	11654220	11560087	543	499	368146	233148	19211	177288
599	1839034514	161974	2960	2829	11657180	11562916	249	200	368395	233348	19211	177362
600	1839184559	150045	4670	4349	11661850	11567265	322	303	368717	233651	19211	177521
601	1839397223	212664	5685	5573	11667535	11572838	410	386	369127	234037	19213	177621
602	1839562821	165598	2238	2135	11669773	11574973	215	193	369342	234230	19241	177658
603	1839685985	123164	625	401	11670398	11575374	49	16	369391	234246	19249	177691
604	1839808931	122946	720	622	11671118	11575996	49	22	369440	234268	19249	177714
605	1839940277	131346	3386	3353	11674504	11579349	193	196	369633	234464	19251	177794
606	1840231609	291332	11773	11683	11686277	11591032	680	679	370313	235143	19275	178087
607	1840399402	167793	3726	3663	11690003	11594695	59	33	370372	235176	19276	178108
608	1840550186	150784	3514	3444	11693517	11598139	61	36	370433	235212	19276	178134
609	1843867373	3317187	6001	5704	11699518	11603843	504	467	370937	235679	19353	178217
610	1844272417	405044	54736	54755	11754254	11658598	368	367	371305	236046	19354	178552
611	1845159090	886673	1409	1595	11755663	11660193	139	148	371444	236194	19360	178619
612	1847092743	1933653	10760	10621	11766423	11670814	384	342	371828	236536	19368	178826
613	1849131711	2038968	11453	11316	11777876	11682130	488	443	372316	236979	19392	178953
614	1851256629	2124918	15761	15444	11793637	11697574	635	532	372951	237511	19418	179202
615	1853160245	1903616	4641	4039	11798278	11701613	303	216	373254	237727	19426	179366
616	1854880537	1720292	2103	1985	11800381	11703598	273	249	373527	237976	19451	179440
617	1856898857	2018320	6571	6292	11806952	11709890	509	439	374036	238415	19484	179581
618	1858790675	1891818	4706	4555	11811658	11714445	356	325	374392	238740	19509	179662
619	1860717520	1926845	19398	19221	11831056	11733666	507	502	374899	239242	19519	179960
620	1860728417	10897	1097	1098	11832153	11734764	14	14	374913	239256	19519	179971
621	1862598902	1870485	6380	6184	11838533	11740948	335	321	375248	239577	19523	180148
622	1864784534	2185632	4726	4645	11843259	11745593	298	275	375546	239852	19534	180240
623	1866694512	1909978	9366	9255	11852625	11754848	412	396	375958	240248	19593	180362
624	1868704238	2009726	12702	12382	11865327	11767230	598	543	376556	240791	19654	180577
625	1870750229	2045991	8646	8532	11873973	11775762	304	321	376860	241112	19661	180683
626	1872683374	1933145	3480	3436	11877453	11779198	342	320	377202	241432	19736	180757
627	1874552866	1869492	4720	4848	11882173	11784046	175	206	377377	241638	19743	180826
628	1875974641	1421775	1655	1588	11883828	11785634	236	202	377613	241840	19749	180911
629	1877699036	1724395	2699	2865	11886527	11788499	152	234	377765	242074	19762	180956
630	1877720609	21573	4729	4730	11891256	11793229	14	14	377779	242088	19762	180967
631	1877855218	134609	39267	39268	11930523	11832497	14	14	377793	242102	19762	180971
632	1877886946	31728	1540	1547	11932063	11834044	21	24	377814	242126	19762	180989
633	1879211377	1324431	2151	2189	11934214	11836233	178	173	377992	242299	19767	181067
634	1881066828	1855451	1492	1523	11935706	11837756	419	464	378411	242763	19778	181147
635	1896853048	15786220	710064	710135	12645770	12547891	72062	72070	450473	314833	19778	253184
636	1899696606	2843558	5082	5197	12650852	12553088	123	173	450596	315006	19781	253237
637	1902440551	2743945	76358	76186	12727210	12629274	864	785	451460	315791	19791	253862
638	1902466967	26416	407	519	12727617	12629793	21	20	451481	315811	19791	253878
639	1902707416	240449	25799	26507	12753416	12656300	157	69	451638	315880	19792	254022
640	1902900089	192673	1726	1925	12755142	12658225	95	64	451733	315944	19792	254044
641	1903134782	234693	3457	3379	12758599	12661604	150	86	451883	316030	19794	254079
642	1903365817	231035	6484	6856	12765083	12668460	164	81	452047	316111	19797	254168
643	1903392854	27037	432	418	12765515	12668878	24	25	452071	316136	19797	254183
644	1903490922	98068	4702	4714	12770217	12673592	50	50	452121	316186	19800	254214
645	1903786708	295786	4919	4840	12775136	12678432	274	96	452395	316282	19801	254263
646	1904030589	243881	5791	5741	12780927	12684173	159	94	452554	316376	19804	254298
647	1904237849	207260	1818	1713	12782745	12685886	113	67	452667	316443	19805	254311
648	1904509765	271916	10791	10684	12793536	12696570	179	106	452846	316549	19841	254345
649	1905188194	678429	72194	71722	12865730	12768292	554	391	453400	316940	19848	254678
650	1905545543	357349	2912	2568	12868642	12770860	310	154	453710	317094	19887	254712
651	1905860476	314933	5227	4758	12873869	12775618	226	82	453936	317176	19920	254755
652	1906244244	383768	7059	6678	12880928	12782296	314	203	454250	317379	19922	254839
653	1906626382	382138	6722	6457	12887650	12788753	270	155	454520	317534	19935	254856
654	1907006686	380304	5998	5723	12893648	12794476	264	157	454784	317691	19990	254878
655	1907456044	449358	15294	14873	12908942	12809349	255	178	455039	317869	20010	254940
656	1907839264	383220	10275	10037	12919217	12819386	255	188	455294	318057	20033	254990
657	1908267378	428114	17413	17168	12936630	12836554	386	323	455680	318380	20092	255188
658	1908677650	410272	12485	12170	12949115	12848724	213	191	455893	318571	20106	255269
659	1909042314	364664	12339	12220	12961454	12860944	186	139	456079	318710	20132	255350
660	1909357678	315364	5122	4945	12966576	12865889	183	144	456262	318854	20135	255439
661	1909745645	387967	15114	15027	12981690	12880916	181	145	456443	318999	20136	255512
662	1910156785	411140	20258	20195	13001948	12901111	271	242	456714	319241	20168	255654
663	1910390514	233729	1241	1130	13003189	12902241	72	74	456786	319315	20168	255694
664	1910631973	241459	1736	1751	13004925	12903992	100	103	456886	319418	20175	255728
665	1910680605	48632	1253	1238	13006178	12905230	74	66	456960	319484	20175	255770
666	1911072280	391675	13400	13232	13019578	12918462	319	286	457279	319770	20186	256007
667	1911230988	158708	15060	15041	13034638	12933503	228	223	457507	319993	20186	256212
668	1911666016	435028	7621	7561	13042259	12941064	327	329	457834	320322	20192	256392
669	1912116878	450862	14613	14523	13056872	12955587	389	380	458223	320702	20197	256644
670	1916195361	4078483	2233	2013	13059105	12957600	114	85	458337	320787	20200	256718
671	1920108428	3913067	14465	14566	13073570	12972166	194	210	458531	320997	20215	256799
672	1924269468	4161040	37081	37180	13110651	13009346	761	846	459292	321843	20284	257103
673	1928367152	4097684	3463	3357	13114114	13012703	77	52	459369	321895	20287	257145
674	1932269586	3902434	2630	2652	13116744	13015355	187	211	459556	322106	20297	257172
675	1936219365	3949779	9256	9266	13126000	13024621	176	206	459732	322312	20304	257198
676	1940125943	3906578	4991	5063	13130991	13029684	167	205	459899	322517	20310	257217
677	1944116926	3990983	15204	15259	13146195	13044943	190	232	460089	322749	20319	257252
678	1948063861	3946935	3767	3866	13149962	13048809	181	236	460270	322985	20333	257286
679	1952003945	3940084	3024	3380	13152986	13052189	118	221	460388	323206	20343	257329
680	1956131790	4127845	4567	4615	13157553	13056804	162	230	460550	323436	20380	257373
681	1960167322	4035532	13971	14367	13171524	13071171	290	411	460840	323847	20390	257463
682	1964141577	3974255	6581	6503	13178105	13077674	68	48	460908	323895	20394	257490
683	1964141827	250	154	155	13178259	13077829	3	3	460911	323898	20394	257492
684	1968107592	3965765	6228	6175	13184487	13084004	246	213	461157	324111	20406	257579
685	1972028907	3921315	3681	3791	13188168	13087795	153	295	461310	324406	20415	257654
686	1975943534	3914627	2088	2334	13190256	13090129	116	232	461426	324638	20417	257688
687	1979965059	4021525	14019	14474	13204275	13104603	407	592	461833	325230	20509	257815
688	1983955740	3990681	9260	9397	13213535	13114000	114	227	461947	325457	20510	257854
689	1985715205	1759465	8615	8562	13222150	13122562	297	280	462244	325737	20536	258044
