tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
184	4763	259	0	0	4	1034	555	0	0	6	3	15	605	1010930	31085	815081	4656379
185	3339	30	0	0	3	1060	99	0	0	0	0	0	115	1011045	31088	815086	2623316
186	3815	55	0	0	5	1034	173	0	0	6	3	15	223	1011268	31093	815100	3994693
187	4386	83	0	0	2	778	228	0	0	18	9	27	296	1011564	31095	815115	4542887
188	8546	86	0	0	1	1706	239	0	0	30	15	39	325	1011889	31096	815131	6271665
189	3727	71	0	0	5	395	206	0	0	18	9	27	274	1012163	31101	815144	2831517
190	3409	46	0	0	1	1060	144	0	0	0	0	0	160	1012323	31102	815155	2782254
191	7374	112	0	0	4	1270	322	0	0	18	9	27	390	1012713	31106	815178	5865257
192	3352	72	0	0	8	435	217	0	0	6	3	15	267	1012980	31114	815190	2789716
193	7771	350	0	0	4	799	805	0	0	42	21	51	909	1013889	31118	815223	5959429
194	5496	192	0	0	5	582	446	0	0	6	3	15	496	1014385	31123	815230	5026850
195	3339	63	0	0	2	695	197	0	0	36	18	45	292	1014677	31125	815246	2787227
196	3427	99	0	0	0	1060	288	0	0	0	0	0	304	1014981	31125	815260	2672341
197	7601	314	0	0	5	1034	705	0	0	30	15	39	791	1015772	31130	815281	5949336
198	5989	305	0	0	0	1060	676	0	0	30	15	39	762	1016534	31130	815309	5298559
199	5145	119	0	0	5	778	327	0	0	12	6	21	386	1016920	31135	815319	4849750
200	6308	151	0	0	3	599	406	0	0	30	15	39	492	1017412	31138	815342	5429169
201	3356	45	0	0	0	1060	137	0	0	6	3	15	187	1017599	31138	815348	2783290
202	4760	68	0	0	4	1060	188	0	0	0	0	0	204	1017803	31142	815355	4807786
203	6299	112	0	0	0	1063	307	0	0	18	9	27	375	1018178	31142	815373	5431151
204	6338	487	0	0	6	1060	1039	0	0	36	18	45	1134	1019312	31148	815394	5283641
205	5656	135	0	0	5	734	370	0	0	30	15	39	456	1019768	31153	815424	5140142
206	4998	49	0	0	0	1060	156	0	0	41	21	50	259	1020027	31153	815446	4951610
207	7614	213	0	0	87	1517	511	0	0	11	6	20	569	1020596	31240	815475	5974861
208	4383	418	0	0	8	298	969	0	0	111	57	111	1169	1021765	31248	815548	3996623
209	3768	120	0	0	1	788	327	0	0	18	9	27	395	1022160	31249	815559	2835302
210	8858	444	0	0	15	1517	944	0	0	54	27	63	1066	1023226	31264	815588	6378422
211	7525	248	0	0	3	1517	534	0	0	6	3	15	584	1023810	31267	815598	5897348
212	7691	343	0	0	3	1517	739	0	0	24	12	33	816	1024626	31270	815618	5970081
213	9091	742	0	0	8	1034	1653	0	0	438	219	322	2226	1026852	31278	815711	6491192
214	7603	200	0	0	7	1517	495	0	0	12	6	21	554	1027406	31285	815722	5955518
215	7581	298	0	0	4	1517	645	0	0	42	21	51	749	1028155	31289	815741	5920712
216	7437	171	0	0	3	1517	415	0	0	18	9	27	483	1028638	31292	815750	5883399
217	7402	136	0	0	6	1517	347	0	0	12	6	21	406	1029044	31298	815756	5875989
218	7575	281	0	0	2	1857	602	0	0	36	18	45	697	1029741	31300	815773	5942184
219	8379	774	0	0	6	1034	1603	0	0	34	18	43	1696	1031437	31306	815786	6169861
220	7559	88	0	0	7	1591	247	0	0	24	12	33	324	1031761	31313	815801	5933267
221	3623	36	0	0	1	1857	115	0	0	6	3	15	165	1031926	31314	815816	2961307
222	7567	172	0	0	7	1591	458	0	0	32	18	41	549	1032475	31321	815842	5936266
223	8312	48	0	0	1	1616	153	0	0	17	9	26	220	1032695	31322	815870	6216106
224	9	5	0	0	0	5	23	0	0	0	0	0	39	1032734	31322	815872	478
225	8399	118	0	0	0	2239	292	0	0	6	3	15	342	1033076	31322	815885	6235007
226	4100	130	0	0	2	1265	327	0	0	18	9	27	395	1033471	31324	815897	4308739
227	8337	69	0	0	2	2239	186	0	0	6	3	15	236	1033707	31326	815906	6227814
228	10123	1214	0	0	30	2239	2465	0	0	36	18	45	2560	1036267	31356	815929	6809106
229	9201	1072	0	0	4	1270	2250	0	0	108	54	100	2436	1038703	31360	815963	6530633
230	8368	155	0	0	9	1422	422	0	0	18	9	27	490	1039193	31369	815986	6244556
231	8305	96	0	0	2	1517	281	0	0	18	9	27	349	1039542	31371	816001	6211586
232	8500	288	0	0	4	1616	685	0	0	18	9	27	753	1040295	31375	816034	6279889
233	8540	79	0	0	1	2239	217	0	0	6	3	15	267	1040562	31376	816043	6308341
234	8972	835	0	0	6	1270	1792	0	0	54	27	63	1914	1042476	31382	816072	6423379
235	8564	101	0	0	4	2239	270	0	0	4	3	13	318	1042794	31386	816080	6289379
236	8731	254	0	0	3	2239	545	0	0	24	12	33	622	1043416	31389	816095	6370797
237	9021	792	0	0	10	1616	1629	0	0	22	12	31	1704	1045120	31399	816118	6419835
238	3545	46	0	0	0	788	138	0	0	0	0	0	154	1045274	31399	816131	2952847
239	8863	415	0	0	3	1547	865	0	0	12	6	21	924	1046198	31402	816151	6371774
240	8320	97	0	0	7	1259	281	0	0	18	9	27	349	1046547	31409	816171	6236750
241	6908	36	0	0	2	1857	117	0	0	0	0	0	133	1046680	31411	816180	5725013
242	8531	260	0	0	2	2239	581	0	0	42	21	51	685	1047365	31413	816207	6289423
243	8573	426	0	0	30	2440	965	0	0	18	9	27	1033	1048398	31443	816227	6315871
244	6138	127	0	0	3	639	349	0	0	6	3	15	399	1048797	31446	816239	5358495
245	8644	363	0	0	56	922	862	0	0	42	21	51	966	1049763	31502	816267	6313420
246	6895	105	0	0	3	922	305	0	0	6	3	15	355	1050118	31505	816279	5684895
247	8686	309	0	0	5	866	699	0	0	18	9	27	767	1050885	31510	816312	6306015
248	7624	109	0	0	24	2440	303	0	0	29	15	38	388	1051273	31534	816329	5943037
249	8715	423	0	0	5	1591	944	0	0	72	36	71	1083	1052356	31539	816360	6347294
250	5680	159	0	0	20	1060	425	0	0	42	21	51	529	1052885	31559	816380	5168005
251	1557	75	0	0	3	239	218	0	0	12	6	21	277	1053162	31562	816395	1420138
252	6460	154	0	0	4	1265	412	0	0	42	21	51	516	1053678	31566	816431	5495922
253	1910	24	0	0	1	1157	80	0	0	0	0	0	96	1053774	31567	816440	1421546
254	3535	64	0	0	1	431	192	0	0	18	9	27	260	1054034	31568	816456	2785410
255	7144	387	0	0	3	716	813	0	0	6	3	15	863	1054897	31571	816475	5725882
256	8583	400	0	0	11	866	886	0	0	17	9	26	953	1055850	31582	816490	6269978
257	6807	251	0	0	3	801	561	0	0	29	15	38	646	1056496	31585	816512	5577865
258	2551	57	0	0	0	571	171	0	0	12	6	21	230	1056726	31585	816523	2212787
259	4815	47	0	0	2	1157	150	0	0	18	9	27	218	1056944	31587	816540	4893877
260	3927	37	0	0	1	1265	119	0	0	6	3	15	169	1057113	31588	816547	4221867
261	3730	39	0	0	4	573	124	0	0	12	6	21	183	1057296	31592	816556	4202671
262	6526	182	0	0	5	1048	419	0	0	24	12	33	496	1057792	31597	816570	5509156
263	5518	96	0	0	1	1265	269	0	0	12	6	21	328	1058120	31598	816579	5142856
264	8333	200	0	0	2	1591	498	0	0	12	6	21	557	1058677	31600	816595	6237473
265	6370	273	0	0	0	1517	583	0	0	6	3	15	633	1059310	31600	816608	5407959
266	3493	43	0	0	0	387	136	0	0	6	3	15	186	1059496	31600	816620	2718905
267	6389	38	0	0	1	1253	123	0	0	6	3	15	173	1059669	31601	816631	5499048
