aff_ord	tu	C_wire	B_wire	extra	C_tok	B_tok	new_regions	new_blocks	deepest
59	59	176	384	0	53	113	0	2	1412
60	60	227	376	0	53	100	0	4	1412
61	61	254	488	0	55	139	0	2	1572
62	62	67	130	0	14	25	0	0	2010
63	63	85	237	0	20	56	0	1	774
64	64	52	99	0	9	14	0	1	2010
65	65	43	60	0	6	12	0	1	82
66	66	52	72	0	9	17	0	0	2085
67	67	97	255	0	24	80	0	0	2093
68	68	58	86	0	11	22	0	1	2095
69	69	49	104	0	8	16	0	0	2095
70	70	43	57	0	6	11	0	0	2085
71	71	55	63	0	10	13	0	2	2085
72	72	49	71	0	8	16	0	1	1601
73	73	49	108	0	8	14	0	0	2095
74	74	58	79	0	11	19	0	1	2095
75	75	55	106	0	10	16	0	1	1601
76	76	64	170	0	13	41	0	1	2095
77	77	88	337	0	21	73	0	0	2085
78	78	49	72	0	8	16	0	1	2085
79	79	152	244	0	31	70	0	3	1572
80	80	170	266	0	31	59	0	0	1572
81	81	128	221	0	20	56	0	0	1530
82	82	173	273	0	35	76	0	1	3213
83	83	88	202	0	21	54	0	4	1530
84	84	134	241	0	19	57	0	0	2738
85	85	318	578	0	84	194	0	7	3000
86	86	125	154	0	22	44	0	1	3213
87	87	197	334	0	46	89	0	1	1572
88	88	221	427	0	58	133	0	8	2738
89	89	218	385	0	50	101	0	6	1412
90	90	215	313	0	49	89	0	2	1412
91	91	215	392	0	51	119	0	3	1572
92	92	143	265	0	28	73	0	0	2479
93	93	151	268	0	31	69	0	2	2479
94	94	52	102	0	9	15	0	0	2010
95	95	176	310	0	33	85	0	2	1667
96	96	398	798	0	101	277	0	8	2010
97	97	185	244	0	30	65	0	0	3213
98	98	133	416	0	25	107	0	0	1661
99	99	123	379	0	33	121	0	0	1661
100	100	282	466	0	69	138	0	3	3200
101	101	149	249	0	30	70	0	2	2479
102	102	145	348	0	29	100	0	0	1661
103	103	111	327	0	29	98	0	1	1661
104	104	145	353	0	29	95	0	1	1661
105	105	100	249	0	25	58	0	4	2479
106	106	149	246	0	24	58	0	2	2479
107	107	213	336	0	46	93	0	3	1412
108	108	134	231	0	22	53	0	0	2479
109	109	139	324	0	27	92	0	2	1661
110	110	375	634	0	106	220	0	7	2085
111	111	280	588	0	64	179	0	6	1333
112	112	85	190	0	20	47	0	2	2479
113	113	274	522	0	74	173	0	2	2479
114	114	119	196	0	20	44	0	1	2479
115	115	293	518	0	73	171	0	0	3200
116	116	130	358	0	24	77	0	6	1661
117	117	151	275	0	19	73	0	0	1661
118	118	82	300	0	19	62	0	2	1661
119	119	302	608	0	66	187	0	2	1333
120	120	161	399	0	34	119	0	1	2479
121	121	310	650	0	84	220	0	11	2085
122	122	353	715	0	87	247	0	2	995
123	123	344	798	0	84	256	0	8	995
124	124	149	284	0	27	67	0	1	2479
125	125	255	686	0	48	194	0	1	1319
126	126	122	194	0	21	50	0	0	2479
127	127	93	210	0	23	45	0	2	2479
128	128	52	120	0	9	21	0	0	2010
129	129	161	306	0	34	79	0	1	1667
130	130	367	749	0	96	257	0	7	2010
131	131	109	219	0	28	55	0	2	3213
132	132	79	204	0	18	59	0	1	1661
133	133	134	253	0	25	72	0	1	1661
134	134	274	428	0	69	131	0	9	3200
135	135	113	189	0	18	44	0	0	2479
136	136	107	201	0	16	54	0	0	1661
137	137	73	204	0	16	51	0	0	1661
138	138	76	195	0	17	51	0	1	1661
139	139	67	156	0	14	34	0	0	2479
140	140	73	164	0	16	37	0	1	2479
141	141	187	293	0	40	79	0	4	1412
142	142	104	170	0	15	33	0	0	2479
143	143	116	217	0	16	48	0	3	2134
144	144	390	620	0	99	207	0	8	2085
145	145	284	568	0	57	159	0	2	1333
146	146	64	154	0	13	29	0	0	2479
147	147	234	437	0	68	152	0	1	2479
148	148	101	169	0	14	34	0	2	2479
149	149	253	510	0	71	155	0	5	3200
150	150	104	170	0	12	40	0	0	2134
151	151	61	190	0	12	34	0	0	2134
152	152	61	111	0	12	34	0	1	2134
153	153	257	518	0	63	167	0	2	1333
154	154	158	356	0	27	86	0	2	2479
