tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
62	10906	2876	1336	1731	79	128	6272	103594	16263	287	5343	22964	34611	3783575	16134	190416	7310945
63	11105	2904	1037	1923	76	128	6353	97722	15719	309	5925	16636	28946	3812521	16210	192740	7311242
64	36037	27957	12650	23013	42	128	64232	1157265	189212	523	69324	190530	324118	4136639	16252	220024	10713787
65	9947	1682	516	933	39	128	3369	48446	7600	165	2883	8404	14688	4151327	16291	221157	7146822
66	9085	800	128	187	118	128	1766	9241	1596	190	657	2648	5103	4156430	16409	221452	7024696
67	31697	23295	10169	19265	28	128	44860	909231	153688	388	57990	149119	252001	4408431	16437	244355	9900023
68	9524	1155	364	545	67	212	2369	29502	4591	116	1701	6061	10163	4418594	16504	245050	7082316
69	17049	8649	3943	6804	25	212	16549	325856	56242	156	20490	60812	97883	4516477	16529	253210	8130339
70	9783	1362	474	813	67	212	2824	40188	6870	182	2538	7717	13111	4529588	16596	254183	7118223
71	8205	1828	1058	1021	19	128	3559	72268	9845	162	3149	16038	22778	4552366	16615	255666	6389120
72	9351	889	172	380	57	212	1815	14475	3229	247	1272	3325	6444	4558810	16672	256221	7062701
73	11660	3231	1137	2259	35	212	6301	105757	18382	238	6900	19030	32263	4591073	16707	258978	7452955
74	31377	22975	9214	18639	28	212	52452	865639	148471	150	55995	131643	240122	4831195	16735	281245	10033040
75	9115	930	452	252	62	212	2077	25857	3404	92	804	7298	10211	4841406	16797	281628	6970124
76	18018	9796	3005	7429	21	212	17170	300935	59776	215	22398	40428	80028	4921434	16818	290864	8059591
77	9921	1514	629	866	36	212	3015	50497	7964	119	2667	11023	16737	4938171	16854	291978	7154708
78	13319	4754	1949	3730	11	219	8744	185188	29718	111	11247	28614	48637	4986808	16865	296417	7660821
79	6666	2772	1029	2024	16	212	5086	107837	16084	107	6129	15451	26698	5013506	16881	298928	4101386
80	10081	1514	570	1080	23	248	2998	50006	8453	95	3288	8932	15250	5028756	16904	300179	7157703
81	10279	1688	777	1173	29	248	3243	63063	9712	104	3573	12622	19470	5048226	16933	301625	7183426
82	11336	2734	1097	2124	16	248	5197	105422	16089	107	6426	14676	26331	5074557	16949	304109	7335524
83	11275	2683	1238	2069	25	219	5007	109944	17091	81	6249	20050	31338	5105895	16974	306571	7336650
84	9251	629	280	316	40	248	1315	21440	3083	95	996	5076	7419	5113314	17014	306982	7056482
85	14698	6091	2550	4748	16	248	11223	225402	37521	200	14349	39643	65247	5178561	17030	312815	7756701
86	16485	7743	3471	6167	26	248	13870	322400	49043	522	18762	51762	84426	5262987	17056	320292	8060187
87	20682	12018	4637	10082	22	248	22422	463094	78593	100	30297	68903	121654	5384641	17078	332135	8534484
88	9752	1198	474	680	15	248	2417	37876	5952	71	2076	8268	12793	5397434	17093	333044	7124436
89	10572	1889	663	1415	11	248	3395	69496	12513	83	4287	11005	18719	5416153	17104	334752	7265807
90	14569	6056	2294	4774	16	320	11505	217888	38319	142	14394	35453	61384	5477537	17120	340400	7810636
91	13510	4816	1985	3902	13	433	8520	177571	31678	48	11730	31277	51559	5529096	17133	345056	7584937
92	10207	1518	511	1021	27	433	2751	47442	7907	80	3105	8202	14090	5543186	17160	346350	7214752
93	11250	2587	1155	1932	16	433	4601	105403	15485	95	5844	18462	28939	5572125	17176	348750	7353995
94	10478	1760	724	1413	30	433	3404	67750	11467	36	4257	11423	19116	5591241	17206	350372	7218675
95	28151	19653	9358	16118	19	346	43788	753000	133120	188	48450	142291	234561	5825802	17225	369662	9421243
96	14032	5319	2061	4278	9	433	9463	220665	35155	54	12861	32700	55056	5880858	17234	374785	7763153
97	17475	8724	3970	7280	6	433	16355	341214	58765	42	21861	62725	100973	5981831	17240	383377	8087293
98	17288	8571	3681	7161	9	433	16132	372003	58049	40	21503	52172	89839	6071670	17249	391826	8190077
99	12508	3975	2533	3017	16	439	7264	212664	28160	143	9125	38858	55279	6126949	17265	395556	7615553
100	18374	9433	4451	7673	65	753	18102	426155	65614	575	23307	70462	111903	6238852	17330	404710	8520550
101	10291	1749	814	1217	12	439	3373	73126	10456	190	3746	13894	21045	6259897	17342	406233	7219473
102	10349	1579	713	1279	6	753	2815	69207	11367	42	3858	12059	18764	6278661	17348	407727	7225534
103	10930	2254	1017	1789	8	753	4359	87438	14711	36	5385	17339	27115	6305776	17356	409821	7272422
104	3290	431	53	108	67	212	978	4133	884	37	345	1312	2667	6308443	17423	410014	3162353
105	9481	889	384	529	16	753	1812	28696	4875	46	1611	7033	10488	6318931	17439	410661	7083227
106	9826	2660	984	1704	24	289	5722	85781	15077	137	5190	16254	27198	6346129	17463	412918	6867150
107	145	51	6	6	0	40	134	444	46	0	18	162	346	6346475	17463	412927	23812
108	6648	1694	747	1278	14	353	3257	66353	10008	68	3870	11541	18700	6365175	17477	414440	5780207
109	7111	829	159	282	11	342	1878	11708	2242	148	924	3067	5901	6371076	17488	414924	6201776
110	18138	9747	4981	7696	34	433	21830	377416	63721	159	23173	73291	118326	6489402	17522	424301	8166327
111	3100	285	36	64	8	211	698	2686	478	68	227	1104	2061	6491463	17530	424446	3010084
112	14982	6230	2223	5052	9	439	13420	229686	42458	42	15177	34142	62771	6554234	17539	430570	7855367
113	3706	303	42	65	8	330	737	2915	1084	37	216	1397	2382	6556616	17547	430703	3435801
114	18687	9970	4446	8092	13	439	18334	448736	64022	59	24306	63791	106463	6663079	17560	440436	8448040
115	21824	13172	6530	11032	24	439	24962	604940	89898	48	33120	98356	156470	6819549	17584	453409	8855095
116	5501	1120	484	694	10	330	2122	41706	5622	57	2111	8044	12309	6831858	17594	454327	4440379
117	10014	1329	754	1013	28	560	2622	61552	8717	103	3099	12478	18231	6850089	17622	455496	7177228
118	8036	1774	472	995	29	330	3381	43192	7721	73	3024	6116	12553	6862642	17651	456898	6305282
119	3344	344	131	120	14	211	818	7416	1070	56	390	2182	3422	6866064	17665	457065	3186760
120	5877	939	351	545	6	353	1763	26252	4285	80	1677	5066	8538	6874602	17671	457826	5543951
121	11067	2288	1133	1780	4	498	4019	96299	15377	53	5367	18272	27690	6902292	17675	460048	7330220
122	9639	1534	706	764	19	330	3245	49506	7519	863	2780	13298	19355	6921647	17694	461225	7064557
123	7999	1139	401	408	20	353	2491	31150	4374	689	1574	7879	11976	6933623	17714	461937	6467463
124	9240	686	457	357	18	644	1559	26432	3859	97	1127	6789	9507	6943130	17732	462429	7057072
125	7043	3757	2097	2598	14	191	6227	146559	20692	88	7842	28466	42567	6985697	17746	465963	4790346
126	3806	353	136	145	8	263	797	8963	1196	61	468	2576	3873	6989570	17754	466180	3761251
127	4779	1355	398	739	82	212	2553	32759	5825	87	2262	6170	11017	7000587	17836	467232	3947047
128	11883	3158	1458	2733	11	498	6234	147824	21402	57	8229	20659	35154	7035741	17847	470274	7430441
129	6336	2078	1630	1464	25	212	3775	98520	15746	142	4465	24548	32820	7068561	17872	472119	5433776
130	5575	1295	379	809	13	212	2481	35114	6036	113	2487	5807	10807	7079368	17885	473185	4376126
131	3107	244	38	59	13	219	588	3210	456	158	279	1094	1993	7081361	17898	473320	3007938
132	145	46	7	6	14	40	129	544	47	0	18	199	378	7081739	17912	473327	23836
133	7677	1386	481	807	20	330	2880	41138	6467	142	2495	6796	12203	7093942	17932	474375	6281638
134	11392	2846	1401	1989	16	560	5622	110416	17941	141	6045	22838	34537	7128479	17948	476781	7480315
135	13312	4678	2182	3718	10	560	8653	182530	30506	109	11211	32533	52429	7180908	17958	481257	7574660
136	10441	3933	1458	2708	15	330	6781	113327	22364	433	8390	23644	38847	7219755	17973	484955	6639062
137	15343	6673	3613	5018	55	498	14691	290030	44732	59	15086	53248	83057	7302812	18028	491095	7945815
138	4656	854	320	550	16	212	1775	28436	4505	94	1710	5262	8779	7311591	18044	491789	3724090
139	5084	1018	300	584	9	202	2024	29585	4554	69	1791	5695	9542	7321133	18053	492570	3843023
140	9039	505	234	256	14	498	1105	18342	2373	62	801	4360	6298	7327431	18067	492914	7000859
141	10259	2913	1203	2112	11	349	5378	107956	17583	142	6410	18479	30299	7357730	18078	495567	6896448
142	8122	1503	489	930	14	349	2738	40012	7218	46	2814	7430	13014	7370744	18092	496811	6379620
143	7268	538	141	187	16	349	1199	7823	1784	75	603	2577	4411	7375155	18108	497123	6263331
144	10113	1669	845	1192	6	852	3058	62947	10443	71	3615	13405	20110	7395265	18114	498621	7088268
145	4116	464	121	216	49	212	1044	10149	1655	52	675	2239	3990	7399255	18163	498902	3635423
146	11692	2933	1319	2353	2	852	5336	121389	19728	47	7083	18740	31191	7430446	18165	501759	7404348
147	8949	5148	1932	4146	50	248	8967	194145	30651	51	12465	24700	46164	7476610	18215	506756	4317194
148	9589	876	452	613	9	852	1729	34517	5479	35	1857	8078	11696	7488306	18224	507491	7104067
149	16865	8143	3391	6973	69	852	17906	412591	54425	58	20949	48972	87859	7576165	18293	515433	8356972
150	10253	1634	609	1238	12	852	3193	78483	10622	203	3849	10024	17098	7593263	18305	516895	7255353
151	9342	625	273	388	13	852	1235	21606	3369	41	1185	5239	7691	7600954	18318	517384	7061504
152	6416	1080	603	766	17	349	2124	64814	6377	43	2322	14583	19061	7620015	18335	518303	5779804
153	26650	20276	9151	16158	22	257	45833	859777	124851	204	48581	127059	221505	7841520	18357	538183	8895771
154	8520	2063	883	1578	39	342	4096	91351	12715	170	4824	13572	22524	7864044	18396	540021	6440036
155	7941	1017	420	288	20	349	2356	29437	3751	56	894	8279	11561	7875605	18416	540464	6496529
156	7442	2474	1188	1780	10	557	4470	101303	15695	236	5459	19341	29302	7904907	18426	542760	5907910
157	9690	1123	430	599	16	481	2235	35480	5362	211	1904	7364	11535	7916442	18442	543620	7119679
158	10141	1437	1177	887	23	852	2789	75331	10641	36	2679	19520	25020	7941462	18465	544687	7232888
159	12740	4151	2336	3310	10	852	7327	191578	28485	83	9972	34340	51671	7993133	18475	548715	7507364
160	9437	1183	1379	487	19	852	2656	87173	9597	452	1710	23183	27581	8020714	18494	549419	7142189
161	11536	3279	1110	2070	25	852	6475	118594	17696	67	6249	17959	30715	8051429	18519	551918	7488364
162	16324	7567	3260	6233	3	852	13227	306459	53109	30	18714	50929	82902	8134331	18522	559391	8005802
163	145	35	6	6	5	40	109	390	46	4	21	157	319	8134650	18527	559399	23758
164	8110	1706	695	1178	42	330	3413	64034	9863	51	3561	10380	17386	8152036	18569	560839	6356588
165	3798	411	119	181	11	227	881	8282	1460	145	617	2204	3734	8155770	18580	561142	3649805
166	9743	1109	492	655	10	852	1985	37124	6349	106	2027	7826	11870	8167640	18590	562052	7139480
167	10733	2200	427	763	184	852	4384	41962	6472	70	2325	8021	14762	8182402	18774	563019	7452198
168	10034	1408	510	870	19	852	2527	42653	7439	70	2646	7560	12765	8195167	18793	564221	7173922
169	10002	1286	669	809	6	852	2295	46985	7186	53	2454	10681	15462	8210629	18799	565322	7160733
170	9553	943	579	619	28	866	1855	41359	6701	65	1890	8490	12267	8222896	18827	566082	7113950
171	10788	2029	763	1626	8	866	3682	70105	12597	60	4908	12715	21337	8244233	18835	567990	7231380
172	9015	425	61	73	18	594	1010	3506	830	552	501	2046	3589	8247822	18853	568222	7019657
173	5438	1500	1902	1048	8	257	3022	116109	13732	131	3213	29130	35397	8283219	18861	569511	5183646
174	2561	96	42	13	3	257	279	2445	230	16	47	1019	1377	8284596	18864	569544	2162869
175	4103	369	149	101	11	257	905	8145	1108	73	342	2711	3990	8288586	18875	569697	3142124
176	2590	89	70	8	10	257	273	2971	277	35	42	1092	1439	8290025	18885	569728	2223075
177	3388	137	35	31	5	254	363	2088	293	34	111	859	1365	8291390	18890	569788	2615539
178	3826	339	72	49	11	215	815	3979	478	83	191	1416	2454	8293844	18901	569903	3981402
179	3593	170	105	41	10	234	452	6360	667	47	147	2019	2650	8296494	18911	569990	2850732
180	3563	187	77	58	11	262	488	4813	758	28	189	1595	2304	8298798	18922	570072	2838577
181	5787	1420	2514	1019	28	257	3241	133335	19880	235	3176	37705	44154	8342952	18950	571207	4879602
182	4997	235	286	79	10	663	596	16656	1631	75	276	5267	6171	8349123	18960	571327	4845540
183	4937	422	522	203	50	375	995	25422	3110	84	651	7504	9182	8358305	19010	571563	4689839
184	4763	357	516	223	5	663	817	31037	3432	54	696	8202	9747	8368052	19015	571809	4656339
185	3339	102	8	8	5	375	291	557	54	11	30	217	570	8368622	19020	571831	2623276
186	3815	199	66	8	9	239	510	3189	331	36	42	1455	2039	8370661	19029	571862	3994653
187	4386	162	79	27	12	375	433	4260	442	42	102	1592	2159	8372820	19041	571909	4542847
188	8546	285	209	56	14	663	680	11455	1134	551	444	4351	5507	8378327	19055	572077	6271625
189	3727	393	12	8	10	212	903	793	81	40	45	422	1402	8379729	19065	572131	2831477
190	3409	110	17	12	11	375	299	1090	127	34	54	495	880	8380609	19076	572173	2782214
191	7374	296	86	36	15	663	754	5233	463	81	153	1573	2512	8383121	19091	572289	5865217
192	3352	159	73	11	8	262	428	4063	376	29	48	1398	1906	8385027	19099	572352	2789676
193	7771	595	330	227	16	663	1399	21335	2750	89	726	6070	8227	8393254	19115	572681	5959389
194	5496	298	156	135	4	248	709	10249	1429	53	432	2686	3859	8397113	19119	572863	5026810
195	3339	143	33	8	10	262	398	2220	287	30	39	912	1381	8398494	19129	572897	2787187
196	3427	173	32	13	4	375	453	1857	190	40	60	821	1366	8399860	19133	572947	2672301
197	7601	505	575	221	19	321	1196	35615	3708	58	693	9636	11557	8411417	19152	573219	5949296
198	5989	449	437	230	3	375	1037	27818	3231	81	732	7473	9274	8420691	19155	573516	5298519
199	5145	261	84	55	8	397	649	5465	658	73	207	1654	2542	8423233	19163	573630	4849710
200	6308	415	84	57	24	321	998	5357	740	42	195	1813	3038	8426271	19187	573745	5429129
201	3356	109	98	25	2	375	305	5161	521	40	96	1686	2119	8428390	19189	573791	2783250
202	4760	156	85	43	10	489	418	5224	610	24	141	1627	2218	8430608	19199	573846	4807746
203	6299	248	131	73	9	489	616	7746	986	64	252	2361	3261	8433869	19208	573959	5431111
204	6338	674	583	390	10	489	1527	35676	4723	34	1188	9096	11843	8445712	19218	574392	5283601
205	5656	292	210	67	13	397	722	12704	1141	45	225	3319	4298	8450010	19231	574505	5140102
206	4998	137	29	17	1	489	370	1898	184	35	69	721	1192	8451202	19232	574559	4951570
207	7614	421	382	73	22	397	1011	21413	1929	48	243	7545	8831	8460033	19254	574696	5974821
208	4383	682	9417	255	12	248	1596	507231	51535	168	864	110022	112514	8572547	19266	575098	3996583
209	3768	389	88	57	3	278	901	4998	735	51	198	1775	2906	8575453	19269	575185	2835262
210	8858	696	1266	372	4	498	1604	76744	7356	77	1155	22134	24925	8600378	19273	575614	6378382
