tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
740	3368	42	0	0	1	1221	135	0	0	24	12	33	212	235398	36492	155868	2518488
741	2173	14	0	0	0	1221	51	0	0	0	0	0	67	235465	36492	155870	1750897
742	2213	64	0	0	0	2118	158	0	0	0	0	0	174	235639	36492	155874	1762816
743	179	15	0	0	0	66	54	0	0	0	0	0	70	235709	36492	155877	20638
744	6	3	0	0	0	4	18	0	0	0	0	0	34	235743	36492	155879	308
745	3425	106	0	0	10	957	299	0	0	12	6	21	358	236101	36502	155899	2746274
746	2353	16	0	0	0	1677	57	0	0	6	3	15	107	236208	36502	155904	1820556
747	2353	13	0	0	0	1005	48	0	0	6	3	15	98	236306	36502	155911	1818673
748	2618	26	0	0	0	2118	87	0	0	12	6	21	146	236452	36502	155920	1933572
749	2605	17	0	0	0	2118	60	0	0	0	0	0	76	236528	36502	155931	1925197
750	2840	31	0	0	1	2118	102	0	0	0	0	0	118	236646	36503	155938	2028180
751	2255	120	0	0	24	314	336	0	0	59	36	68	472	237118	36527	155967	1731674
752	2631	101	0	0	6	1230	282	0	0	38	27	47	388	237506	36533	155984	2056092
753	865	25	0	0	0	189	84	0	0	0	0	0	100	237606	36533	155989	696982
754	2879	58	0	0	1	835	180	0	0	6	3	15	230	237836	36534	156001	2155313
755	2856	38	0	0	0	1677	123	0	0	6	3	15	173	238009	36534	156011	2102964
756	2281	17	0	0	0	2118	60	0	0	0	0	0	76	238085	36534	156017	1772385
757	2367	40	0	0	4	1213	126	0	0	0	0	0	142	238227	36538	156026	1857070
758	2011	18	0	0	1	957	63	0	0	6	3	15	113	238340	36539	156031	1629441
759	3690	60	0	0	3	1298	186	0	0	0	0	0	202	238542	36542	156044	2673596
760	26	13	0	0	0	11	48	0	0	0	0	0	64	238606	36542	156046	2863
761	3455	150	0	0	6	2118	381	0	0	6	3	15	431	239037	36548	156066	2502252
762	2581	162	0	0	0	2118	351	0	0	0	0	0	367	239404	36548	156071	1900419
763	1968	15	0	0	0	1895	54	0	0	0	0	0	70	239474	36548	156075	1613850
764	1084	47	0	0	0	447	142	0	0	6	3	15	192	239666	36548	156082	644908
765	2212	32	0	0	0	2118	94	0	0	0	0	0	110	239776	36548	156086	1767058
766	1886	167	0	0	0	554	431	0	0	125	63	110	636	240412	36548	156125	1481145
767	2301	109	0	0	0	853	276	0	0	0	0	0	292	240704	36548	156130	1784734
768	2806	31	0	0	0	1221	102	0	0	6	3	15	152	240856	36548	156135	2019890
769	2173	14	0	0	0	1221	51	0	0	0	0	0	67	240923	36548	156137	1746825
770	2421	158	0	0	0	422	419	0	0	18	9	27	487	241410	36548	156156	1913114
771	2723	36	0	0	0	1005	117	0	0	0	0	0	133	241543	36548	156163	1973904
772	2762	36	0	0	2	2118	112	0	0	0	0	0	128	241671	36550	156172	2068490
773	2866	44	0	0	1	618	138	0	0	12	6	21	197	241868	36551	156183	2102921
774	1740	142	0	0	30	222	386	0	0	0	0	0	402	242270	36581	156192	1391186
775	990	64	0	0	3	189	186	0	0	11	6	20	244	242514	36584	156199	757862
776	1305	23	0	0	0	1280	66	0	0	0	0	0	82	242596	36584	156203	1111172
777	2205	25	0	0	0	1005	84	0	0	6	3	15	134	242730	36584	156212	1759532
778	1798	11	0	0	0	1005	42	0	0	6	3	15	92	242822	36584	156217	1443663
779	2359	86	0	0	1	1280	238	0	0	29	15	38	323	243145	36585	156231	1787733
780	2551	95	0	0	1	699	270	0	0	23	12	32	346	243491	36586	156245	1926379
781	2171	8	0	0	0	2118	33	0	0	0	0	0	49	243540	36586	156250	1744880
782	3361	31	0	0	0	2118	102	0	0	12	6	21	161	243701	36586	156261	2498034
783	3362	41	0	0	1	2118	132	0	0	0	0	0	148	243849	36587	156267	2496005
784	1101	46	0	0	1	245	135	0	0	6	3	15	185	244034	36588	156274	638662
785	2679	19	0	0	0	1279	65	0	0	0	0	0	81	244115	36588	156281	1950557
786	2887	83	0	0	0	1698	233	0	0	22	12	31	308	244423	36588	156304	2107534
787	2876	36	0	0	0	737	116	0	0	21	12	30	190	244613	36588	156323	2363771
788	24	10	0	0	0	11	39	0	0	0	0	0	55	244668	36588	156325	3161
789	2993	84	0	0	1	389	242	0	0	35	18	44	336	245004	36589	156352	2203456
790	2639	44	0	0	2	1005	141	0	0	0	0	0	157	245161	36591	156360	2023319
791	3345	36	0	0	0	1779	113	0	0	18	9	27	181	245342	36591	156376	2412620
