tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
314	3306	91	0	0	3	571	270	0	0	12	6	21	329	1128617	26950	804085	2764159
315	3187	131	0	0	7	315	367	0	0	24	12	33	444	1129061	26957	804110	2688594
316	3160	109	0	0	5	315	315	0	0	29	15	38	400	1129461	26962	804130	2746662
317	4117	90	0	0	1	529	270	0	0	22	12	31	345	1129806	26963	804154	4419842
318	4458	132	0	0	4	529	375	0	0	29	15	38	460	1130266	26967	804181	3699041
319	2315	30	0	0	6	571	99	0	0	6	3	15	149	1130415	26973	804187	1813053
320	3800	71	0	0	4	571	220	0	0	18	9	27	288	1130703	26977	804196	2995534
321	3005	88	0	0	2	385	258	0	0	6	3	15	308	1131011	26979	804211	2495289
322	6937	295	0	0	3	716	684	0	0	28	15	37	768	1131779	26982	804234	5674993
323	6844	197	0	0	4	716	493	0	0	18	9	27	561	1132340	26986	804252	5650380
324	7052	710	0	0	5	716	1564	0	0	12	6	21	1623	1133963	26991	804279	5702369
325	6685	106	0	0	1	716	296	0	0	18	9	27	364	1134327	26992	804293	5621402
326	6931	234	0	0	2	716	558	0	0	6	3	15	608	1134935	26994	804299	5620265
327	8323	96	0	0	4	2239	278	0	0	24	12	33	355	1135290	26998	804317	6211341
328	3020	120	0	0	4	441	341	0	0	11	6	20	399	1135689	27002	804344	2648101
329	2551	81	0	0	5	441	247	0	0	18	9	27	315	1136004	27007	804355	2321525
330	8301	80	0	0	1	2239	242	0	0	18	9	27	310	1136314	27008	804373	6207217
331	4566	62	0	0	3	572	189	0	0	12	6	21	248	1136562	27011	804390	4670967
332	3734	96	0	0	4	408	289	0	0	18	9	27	357	1136919	27015	804417	4224254
333	5213	1138	0	0	18	408	625	0	0	41	21	50	728	1137647	27033	804670	4362291
334	1933	42	0	0	1	435	134	0	0	12	6	21	193	1137840	27034	804684	1507401
335	8303	42	0	0	2	2239	133	0	0	6	3	15	183	1138023	27036	804693	6211421
336	4787	149	0	0	4	529	388	0	0	16	9	25	454	1138477	27040	804717	4829618
337	2591	53	0	0	2	289	168	0	0	0	0	0	184	1138661	27042	804726	2139548
338	2766	90	0	0	2	717	262	0	0	12	6	21	321	1138982	27044	804748	2298065
