aff_ord	tu	C_wire	B_wire	extra	C_tok	B_tok	new_regions	new_blocks	deepest
267	267	113	102	11	18	26	0	0	2118
268	268	149	176	0	27	43	0	0	2118
269	269	184	283	0	57	82	0	1	2118
270	270	225	292	0	63	86	0	1	2118
271	271	127	177	0	34	41	0	1	1005
272	272	179	355	0	40	97	0	2	1895
273	273	272	400	0	80	119	0	4	1281
274	274	85	175	0	20	39	0	0	1895
275	275	122	236	0	33	68	0	3	2118
276	276	161	222	0	31	76	0	1	1281
277	277	438	700	0	132	271	0	2	1895
278	278	155	255	0	32	72	0	1	1895
279	279	263	563	0	78	181	0	5	464
280	280	149	314	0	42	90	0	0	1281
281	281	245	418	0	70	131	0	2	1233
282	282	271	386	0	76	126	0	0	1897
283	283	254	537	0	62	151	0	0	568
284	284	425	485	0	156	202	0	0	1779
285	285	167	354	0	53	102	0	0	1895
286	286	191	333	0	44	90	0	1	1895
287	287	136	215	0	37	55	0	1	2118
288	288	170	324	0	37	83	0	4	1895
289	289	240	353	0	63	103	0	2	672
290	290	238	424	0	83	131	0	2	2118
291	291	228	346	0	61	98	0	1	1779
292	292	112	274	0	29	64	0	0	2118
293	293	121	194	0	33	42	0	0	1895
294	294	255	477	0	73	150	0	3	568
295	295	110	166	0	17	33	0	0	1895
296	296	146	233	0	29	62	0	0	1779
297	297	419	557	0	155	197	0	1	1281
298	298	115	163	0	30	35	0	0	2118
299	299	146	271	0	41	82	0	2	1895
300	300	446	626	0	145	223	0	0	957
301	301	161	231	0	38	57	0	0	2118
302	302	156	208	0	33	45	0	0	1779
303	303	141	187	0	28	62	0	1	1895
304	304	240	575	0	78	185	0	3	674
305	305	413	873	0	125	265	0	5	1895
306	306	125	209	0	19	48	0	0	1234
307	307	98	146	0	25	30	0	0	2118
308	308	283	508	0	79	167	0	0	1897
309	309	88	114	0	21	30	0	0	1218
310	310	172	358	0	35	101	0	3	1895
311	311	329	817	0	113	263	0	11	536
312	312	364	766	0	88	224	0	7	539
313	313	318	645	0	84	225	0	5	539
314	314	269	511	0	71	140	0	1	2118
315	315	142	300	0	28	81	0	1	2118
316	316	154	270	0	32	90	0	0	2118
317	317	119	117	2	20	31	0	0	1218
318	318	94	175	0	23	36	0	1	1218
319	319	220	400	0	73	129	0	2	1234
320	320	160	256	0	53	76	0	1	1234
321	321	157	202	0	33	49	0	1	1945
322	322	141	238	0	41	81	0	0	1945
323	323	208	559	0	64	175	0	0	2118
324	324	157	197	0	34	52	0	0	2118
325	325	172	255	0	52	72	0	0	2118
326	326	80	100	0	19	26	0	2	2118
327	327	104	78	26	15	18	0	1	1218
328	328	101	78	23	14	18	0	0	1233
329	329	131	243	0	24	50	0	2	1280
330	330	205	220	0	52	64	0	2	2118
331	331	94	174	0	23	50	0	2	1779
332	332	248	331	0	79	106	0	0	1779
333	333	330	532	0	96	170	0	3	957
334	334	241	498	0	64	152	0	7	687
335	335	81	95	0	19	24	0	0	2118
336	336	152	175	0	31	42	0	2	2118
337	337	176	261	0	39	68	0	2	1235
338	338	301	402	0	89	126	0	4	1281
339	339	113	78	35	18	18	0	0	1851
340	340	175	411	0	50	106	0	1	671
341	341	227	286	0	56	96	0	2	1233
342	342	147	318	0	42	87	0	4	957
343	343	194	276	0	45	80	0	1	1851
344	344	584	858	0	190	319	0	11	668
345	345	461	644	0	131	225	0	7	1851
346	346	161	228	0	34	58	0	0	1233
347	347	156	261	0	30	64	0	1	1228
348	348	173	290	0	35	83	0	1	1779
349	349	191	496	0	40	125	0	0	672
350	350	163	363	0	46	105	0	0	1851
351	351	97	153	0	24	43	0	1	1851
352	352	149	267	0	30	69	0	0	1851
353	353	109	264	0	28	61	0	0	1851
354	354	153	324	0	43	89	0	2	672
355	355	368	597	0	107	193	0	3	1078
356	356	253	451	0	61	120	0	0	1078
357	357	257	534	0	69	144	0	0	1078
358	358	291	481	0	72	148	0	2	468
359	359	161	291	0	34	68	0	3	1078
360	360	137	217	0	26	57	0	0	724
361	361	365	578	0	105	197	0	3	636
362	362	222	372	0	56	106	0	2	1851
363	363	200	304	0	47	79	0	2	1078
364	364	115	217	0	30	58	0	1	724
365	365	94	146	0	23	41	0	0	724
366	366	248	509	0	65	153	0	4	846
367	367	251	491	0	58	139	0	2	846
368	368	173	352	0	50	103	0	3	846
369	369	176	237	0	36	58	0	2	1078
370	370	187	322	0	38	86	0	0	846
371	371	132	281	0	37	83	0	1	846
372	372	380	517	0	119	176	0	0	949
373	373	338	493	0	98	155	0	3	1883
374	374	190	266	0	46	69	0	0	935
375	375	188	244	0	43	67	0	0	935
376	376	188	321	0	43	87	0	1	1235
377	377	64	112	0	13	15	0	1	1233
378	378	468	607	0	159	226	0	6	949
379	379	82	181	0	19	32	0	1	1883
380	380	121	193	0	32	45	0	0	1078
381	381	210	252	0	56	71	0	2	1883
382	382	163	271	0	46	82	0	1	1883
383	383	205	319	0	49	85	0	0	1895
384	384	181	203	0	41	64	0	2	935
385	385	197	218	0	40	48	0	0	949
386	386	148	241	0	41	55	0	0	1895
387	387	91	198	0	22	38	0	0	1178
388	388	91	180	0	22	35	0	1	1178
389	389	164	207	0	35	51	0	1	1178
