tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
189	6261	227	0	0	9	328	574	0	0	48	24	57	687	87287	28729	122430	4427369
190	5093	69	0	0	4	1296	200	0	0	29	15	38	285	87572	28733	122453	3511244
191	5709	217	0	0	12	328	549	0	0	52	27	61	669	88241	28745	122478	4067346
192	5917	155	0	0	1	1279	393	0	0	24	12	33	470	88711	28746	122500	4183656
193	7394	261	0	0	12	2382	637	0	0	76	40	85	794	89505	28758	122562	5805682
194	6171	159	0	0	5	328	425	0	0	40	21	49	527	90032	28763	122597	4353898
195	5423	54	0	0	1	2547	169	0	0	30	15	39	255	90287	28764	122618	4100812
196	5578	107	0	0	4	2547	294	0	0	28	15	37	378	90665	28768	122648	4401194
197	6276	228	0	0	9	489	576	0	0	56	30	65	703	91368	28777	122709	4461010
198	5857	118	0	0	10	496	320	0	0	12	6	21	379	91747	28787	122719	4155406
199	7078	235	0	0	16	496	556	0	0	60	30	69	687	92434	28803	122746	5241132
200	6657	211	0	0	17	496	517	0	0	48	24	57	630	93064	28820	122778	4936312
201	5663	111	0	0	15	1296	317	0	0	43	24	52	425	93489	28835	122803	3950832
202	4126	87	0	0	6	2197	233	0	0	18	9	27	301	93790	28841	122826	2931169
203	2051	27	0	0	0	1232	89	0	0	12	6	21	148	93938	28841	122835	1688438
204	7195	254	0	0	14	2197	625	0	0	23	12	32	701	94639	28855	122880	5268727
205	5266	118	0	0	2	2547	328	0	0	23	12	32	404	95043	28857	122915	3982502
206	5646	219	0	0	20	2197	553	0	0	30	15	39	639	95682	28877	122959	4195997
207	5896	113	0	0	3	2547	315	0	0	30	15	39	401	96083	28880	123009	4582935
208	7140	262	0	0	25	2197	617	0	0	78	39	87	775	96858	28905	123057	5334740
209	6030	157	0	0	7	1296	416	0	0	47	24	56	528	97386	28912	123101	4315671
210	5163	121	0	0	3	1232	338	0	0	29	15	38	423	97809	28915	123140	3702869
211	6007	99	0	0	4	523	273	0	0	42	21	51	377	98186	28919	123169	4337756
212	5230	77	0	0	1	2547	220	0	0	34	18	43	313	98499	28920	123197	3960306
213	6599	395	0	0	8	1296	870	0	0	40	21	49	972	99471	28928	123243	4585437
214	6646	242	0	0	26	1279	606	0	0	54	27	63	728	100199	28954	123300	4801319
215	5647	220	0	0	84	1279	521	0	0	15	8	24	585	100784	29038	123329	3966339
216	7493	268	0	0	8	1296	661	0	0	36	18	45	756	101540	29046	123374	5927127
217	7439	324	0	0	69	389	788	0	0	42	21	51	892	102432	29115	123418	5807979
218	4398	70	0	0	0	1034	200	0	0	26	15	35	282	102714	29115	123443	3325029
219	5309	111	0	0	2	2547	309	0	0	17	9	26	376	103090	29117	123463	3926663
220	7474	217	0	0	8	496	544	0	0	204	102	181	859	103949	29125	123535	5514995
221	6811	223	0	0	36	1292	559	0	0	24	12	33	636	104585	29161	123578	5063745
222	4951	75	0	0	4	1296	213	0	0	11	6	20	271	104856	29165	123586	3389531
223	5324	117	0	0	4	1296	325	0	0	28	15	37	409	105265	29169	123612	3970700
224	4472	93	0	0	9	2197	269	0	0	12	6	21	328	105593	29178	123632	3304528
225	6786	245	0	0	9	2118	599	0	0	274	138	224	993	106586	29187	123712	4952868
226	6826	311	0	0	13	2118	733	0	0	35	18	44	827	107413	29200	123743	5004357
227	5668	92	0	0	5	2547	260	0	0	6	3	15	310	107723	29205	123763	3999060
228	2853	27	0	0	0	1260	88	0	0	6	3	15	138	107861	29205	123772	2159102
229	2807	56	0	0	3	2197	160	0	0	0	0	0	176	108037	29208	123784	2069876
230	3069	61	0	0	0	2197	176	0	0	12	6	21	235	108272	29208	123797	2209656
231	3041	62	0	0	2	2118	175	0	0	6	3	15	225	108497	29210	123823	2179436
232	2351	19	0	0	0	1034	65	0	0	6	3	15	115	108612	29210	123829	1818393
233	2921	67	0	0	1	1279	186	0	0	6	3	15	236	108848	29211	123850	2102699
234	3013	78	0	0	0	2118	199	0	0	18	9	27	267	109115	29211	123861	2166499
235	2867	41	0	0	0	2118	127	0	0	6	3	15	177	109292	29211	123872	2105967
236	3019	60	0	0	2	2118	168	0	0	0	0	0	184	109476	29213	123881	2187660
237	2813	49	0	0	0	2118	143	0	0	6	3	15	193	109669	29213	123900	2065749
238	2742	72	0	0	3	297	204	0	0	0	0	0	220	109889	29216	123929	2079620
239	2780	60	0	0	3	600	180	0	0	30	15	39	266	110155	29219	123957	2052892
240	2649	66	0	0	3	297	191	0	0	6	3	15	241	110396	29222	123970	1976277
241	2811	71	0	0	2	573	198	0	0	6	3	15	248	110644	29224	123992	2063528
242	2790	66	0	0	0	573	188	0	0	11	6	20	246	110890	29224	124010	2053479
243	2785	49	0	0	1	2197	152	0	0	12	6	21	211	111101	29225	124023	2050152
244	2407	48	0	0	3	470	146	0	0	18	9	27	214	111315	29228	124032	1886986
245	2656	68	0	0	5	467	194	0	0	12	6	21	253	111568	29233	124050	1977267
246	2950	115	0	0	5	467	311	0	0	24	12	33	388	111956	29238	124070	2212855
247	2646	52	0	0	2	470	157	0	0	18	9	27	225	112181	29240	124085	1973876
248	2660	27	0	0	0	2118	89	0	0	0	0	0	105	112286	29240	124093	1984542
249	2644	77	0	0	2	467	217	0	0	12	6	21	276	112562	29242	124113	2087488
250	2490	47	0	0	4	2118	135	0	0	0	0	0	151	112713	29246	124124	1888594
251	3190	79	0	0	1	2118	208	0	0	12	6	21	267	112980	29247	124139	2256196
252	2837	60	0	0	5	2118	160	0	0	6	3	15	210	113190	29252	124150	2075361
253	1093	55	0	0	1	268	168	0	0	18	9	27	236	113426	29253	124159	1043816
254	3180	72	0	0	3	2118	201	0	0	6	3	15	251	113677	29256	124172	2254339
255	3010	66	0	0	5	573	191	0	0	12	6	21	250	113927	29261	124196	2207387
256	2934	45	0	0	0	2118	136	0	0	0	0	0	152	114079	29261	124212	2132775
257	2898	34	0	0	1	2118	110	0	0	24	12	33	187	114266	29262	124224	2117265
258	2778	72	0	0	2	467	204	0	0	18	9	27	272	114538	29264	124235	2052386
259	3718	98	0	0	2	2118	265	0	0	18	9	27	333	114871	29266	124256	2791252
260	2990	59	0	0	5	2118	169	0	0	6	3	15	219	115090	29271	124260	2166312
261	2882	61	0	0	5	1279	180	0	0	6	3	15	230	115320	29276	124272	2131740
262	3024	49	0	0	3	2118	142	0	0	6	3	15	192	115512	29279	124283	2178590
263	3570	71	0	0	2	573	206	0	0	12	6	21	265	115777	29281	124309	2676743
264	2736	36	0	0	2	2118	116	0	0	0	0	0	132	115909	29283	124318	2020135
265	3528	95	0	0	4	467	277	0	0	28	15	37	361	116270	29287	124342	2594363
266	2866	26	0	0	1	2118	86	0	0	0	0	0	102	116372	29288	124348	2105899
267	3008	43	0	0	4	2118	126	0	0	6	3	15	176	116548	29292	124357	2172547
268	3612	82	0	0	3	2118	224	0	0	12	6	21	283	116831	29295	124367	2704680
269	3223	86	0	0	1	2118	215	0	0	24	12	33	292	117123	29296	124381	2283855
270	2813	41	0	0	1	760	127	0	0	6	3	15	177	117300	29297	124392	2065650
271	3334	97	0	0	3	1279	262	0	0	34	18	43	355	117655	29300	124429	2399040
272	3885	119	0	0	2	1232	323	0	0	24	12	33	400	118055	29302	124459	2839973
273	2951	39	0	0	0	1279	125	0	0	6	3	15	175	118230	29302	124475	2137046
274	3031	68	0	0	2	2118	186	0	0	6	3	15	236	118466	29304	124485	2179121
275	3343	76	0	0	4	1232	206	0	0	0	0	0	222	118688	29308	124499	2398376
276	4301	271	0	0	6	1279	632	0	0	18	9	27	700	119388	29314	124548	3160001
