row	tu	raw_bytes	payload_wire_bytes	definition_wire_bytes	context_wire_bytes	selector_wire_bytes	wire_bytes	cumulative_raw_bytes	cumulative_charged_bytes	cumulative_charged_ratio	vocabulary_assets	online_promoted_assets	online_published_assets	seed_published_assets	online_selected_tus	candidate_state_bytes	logical_state_bytes
pretrained-seed-online-k2	60	1425503	3109	236	0	1	3346	58382757	205343	284.3182236550552	12577	8101	3811	1382	59	2095436	2443293
pretrained-seed-online-k2	61	1084107	596	622	0	1	1219	59466864	206562	287.88869201498824	12670	8194	3883	1384	60	2114348	2468314
pretrained-seed-online-k2	62	622851	425	213	0	1	639	60089715	207201	290.0068773799354	12688	8212	3904	1384	61	2109607	2464559
pretrained-seed-online-k2	63	1127345	1658	584	0	1	2243	61217060	209444	292.2836653234277	12848	8372	3990	1400	62	2108674	2470738
pretrained-seed-online-k2	64	1539901	1031	694	0	1	1726	62756961	211170	297.18691575507887	13076	8600	4094	1413	63	2151929	2522181
pretrained-seed-online-k2	65	650272	435	298	0	1	734	63407233	211904	299.2262203639384	13130	8654	4127	1413	64	2123759	2499722
pretrained-seed-online-k2	66	904019	895	143	0	1	1039	64311252	212943	302.01158056381286	13201	8725	4145	1413	65	2089377	2473531
pretrained-seed-online-k2	67	820648	827	298	0	1	1126	65131900	214069	304.2565714792894	13239	8763	4178	1414	66	2087015	2474199
pretrained-seed-online-k2	68	578728	575	313	0	1	889	65710628	214958	305.69054419933195	13404	8928	4232	1420	67	2119267	2511528
pretrained-seed-online-k2	69	11130	133	110	0	1	244	65721758	215202	305.39566546779304	13408	8932	4241	1422	68	2124673	2517038
pretrained-seed-online-k2	70	1499149	3533	609	0	1	4143	67220907	219345	306.46199822197906	13588	9112	4301	1422	69	2152840	2553397
pretrained-seed-online-k2	71	1435923	2647	309	0	1	2957	68656830	222302	308.84485969536934	13708	9232	4357	1445	70	2200314	2605871
pretrained-seed-online-k2	72	1456269	897	326	0	1	1224	70113099	223526	313.6686515215232	13878	9402	4406	1445	71	2204024	2616175
