tu_index	raw_this_tu	raw_cumulative	z19_this_tu	z19_cumulative	cold0_this_tu	cold0_cumulative	p29_this_tu	p29_cumulative	test_this_tu	test_cumulative	saving_vs_z19_cumulative	saving_vs_cold0_cumulative	saving_vs_p29_cumulative	exact	state_bytes
286	651101	822040416	0	0	2930	3206451	2920	3025666	2755	2961210	-2961210	245241	64456	1	24570182
287	133576	822173992	0	0	990	3207441	990	3026656	1053	2962263	-2962263	245178	64393	1	24573800
288	125115	822299107	0	0	1544	3208985	1549	3028205	1575	2963838	-2963838	245147	64367	1	24580706
289	4151779	826450886	0	0	243366	3452351	242551	3270756	243207	3207045	-3207045	245306	63711	1	28585829
290	125999	826576885	0	0	2042	3454393	2041	3272797	2071	3209116	-3209116	245277	63681	1	28594371
291	169201	826746086	0	0	6786	3461179	6812	3279609	7413	3216529	-3216529	244650	63080	1	28634347
292	6139	826752225	0	0	652	3461831	657	3280266	424	3216953	-3216953	244878	63313	1	28638204
293	142255	826894480	0	0	2650	3464481	2640	3282906	2673	3219626	-3219626	244855	63280	1	28649435
294	126729	827021209	0	0	1711	3466192	1722	3284628	1735	3221361	-3221361	244831	63267	1	28658673
295	84023	827105232	0	0	286	3466478	284	3284912	308	3221669	-3221669	244809	63243	1	28659586
296	679524	827784756	0	0	876	3467354	874	3285786	909	3222578	-3222578	244776	63208	1	28662831
297	127572	827912328	0	0	621	3467975	617	3286403	627	3223205	-3223205	244770	63198	1	28664945
