tu_index	raw_this_tu	raw_cumulative	z19_this_tu	z19_cumulative	cold0_this_tu	cold0_cumulative	test_this_tu	test_cumulative	saving_vs_z19_cumulative	saving_vs_cold0_cumulative	exact	state_bytes
276	4744274	785323099	0	0	17191	2802357	16627	2844248	-2844248	-41891	1	18633358
277	4618388	789941487	0	0	10532	2812889	9754	2854002	-2854002	-41113	1	18696496
278	4547253	794488740	0	0	9277	2822166	8627	2862629	-2862629	-40463	1	18755928
279	4171832	798660572	0	0	4670	2826836	4723	2867352	-2867352	-40516	1	18781060
280	4171832	802832404	0	0	53	2826889	53	2867405	-2867405	-40516	1	18781060
281	3984847	806817251	0	0	9537	2836426	9549	2876954	-2876954	-40528	1	18843165
282	10085962	816903213	0	0	351152	3187578	351498	3228452	-3228452	-40874	1	24482159
283	3669583	820572796	0	0	5365	3192943	6314	3234766	-3234766	-41823	1	24507872
284	135040	820707836	0	0	2611	3195554	2875	3237641	-3237641	-42087	1	24524925
285	681479	821389315	0	0	7967	3203521	8946	3246587	-3246587	-43066	1	24557141
286	651101	822040416	0	0	2930	3206451	3335	3249922	-3249922	-43471	1	24570182
287	133576	822173992	0	0	990	3207441	1142	3251064	-3251064	-43623	1	24573800
288	125115	822299107	0	0	1544	3208985	1847	3252911	-3252911	-43926	1	24580706
289	4151779	826450886	0	0	243366	3452351	244460	3497371	-3497371	-45020	1	28585829
290	125999	826576885	0	0	2042	3454393	2252	3499623	-3499623	-45230	1	28594371
291	169201	826746086	0	0	6786	3461179	7997	3507620	-3507620	-46441	1	28634347
292	6139	826752225	0	0	652	3461831	424	3508044	-3508044	-46213	1	28638204
293	142255	826894480	0	0	2650	3464481	3108	3511152	-3511152	-46671	1	28649435
294	126729	827021209	0	0	1711	3466192	1958	3513110	-3513110	-46918	1	28658673
295	84023	827105232	0	0	286	3466478	323	3513433	-3513433	-46955	1	28659586
296	679524	827784756	0	0	876	3467354	990	3514423	-3514423	-47069	1	28662831
297	127572	827912328	0	0	621	3467975	669	3515092	-3515092	-47117	1	28664945
298	131413	828043741	0	0	1047	3469022	1265	3516357	-3516357	-47335	1	28669025
299	477525	828521266	0	0	1399	3470421	1501	3517858	-3517858	-47437	1	28676236
300	137394	828658660	0	0	2206	3472627	2298	3520156	-3520156	-47529	1	28688963
301	119953	828778613	0	0	452	3473079	519	3520675	-3520675	-47596	1	28690585
302	144739	828923352	0	0	3589	3476668	4165	3524840	-3524840	-48172	1	28709037
