tu_index	raw_this_tu	raw_cumulative	z19_this_tu	z19_cumulative	cold0_this_tu	cold0_cumulative	test_this_tu	test_cumulative	saving_vs_z19_cumulative	saving_vs_cold0_cumulative	exact	state_bytes
121	7330220	802294203	0	0	23208	5314175	23420	5395147	-5395147	-80972	1	60587377
122	7064557	809358760	0	0	13770	5327945	13842	5408989	-5408989	-81044	1	60710292
123	6467463	815826223	0	0	8088	5336033	7979	5416968	-5416968	-80935	1	60788978
124	7057072	822883295	0	0	7408	5343441	8042	5425010	-5425010	-81569	1	60846655
125	4790346	827673641	0	0	33285	5376726	34881	5459891	-5459891	-83165	1	61202482
126	3761251	831434892	0	0	2737	5379463	2893	5462784	-5462784	-83321	1	61221678
127	3947047	835381939	0	0	8096	5387559	8298	5471082	-5471082	-83523	1	61322941
128	7430441	842812380	0	0	27747	5415306	27604	5498686	-5498686	-83380	1	61726322
129	5433776	848246156	0	0	26718	5442024	28020	5526706	-5526706	-84682	1	61965877
130	4376126	852622282	0	0	7962	5449986	8120	5534826	-5534826	-84840	1	62068264
131	3007938	855630220	0	0	1060	5451046	1159	5535985	-5535985	-84939	1	62076490
132	23836	855654056	0	0	270	5451316	269	5536254	-5536254	-84938	1	62077096
133	6281638	861935694	0	0	8577	5459893	8757	5545011	-5545011	-85118	1	62194844
134	7480315	869416009	0	0	26584	5486477	27135	5572146	-5572146	-85669	1	62486966
135	7574660	876990669	0	0	42142	5528619	41616	5613762	-5613762	-85143	1	62994863
136	6639062	883629731	0	0	31258	5559877	31357	5645119	-5645119	-85242	1	63337888
137	7945815	891575546	0	0	64789	5624666	64234	5709353	-5709353	-84687	1	64087914
138	3724090	895299636	0	0	6543	5631209	6687	5716040	-5716040	-84831	1	64165696
139	3843023	899142659	0	0	7031	5638240	7144	5723184	-5723184	-84944	1	64248381
140	7000859	906143518	0	0	4392	5642632	4758	5727942	-5727942	-85310	1	64291384
141	6896448	913039966	0	0	23695	5666327	23680	5751622	-5751622	-85295	1	64594872
142	6379620	919419586	0	0	9916	5676243	10171	5761793	-5761793	-85550	1	64718614
143	6263331	925682917	0	0	3115	5679358	3331	5765124	-5765124	-85766	1	64743303
144	7088268	932771185	0	0	15837	5695195	16116	5781240	-5781240	-86045	1	64910480
145	3635423	936406608	0	0	2869	5698064	3073	5784313	-5784313	-86249	1	64937896
146	7404348	943810956	0	0	24838	5722902	24630	5808943	-5808943	-86041	1	65296344
147	4317194	948128150	0	0	36215	5759117	36294	5845237	-5845237	-86120	1	65880418
148	7104067	955232217	0	0	9172	5768289	9104	5854341	-5854341	-86052	1	65971583
149	8356972	963589189	0	0	67736	5836025	66914	5921255	-5921255	-85230	1	67155766
150	7255353	970844542	0	0	12863	5848888	12637	5933892	-5933892	-85004	1	67392981
151	7061504	977906046	0	0	5775	5854663	5909	5939801	-5939801	-85138	1	67449035
152	5779804	983685850	0	0	15591	5870254	16281	5956082	-5956082	-85828	1	67577317
153	8895771	992581621	0	0	175948	6046202	176703	6132785	-6132785	-86583	1	69889120
154	6440036	999021657	0	0	16864	6063066	17255	6150040	-6150040	-86974	1	70138771
155	6496529	1005518186	0	0	8485	6071551	8316	6158356	-6158356	-86805	1	70206712
156	5907910	1011426096	0	0	23143	6094694	23119	6181475	-6181475	-86781	1	70477703
157	7119679	1018545775	0	0	8432	6103126	8554	6190029	-6190029	-86903	1	70572978
158	7232888	1025778663	0	0	20122	6123248	20401	6210430	-6210430	-87182	1	70743546
159	7507364	1033286027	0	0	41999	6165247	41100	6251530	-6251530	-86283	1	71246765
160	7142189	1040428216	0	0	21764	6187011	21981	6273511	-6273511	-86500	1	71405222
161	7488364	1047916580	0	0	24342	6211353	24560	6298071	-6298071	-86718	1	71780135
162	8005802	1055922382	0	0	67849	6279202	66877	6364948	-6364948	-85746	1	72674486
163	23758	1055946140	0	0	212	6279414	212	6365160	-6365160	-85746	1	72675014
164	6356588	1062302728	0	0	13236	6292650	13366	6378526	-6378526	-85876	1	72859551
165	3649805	1065952533	0	0	2712	6295362	2881	6381407	-6381407	-86045	1	72882324
166	7139480	1073092013	0	0	9721	6305083	9914	6391321	-6391321	-86238	1	72996630
167	7452198	1080544211	0	0	9610	6314693	9887	6401208	-6401208	-86515	1	73126520
168	7173922	1087718133	0	0	9702	6324395	9945	6411153	-6411153	-86758	1	73266770
169	7160733	1094878866	0	0	12364	6336759	12900	6424053	-6424053	-87294	1	73388953
170	7113950	1101992816	0	0	9208	6345967	9377	6433430	-6433430	-87463	1	73493219
171	7231380	1109224196	0	0	16466	6362433	16443	6449873	-6449873	-87440	1	73697409
172	7019657	1116243853	0	0	1894	6364327	2021	6451894	-6451894	-87567	1	73708681
173	5183646	1121427499	0	0	29262	6393589	29973	6481867	-6481867	-88278	1	73921885
174	2162869	1123590368	0	0	1064	6394653	1189	6483056	-6483056	-88403	1	73924787
175	3142124	1126732492	0	0	2755	6397408	2770	6485826	-6485826	-88418	1	73939812
176	2223075	1128955567	0	0	994	6398402	1132	6486958	-6486958	-88556	1	73943062
177	2615539	1131571106	0	0	867	6399269	864	6487822	-6487822	-88553	1	73947136
178	3981402	1135552508	0	0	1460	6400729	1533	6489355	-6489355	-88626	1	73953449
179	2850732	1138403240	0	0	1803	6402532	1802	6491157	-6491157	-88625	1	73963280
180	2838577	1141241817	0	0	1691	6404223	1751	6492908	-6492908	-88685	1	73973876
181	4879602	1146121419	0	0	38036	6442259	39210	6532118	-6532118	-89859	1	74233992
182	4845540	1150966959	0	0	4493	6446752	4554	6536672	-6536672	-89920	1	74258233
183	4689839	1155656798	0	0	6516	6453268	6728	6543400	-6543400	-90132	1	74298987
184	4656339	1160313137	0	0	7061	6460329	7021	6550421	-6550421	-90092	1	74349222
185	2623276	1162936413	0	0	338	6460667	350	6550771	-6550771	-90104	1	74349887
186	3994653	1166931066	0	0	1264	6461931	1319	6552090	-6552090	-90159	1	74353659
187	4542847	1171473913	0	0	1349	6463280	1478	6553568	-6553568	-90288	1	74359754
188	6271625	1177745538	0	0	3520	6466800	3336	6556904	-6556904	-90104	1	74375889
189	2831477	1180577015	0	0	613	6467413	582	6557486	-6557486	-90073	1	74376899
190	2782214	1183359229	0	0	597	6468010	597	6558083	-6558083	-90073	1	74378282
191	5865217	1189224446	0	0	1589	6469599	1502	6559585	-6559585	-89986	1	74385440
192	2789676	1192014122	0	0	1368	6470967	1466	6561051	-6561051	-90084	1	74390199
193	5959389	1197973511	0	0	5894	6476861	5506	6566557	-6566557	-89696	1	74431374
194	5026810	1203000321	0	0	2717	6479578	2793	6569350	-6569350	-89772	1	74452644
195	2787187	1205787508	0	0	756	6480334	762	6570112	-6570112	-89778	1	74456204
196	2672301	1208459809	0	0	835	6481169	861	6570973	-6570973	-89804	1	74458705
197	5949296	1214409105	0	0	8407	6489576	8011	6578984	-6578984	-89408	1	74515874
198	5298519	1219707624	0	0	6715	6496291	6786	6585770	-6585770	-89479	1	74562623
199	4849710	1224557334	0	0	1543	6497834	1522	6587292	-6587292	-89458	1	74572268
200	5429129	1229986463	0	0	1944	6499778	2087	6589379	-6589379	-89601	1	74582783
201	2783250	1232769713	0	0	1477	6501255	1666	6591045	-6591045	-89790	1	74589990
202	4807746	1237577459	0	0	1502	6502757	1676	6592721	-6592721	-89964	1	74598579
203	5431111	1243008570	0	0	2293	6505050	2372	6595093	-6595093	-90043	1	74612744
