logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions
75	75	3	4195677	42552	7498459	273822584	8767497	9202	220	33106	24	0	1	118	9076	356	5278	27452	1	1	109
76	76	4	4317460	62073	15085817	278140044	8829570	5382	542	56125	24	0	1	318	5055	379	9860	45866	1	1	291
77	77	5	3962533	13933	6516381	282102577	8843503	9109	202	4598	24	0	1	271	8829	358	1770	2451	1	1	96
78	78	6	3653738	51138	8194307	285756315	8894641	8837	550	41727	24	0	1	440	8388	360	9269	32078	1	1	319
79	79	7	4360662	82232	10472084	290116977	8976873	6425	1099	74684	24	0	1	457	5959	397	17594	56672	1	1	658
80	80	0	3641496	35125	6970880	293758473	9011998	5624	567	28910	24	0	1	272	5343	362	6739	21789	1	1	302
81	81	1	4854234	38805	8892316	298612707	9050803	11537	389	26855	24	0	1	198	11330	374	5330	21131	1	1	206
82	82	2	1633591	3867	2582676	300246298	9054670	3292	39	512	24	0	1	21	3263	376	118	1	1	1	15
83	83	3	3944700	32156	7727779	304190998	9086826	8512	353	23267	24	0	1	366	8137	413	3659	19175	1	1	176
84	84	4	5042057	155691	15972916	309233055	9242517	7200	1730	146737	24	0	1	378	6813	496	29876	116344	1	1	1028
85	85	5	3659721	16401	5847631	312892776	9258918	4777	194	11406	24	0	1	242	4526	519	2491	8377	1	1	92
86	86	6	2144976	6232	3177355	315037752	9265150	5255	23	930	24	0	1	25	5222	481	113	318	1	1	7
87	87	7	3561155	12360	4590544	318598907	9277510	8410	47	3879	24	0	1	67	8335	482	609	2769	1	1	19
88	88	0	3556695	11962	5022782	322155602	9289472	8533	59	3346	24	0	1	35	8490	475	685	2167	1	1	25
89	89	1	3272470	12712	5152002	325428072	9302184	7619	47	5022	24	0	1	27	7584	449	1042	3512	1	1	19
90	90	2	3461960	11893	4912013	328890032	9314077	8631	71	3167	24	0	1	85	8538	444	717	1987	1	1	31
91	91	3	3523849	9358	5167473	332413881	9323435	7771	61	1502	24	0	1	54	7709	427	386	670	1	1	26
92	92	4	3489699	14881	5789042	335903580	9338316	8598	113	6146	24	0	1	162	8427	277	1798	4052	1	1	52
93	93	5	3220543	6961	4676923	339124123	9345277	3837	65	3035	24	0	1	99	3730	255	562	2199	1	1	28
94	94	6	3249087	11313	4402253	342373210	9356590	8027	97	3165	24	0	1	77	7942	242	1522	1382	1	1	44
95	95	7	4333113	25868	7121090	346706323	9382458	5870	208	19766	24	0	1	285	5576	302	3308	16137	1	1	113
96	96	0	3517462	9928	5367912	350223785	9392386	7217	123	2564	24	0	1	138	7070	316	846	1383	1	1	57
97	97	1	3547675	24180	5507611	353771460	9416566	8944	272	14940	24	0	1	301	8634	332	3496	11093	1	1	136
98	98	2	3179678	21649	5632502	356951138	9438215	7806	222	13597	24	0	1	100	7698	311	2846	10421	1	1	106
99	99	3	3859590	18964	6123191	360810728	9457179	9741	177	9022	24	0	1	115	9618	306	1971	6726	1	1	89
100	100	4	3433195	34701	6770520	364243923	9491880	8332	425	25920	24	0	1	73	8251	317	5573	20010	1	1	225
101	101	5	3071572	42978	5897261	367315495	9534858	7115	119	35720	24	0	1	140	6966	358	1578	33764	1	1	55
102	102	6	3525715	10763	4491833	370841210	9545621	8235	42	2462	24	0	1	45	8182	369	384	1690	1	1	17
103	103	7	5110625	129484	21261789	375951835	9675105	10826	1144	117490	24	0	1	1091	9726	288	25498	91683	1	1	687
104	104	0	3463434	8296	4886972	379415269	9683401	4228	101	3943	24	0	1	77	4143	285	723	2916	1	1	46
105	105	1	3540687	10477	4292694	382955956	9693878	8853	67	1533	24	0	1	99	8746	280	400	834	1	1	29
106	106	2	3244383	3074	4908723	386200339	9696952	773	35	2242	24	0	1	53	712	272	426	1525	1	1	13
107	107	3	3662822	9597	5462721	389863161	9706549	4124	101	5348	24	0	1	116	4000	278	1025	4026	1	1	46
108	108	4	4307369	22934	6443961	394170530	9729483	9014	123	13773	24	0	1	171	8834	256	2271	11227	1	1	62
109	109	5	4136276	63207	9703865	398306806	9792690	5503	580	57100	24	0	1	76	5419	212	13927	42941	1	1	344
110	110	6	2776734	8912	3894864	401083540	9801602	6575	85	2228	24	0	1	116	6451	250	550	1409	1	1	38
111	111	7	3350332	30568	6179001	404433872	9832170	8333	345	21866	24	0	1	114	8211	277	3901	17668	1	1	179
112	112	0	3439469	32619	6436391	407873341	9864789	3635	103	28857	24	0	1	174	3452	310	2435	26092	1	1	49
113	113	1	4692869	42019	6310440	412566210	9906808	8076	421	33498	24	0	1	349	7718	299	5491	27688	1	1	219
114	114	2	2637187	55539	7378549	415203397	9962347	2620	708	52187	24	0	1	117	2495	321	9723	42123	1	1	418
115	115	3	681	528	526280	415204078	9962875	30	21	453	24	0	1	22	1	309	51	76	1	1	6
116	116	4	2409700	8019	3895334	417613778	9970894	5754	97	2144	24	0	1	152	5593	321	1060	744	1	1	44
117	117	5	2524092	18625	4616233	420137870	9989519	6076	283	12242	24	0	1	85	5983	304	2627	9292	1	1	136
118	118	6	3294128	6042	4295153	423431998	9995561	146	57	5815	24	0	1	89	50	274	1008	4514	1	1	24
119	119	7	3798909	11914	4988363	427230907	10007475	8557	93	3240	24	0	1	108	8441	259	707	2255	1	1	42
120	120	0	3950423	24329	6239360	431181330	10031804	9054	232	15019	24	0	1	205	8840	273	4098	10629	1	1	114
