tu	raw	wire	cumulative_raw	cumulative_wire	keys	missing	occurrences	body_bytes
570	2011535	84808	1781210709	123797523	27746	133	66912	135328
571	2009216	86666	1783219925	123884189	27694	54	66839	130838
572	1979400	84154	1785199325	123968343	27148	18	65896	126056
573	3702862	145304	1788902187	124113647	38575	1094	87180	429098
574	3749648	158658	1792651835	124272305	39449	2773	89717	357529
575	4018308	158231	1796670143	124430536	42930	1460	96805	296727
576	3323555	109609	1799993698	124540145	37374	13	85834	171580
577	4514112	136195	1804507810	124676340	45774	47	102031	217927
578	2186810	114354	1806694620	124790694	30589	1708	72220	219414
579	3341904	123583	1810036524	124914277	39061	550	87736	206555
580	2333058	102545	1812369582	125016822	31759	378	75185	180752
581	2974693	176703	1815344275	125193525	38617	3297	89734	426162
582	2284107	110123	1817628382	125303648	30812	1312	74206	232917
583	2414788	104980	1820043170	125408628	33279	304	78454	173646
584	2577207	129374	1822620377	125538002	34896	1375	82595	261896
585	2143596	91785	1824763973	125629787	28889	434	69739	176250
586	3699572	170887	1828463545	125800674	43654	2108	97553	347040
587	2177328	91253	1830640873	125891927	29309	170	71145	147054
588	2085298	86935	1832726171	125978862	28441	116	68538	140564
589	2894746	134076	1835620917	126112938	37340	1229	87896	251373
590	2908014	169205	1838528931	126282143	37083	3171	86516	408165
591	2494136	102832	1841023067	126384975	33463	82	79823	170385
592	2217584	86562	1843240651	126471537	28739	36	69061	134835
593	1905492	86308	1845146143	126557845	27148	276	66091	140300
594	2330791	100856	1847476934	126658701	30585	731	72248	182808
595	1087119	46915	1848564053	126705616	15528	44	37481	65674
596	2349598	98369	1850913651	126803985	31018	263	75350	175268
597	2576070	119907	1853489721	126923892	31015	1301	75324	389545
598	1176510	54057	1854666231	126977949	16573	210	38914	85264
599	2504606	124824	1857170837	127102773	33527	1405	79606	255554
600	4162861	145184	1861333698	127247957	46963	306	104388	243585
601	3894958	132552	1865228656	127380509	44851	51	99445	207212
602	4149735	137346	1869378391	127517855	45497	193	100890	219032
603	4129003	145229	1873507394	127663084	46597	396	103596	237460
604	2528026	97094	1876035420	127760178	32022	67	77995	155649
605	4408218	138817	1880443638	127898995	46629	89	102607	219752
606	2046587	112836	1882490225	128011831	29698	1593	71937	223638
607	3350385	118676	1885840610	128130507	38212	207	86694	192353
608	5198451	146547	1891039061	128277054	48409	158	105252	241198
609	3377777	108687	1894416838	128385741	35999	127	82433	173285
610	4923524	147841	1899340362	128533582	47518	323	103017	256189
611	3546200	110898	1902886562	128644480	36606	43	83324	175997
612	3177664	102033	1906064226	128746513	34236	105	78003	161924
613	3256025	105160	1909320251	128851673	34892	122	80049	177307
614	3165253	102162	1912485504	128953835	34152	27	77854	162582
615	3167780	102753	1915653284	129056588	34180	49	77903	164577
616	2560948	95267	1918214232	129151855	31290	162	73745	154266
617	2081443	84582	1920295675	129236437	27985	45	68535	134145
618	3489168	116892	1923784843	129353329	36077	526	81322	220008
619	2791384	103703	1926576227	129457032	32791	351	76750	183666
620	2918630	104776	1929494857	129561808	34051	222	78878	173210
621	4351380	210837	1933846237	129772645	44650	4157	99477	527374
622	3185468	110398	1937031705	129883043	35140	447	80470	196016
623	4601829	131181	1941633534	130014224	44352	76	98087	206410
624	2429099	96488	1944062633	130110712	30148	409	71264	163359
625	3250950	122508	1947313583	130233220	35763	1029	81655	254400
626	2086449	85025	1949400032	130318245	28027	54	68649	134345
627	3162250	105681	1952562282	130423926	34863	146	80001	169618
628	2582616	94060	1955144898	130517986	31327	86	73878	149542
629	2345178	89931	1957490076	130607917	30059	35	71698	141395
630	3160636	104976	1960650712	130712893	34851	127	79982	167746
631	2101856	86449	1962752568	130799342	28132	109	68826	141777
632	2466428	90636	1965218996	130889978	30189	44	72157	143011
633	2075171	86441	1967294167	130976419	27900	154	68491	142490
634	2053163	83609	1969347330	131060028	27659	22	68056	131111
635	2172636	86811	1971519966	131146839	29029	19	70049	136417
636	1954546	95746	1973474512	131242585	26982	840	65623	189644
637	1169054	51799	1974643566	131294384	16615	138	39696	75323
638	1987523	89837	1976631089	131384221	27349	409	66256	154825
639	1974251	82626	1978605340	131466847	27069	112	65720	134115
640	1966992	87117	1980572332	131553964	27192	305	66038	142651
641	1709360	94292	1982281692	131648256	24613	1427	61748	184413
642	2042392	90476	1984324084	131738732	27672	351	67005	157188
643	868758	37611	1985192842	131776343	11733	137	29866	59310
644	1000818	47859	1986193660	131824202	13435	486	33715	104571
645	1966144	86295	1988159804	131910497	27217	264	66076	139010
646	2268993	101244	1990428797	132011741	31009	630	74287	208994
647	1150717	55621	1991579514	132067362	16499	391	39562	87647
648	2112337	95252	1993691851	132162614	28684	544	69169	166333
649	2077118	89265	1995768969	132251879	28911	122	70155	141884
650	2361936	97825	1998130905	132349704	30980	184	75029	204512
651	1193897	64485	1999324802	132414189	17416	733	41295	106058
652	2023839	94907	2001348641	132509096	28269	479	68134	175130
653	1579055	71039	2002927696	132580135	22568	82	54756	105258
654	2057911	91584	2004985607	132671719	28670	235	68845	154382
655	2042454	85575	2007028061	132757294	28347	70	68220	138174
656	2048018	91511	2009076079	132848805	28607	305	68970	151351
657	1790086	82928	2010866165	132931733	26071	49	64608	125637
658	2220232	95192	2013086397	133026925	29832	229	71318	163084
659	1575317	74138	2014661714	133101063	22500	235	54570	116910
660	1248596	64801	2015910310	133165864	17714	778	42742	131364
661	2463263	118334	2018373573	133284198	33008	1030	78295	262168
662	2101001	101361	2020474574	133385559	29245	908	70240	185437
663	2357194	103964	2022831768	133489523	31864	613	74192	182378
664	2294021	98782	2025125789	133588305	30903	331	73598	168738
