tu	raw_bytes	wire_bytes	cumulative_raw_bytes	cumulative_wire_bytes	cumulative_ratio	exact
180	2713361	1140	442928776	662458	668.614124971	true
181	2268959	565	445197735	663023	671.46650267	true
182	2511893	766	447709628	663789	674.475816863	true
183	2212354	420	449921982	664209	677.380134867	true
184	1073604	538	450995586	664747	678.446967042	true
185	1366959	873	452362545	665620	679.610806466	true
186	325	146	452362870	665766	679.462258511	true
187	2118251	683	454481121	666449	681.944336326	true
188	2356187	1050	456837308	667499	684.401486744	true
189	1007976	644	457845284	668143	685.250438903	true
190	2223884	621	460069168	668764	687.939494351	true
191	1704348	432	461773516	669196	690.04225369	true
192	2658791	771	464432307	669967	693.21669127	true
193	2439350	815	466871657	670782	696.011009538	true
194	2405856	974	469277513	671756	698.583284705	true
195	2456741	486	471734254	672242	701.73278968	true
196	2470543	505	474204797	672747	704.878352486	true
197	2362976	246	476567773	672993	708.131842382	true
198	2654731	706	479222504	673699	711.330288452	true
199	2396038	580	481618542	674279	714.271899318	true
200	2632910	1757	484251452	676036	716.31015508	true
201	2478645	586	486730097	676622	719.353046457	true
202	2652393	691	489382490	677313	722.53520898	true
203	2441544	426	491824034	677739	725.683535992	true
204	2479012	438	494303046	678177	728.870259534	true
205	2399600	439	496702646	678616	731.934770179	true
206	2873750	630	499576396	679246	735.486695542	true
207	2382075	316	501958471	679562	738.649999559	true
208	2553704	1000	504512175	680562	741.316992427	true
209	2391960	254	506904135	680816	744.553792802	true
210	2622336	476	509526471	681292	747.882656776	true
211	2619518	362	512145989	681654	751.328370405	true
212	2494372	1705	514640361	683359	753.103948291	true
213	2495241	450	517135602	683809	756.257378888	true
214	2487428	395	519623030	684204	759.456287891	true
215	2305717	758	521928747	684962	761.982047179	true
216	2326096	318	524254843	685280	765.022827166	true
217	2408422	382	526663265	685662	768.109163115	true
218	2386717	423	529049982	686085	771.11434006	true
219	2342635	250	531392617	686335	774.246711883	true
220	2489940	732	533882557	687067	777.045844146	true
221	2368695	341	536251252	687408	780.106213486	true
222	2422110	390	538673362	687798	783.185414904	true
223	2475405	665	541148767	688463	786.024473356	true
224	2252241	499	543401008	688962	788.724208302	true
225	2374208	30218	545775216	719180	758.885419506	true
226	2693052	836	548468268	720016	761.744555677	true
227	2666456	708	551134724	720724	764.695950183	true
228	2553937	386	553688661	721110	767.82829388	true
229	2346114	304	556034775	721414	770.756840039	true
230	2409340	392	558444115	721806	773.676188616	true
231	2340205	453	560784320	722259	776.431058665	true
232	2481373	614	563265693	722873	779.204221212	true
233	2362237	253	565627930	723126	782.198302924	true
234	2474320	562	568102250	723688	785.009907584	true
235	2476482	701	570578732	724389	787.668962395	true
236	2531228	493	573109960	724882	790.625177615	true
237	2943150	764	576053110	725646	793.848667256	true
238	2636019	617	578689129	726263	796.803814871	true
239	2613053	766	581302182	727029	799.558452276	true
240	2664781	771	583966963	727800	802.372853806	true
241	2622925	631	586589888	728431	805.278589187	true
242	2648297	1283	589238185	729714	807.491955753	true
243	2526827	492	591765012	730206	810.408312175	true
244	2599094	566	594364106	730772	813.337273459	true
245	2747044	1157	597111150	731929	815.804743356	true
246	2567770	739	599678920	732668	818.486572363	true
247	2585609	490	602264529	733158	821.466217377	true
248	2377721	449	604642250	733607	824.204580927	true
249	2439147	314	607081397	733921	827.17540035	true
250	2498732	418	609580129	734339	830.107251555	true
251	2492858	357	612072987	734696	833.096936692	true
252	2305541	442	614378528	735138	835.732240749	true
253	2433637	367	616812165	735505	838.624027029	true
254	2824965	867	619637130	736372	841.472964752	true
255	2529647	625	622166777	736997	844.191736194	true
256	2415075	600	624581852	737597	846.779273777	true
257	2465497	581	627047349	738178	849.452772908	true
258	2299995	408	629347344	738586	852.097581054	true
259	2701672	851	632049016	739437	854.770610613	true
