group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	anchor_samples	anchor_occupied	anchor_usable	anchor_collisions	anchor_matches	closed_by
42	336	344	25992704	273021	27503	945.09	824547250	1073741824	4469	2391	1036	795	241	tu
43	344	352	23672654	455902	49599	477.28	850539954	1073741824	7747	5295	1661	1308	353	tu
44	352	360	45746968	872959	81961	558.16	874212608	1073741824	14525	8713	2981	2517	464	tu
45	360	368	37119039	265911	29761	1247.24	919959576	1073741824	4990	3113	1072	716	356	tu
46	368	376	43947360	165180	17766	2473.68	957078615	1073741824	2813	1642	601	392	209	tu
47	376	384	44953363	165980	21135	2126.96	1001025975	1073741824	3223	2110	696	381	315	tu
48	384	392	44876526	365337	42547	1054.75	1045979338	1073741824	5966	3840	1124	719	405	tu
49	392	400	46524615	462068	60683	766.68	1090855864	1073741824	8039	6473	1224	838	386	tu
50	400	408	35979930	772435	91224	394.41	1137380479	1073741824	16406	15104	2083	1648	435	tu
51	408	416	24893368	994285	122754	202.79	1173360409	1073741824	16537	12638	1996	1677	319	tu
52	416	424	25068587	163130	21371	1173.02	1198253777	1073741824	3254	2568	559	316	243	tu
53	424	432	21341865	215176	30267	705.12	1223322364	1073741824	3630	2474	578	363	215	tu
54	432	440	36256924	702797	89641	404.47	1244664229	1073741824	11762	9381	1712	1184	528	tu
55	440	448	44930622	411168	48194	932.29	1280921153	1073741824	7638	5937	1128	673	455	tu
56	448	456	31153762	146251	21891	1423.13	1325851775	1073741824	2498	1678	488	213	275	tu
57	456	464	29542150	226738	24059	1227.90	1357005537	1073741824	3862	2502	611	358	253	tu
58	464	472	19594001	66565	9356	2094.27	1386547687	1073741824	1181	830	208	81	127	tu
59	472	480	29163324	402707	42882	680.08	1406141688	1073741824	6447	5216	939	567	372	tu
60	480	488	32325702	271276	35998	897.99	1435305012	1073741824	4488	3855	687	373	314	tu
61	488	496	24324417	595620	57076	426.18	1467630714	1073741824	12088	8345	1513	1059	454	tu
62	496	504	11941598	161389	17963	664.79	1491955131	1073741824	2794	1616	547	226	321	tu
63	504	512	45525773	633165	64950	700.94	1503896729	1073741824	11333	8562	1591	1058	533	tu
64	512	520	44095901	383615	38874	1134.33	1549422502	1073741824	6313	3745	999	612	387	tu
65	520	528	34451045	383293	42820	804.55	1593518403	1073741824	6361	4623	921	602	319	tu
66	528	536	18652534	119215	20458	911.75	1627969448	1073741824	2014	1337	390	171	219	tu
67	536	544	37224738	1906451	120612	308.63	1646621982	1073741824	30276	20541	4060	3014	1046	tu
68	544	552	51751679	1678410	65478	790.37	1683846720	1073741824	26597	14806	3685	3025	660	tu
69	552	560	45697214	2629879	116859	391.05	1735598399	1073741824	42280	23192	5465	5116	349	tu
70	560	568	40568860	1595987	47981	845.52	1781295613	1073741824	25737	14039	3617	3148	469	tu
71	568	576	50389933	9005700	198881	253.37	1821864473	1073741824	152524	90987	26173	24422	1751	tu
72	576	584	54006855	2522743	101507	532.05	1872254406	1073741824	39645	23467	7960	7555	405	tu
73	584	592	49668893	3766572	104851	473.71	1926261261	1073741824	60206	35980	15002	13176	1826	tu
74	592	600	27199408	2003280	56923	477.83	1975930154	1073741824	31523	18443	7798	6866	932	tu
75	600	608	20127236	16518	3786	5316.23	2003129562	1073741824	364	320	197	64	133	tu
76	608	616	8958830	560901	56305	159.11	2023256798	1073741824	8869	6262	2092	2016	76	tu
77	616	622	8363144	15484	3553	2353.83	2032215628	1073741824	494	414	173	91	82	tu
