tu	raw	cumulative_raw	fastintern_wire	fastintern_cum_wire	grz2_cum_wire	grz2_group	grz2_group_closes	fastintern_ratio	grz2_ratio	grz2_fine_cum_wire	p29_wire	p29_cum_wire	p29_ratio	p29_b_root	p29_b_need	p29_b_fill
22	630003	25403644	27873	1699305	0	-1	0	14.95	NA	245563	2073	555419	45.74	1630	31	388
23	1446429	26850073	71881	1771186	0	-1	0	15.16	NA	315354	6063	561482	47.82	3262	59	2718
24	1543572	28393645	74341	1845527	0	-1	0	15.39	NA	315354	4737	566219	50.15	3443	31	1239
25	210007	28603652	8381	1853908	0	-1	0	15.43	NA	315354	991	567210	50.43	465	25	477
26	1341834	29945486	67925	1921833	0	-1	0	15.58	NA	315354	6464	573674	52.20	3395	43	3002
27	11192	29956678	1157	1922990	0	-1	0	15.58	NA	315354	698	574372	52.16	26	19	629
28	746326	30703004	34667	1957657	0	-1	0	15.68	NA	315354	1131	575503	53.35	302	43	762
29	802893	31505897	38129	1995786	0	-1	0	15.79	NA	315354	2865	578368	54.47	2323	23	495
30	102214	31608111	4546	2000332	0	-1	0	15.80	NA	315354	629	578997	54.59	202	29	374
31	1150341	32758452	57608	2057940	0	-1	0	15.92	NA	322449	2954	581951	56.29	194	59	2677
32	1697061	34455513	79015	2136955	0	-1	0	16.12	NA	322449	9464	591415	58.26	4033	85	5322
33	811031	35266544	38034	2174989	0	-1	0	16.21	NA	322449	2864	594279	59.34	2378	29	433
34	846319	36112863	39795	2214784	0	-1	0	16.31	NA	322449	2881	597160	60.47	2359	35	463
35	851146	36964009	37797	2252581	0	-1	0	16.41	NA	322449	2068	599228	61.69	1831	21	192
36	724853	37688862	32734	2285315	0	-1	0	16.49	NA	322449	2087	601315	62.68	1838	17	208
37	1144269	38833131	54243	2339558	0	-1	0	16.60	NA	322449	3670	604985	64.19	2934	25	687
38	622239	39455370	27169	2366727	0	-1	0	16.67	NA	322449	1961	606946	65.01	1714	17	206
39	1273377	40728747	61686	2428413	0	-1	0	16.77	NA	327638	3762	610708	66.69	2487	59	1192
40	650986	41379733	28300	2456713	0	-1	0	16.84	NA	327638	2047	612755	67.53	1678	23	322
41	354545	41734278	16529	2473242	0	-1	0	16.87	NA	327638	891	613646	68.01	670	17	180
42	1149413	42883691	56850	2530092	0	-1	0	16.95	NA	327638	6311	619957	69.17	3079	67	3141
43	1240270	44123961	56883	2586975	0	-1	0	17.06	NA	327638	2945	622902	70.84	2433	31	457
44	1705459	45829420	83493	2670468	0	-1	0	17.16	NA	327638	8080	630982	72.63	3724	43	4289
45	1619994	47449414	83028	2753496	0	-1	0	17.23	NA	327638	8304	639286	74.22	3749	37	4494
46	1113360	48562774	63974	2817470	0	-1	0	17.24	NA	327638	12911	652197	74.46	2813	169	9905
47	17188	48579962	1002	2818472	0	-1	0	17.24	NA	344650	683	652880	74.41	200	25	434
48	803111	49383073	37929	2856401	0	-1	0	17.29	NA	344650	2781	655661	75.32	2345	45	367
49	898645	50281718	42889	2899290	0	-1	0	17.34	NA	344650	2939	658600	76.35	2358	41	516
50	1082936	51364654	50493	2949783	0	-1	0	17.41	NA	344650	3254	661854	77.61	2793	17	420
51	810229	52174883	38045	2987828	0	-1	0	17.46	NA	344650	2703	664557	78.51	2367	19	293
52	763024	52937907	35350	3023178	0	-1	0	17.51	NA	344650	2686	667243	79.34	1814	29	819
53	5297	52943204	453	3023631	0	-1	0	17.51	NA	344650	446	667689	79.29	84	33	305
54	921806	53865010	44655	3068286	0	-1	0	17.56	NA	344650	3359	671048	80.27	2533	25	777
55	1507436	55372446	79273	3147559	0	-1	0	17.59	NA	351955	9063	680111	81.42	3543	205	5291
56	610513	55982959	23744	3171303	0	-1	0	17.65	NA	351955	1952	682063	82.08	1396	37	495
57	58777	56041736	2539	3173842	0	-1	0	17.66	NA	351955	927	682990	82.05	433	35	435
58	915518	56957254	44594	3218436	0	-1	0	17.70	NA	351955	2190	685180	83.13	776	43	1347
59	1425503	58382757	67534	3285970	0	-1	0	17.77	NA	351955	5999	691179	84.47	3656	47	2272
60	1084107	59466864	50629	3336599	0	-1	0	17.82	NA	351955	3096	694275	85.65	2615	27	430
61	622851	60089715	27343	3363942	0	-1	0	17.86	NA	351955	366	694641	86.50	31	27	284
62	1127345	61217060	52214	3416156	0	-1	0	17.92	NA	351955	2400	697041	87.82	961	57	1358
63	1539901	62756961	72490	3488646	0	-1	0	17.99	NA	358139	3961	701002	89.52	3595	29	313
64	650272	63407233	28540	3517186	0	-1	0	18.03	NA	358139	549	701551	90.38	54	29	442
65	904019	64311252	44082	3561268	0	-1	0	18.06	NA	358139	4166	705717	91.13	2409	51	1682
66	820648	65131900	37174	3598442	0	-1	0	18.10	NA	358139	2966	708683	91.91	2025	53	864
67	578728	65710628	22097	3620539	0	-1	0	18.15	NA	358139	1543	710226	92.52	1188	25	306
68	11130	65721758	1118	3621657	0	-1	0	18.15	NA	358139	840	711066	92.43	149	15	652
69	1499149	67220907	67096	3688753	0	-1	0	18.22	NA	358139	3884	714950	94.02	3342	37	481
70	1435923	68656830	75901	3764654	0	-1	0	18.24	NA	358139	9662	724612	94.75	3493	137	6008
71	1456269	70113099	68448	3833102	0	-1	0	18.29	NA	367517	4812	729424	96.12	2936	35	1817
72	1057213	71170312	51470	3884572	0	-1	0	18.32	NA	367517	3347	732771	97.12	2458	45	820
73	1770010	72940322	88633	3973205	0	-1	0	18.36	NA	367517	11799	744570	97.96	4135	115	7525
74	664725	73605047	29696	4002901	0	-1	0	18.39	NA	367517	2574	747144	98.52	1792	31	727
75	355364	73960411	16897	4019798	0	-1	0	18.40	NA	367517	1126	748270	98.84	662	19	421
76	827991	74788402	38819	4058617	0	-1	0	18.43	NA	367517	2504	750774	99.62	2059	21	400
77	371917	75160319	17681	4076298	0	-1	0	18.44	NA	367517	569	751343	100.03	155	27	363
78	840575	76000894	39440	4115738	0	-1	0	18.47	NA	367517	2643	753986	100.80	2420	29	170
79	940358	76941252	46289	4162027	0	-1	0	18.49	NA	376951	4031	758017	101.50	2599	27	1381
80	1421405	78362657	68508	4230535	0	-1	0	18.52	NA	376951	2075	760092	103.10	1365	23	663
81	1140109	79502766	55547	4286082	0	-1	0	18.55	NA	376951	1970	762062	104.33	941	35	970
82	759822	80262588	34902	4320984	0	-1	0	18.58	NA	376951	2586	764648	104.97	1953	23	586
83	1645089	81907677	79932	4400916	0	-1	0	18.61	NA	376951	5132	769780	106.40	3013	39	2056
84	1445789	83353466	71845	4472761	0	-1	0	18.64	NA	376951	4718	774498	107.62	2277	53	2364
85	810229	84163695	38180	4510941	0	-1	0	18.66	NA	376951	352	774850	108.62	26	19	283
86	1342192	85505887	65056	4575997	0	-1	0	18.69	NA	376951	3229	778079	109.89	1187	71	1947
87	768484	86274371	36877	4612874	0	-1	0	18.70	NA	385176	2291	780370	110.56	164	25	2078
88	1437020	87711391	72081	4684955	0	-1	0	18.72	NA	385176	4971	785341	111.69	1796	71	3080
89	102624	87814015	4447	4689402	0	-1	0	18.73	NA	385176	579	785920	111.73	246	31	278
90	943068	88757083	45821	4735223	0	-1	0	18.74	NA	385176	2571	788491	112.57	1772	19	756
91	1225492	89982575	63163	4798386	0	-1	0	18.75	NA	385176	3344	791835	113.64	583	31	2706
92	1589878	91572453	77957	4876343	0	-1	0	18.78	NA	385176	6653	798488	114.68	3477	53	3099
93	1096125	92668578	50850	4927193	0	-1	0	18.81	NA	385176	3094	801582	115.61	2798	17	255
94	1097655	93766233	50972	4978165	0	-1	0	18.84	NA	385176	765	802347	116.86	24	21	696
95	2060575	95826808	93698	5071863	0	-1	0	18.89	NA	395023	4175	806522	118.81	1505	51	2595
96	1098560	96925368	51515	5123378	0	-1	0	18.92	NA	395023	818	807340	120.06	32	25	737
97	1591784	98517152	74361	5197739	0	-1	0	18.95	NA	395023	4314	811654	121.38	3440	21	829
98	2239326	100756478	149133	5346872	0	-1	0	18.84	NA	395023	39806	851460	118.33	2733	346	36703
99	1587818	102344296	74039	5420911	0	-1	0	18.88	NA	395023	564	852024	120.12	18	15	507
100	1102324	103446620	51284	5472195	0	-1	0	18.90	NA	395023	3745	855769	120.88	2806	23	892
101	1257028	104703648	59744	5531939	0	-1	0	18.93	NA	395023	2969	858738	121.93	2446	21	478
102	1104566	105808214	50042	5581981	0	-1	0	18.96	NA	395023	3659	862397	122.69	2579	35	1021
103	1305128	107113342	64183	5646164	0	-1	0	18.97	NA	423957	5047	867444	123.48	2609	35	2379
104	1334678	108448020	70004	5716168	0	-1	0	18.97	NA	423957	5775	873219	124.19	119	51	5581
105	1482217	109930237	69316	5785484	0	-1	0	19.00	NA	423957	2292	875511	125.56	611	53	1604
106	1067317	110997554	48010	5833494	0	-1	0	19.03	NA	423957	2993	878504	126.35	2420	17	532
107	2148131	113145685	99605	5933099	0	-1	0	19.07	NA	423957	7755	886259	127.67	3871	73	3787
108	1456734	114602419	73051	6006150	0	-1	0	19.08	NA	423957	3957	890216	128.74	880	87	2966
109	1944167	116546586	92315	6098465	0	-1	0	19.11	NA	423957	6885	897101	129.91	3588	49	3224
110	1275060	117821646	61768	6160233	0	-1	0	19.13	NA	423957	1653	898754	131.09	135	23	1471
111	658225	118479871	28866	6189099	388779	0	1	19.14	304.75	437195	2315	901069	131.49	1845	21	425
112	1315464	119795335	64051	6253150	388779	0	0	19.16	308.13	437195	5090	906159	132.20	3154	33	1879
113	1067085	120862420	47797	6300947	388779	0	0	19.18	310.88	437195	367	906526	133.32	18	15	310
114	1707493	122569913	82433	6383380	388779	0	0	19.20	315.27	437195	2756	909282	134.80	632	35	2065
115	1312724	123882637	64092	6447472	388779	0	0	19.21	318.65	437195	2674	911956	135.84	685	37	1928
116	1318821	125201458	65927	6513399	388779	0	0	19.22	322.04	437195	3234	915190	136.80	58	35	3117
117	1539510	126740968	72834	6586233	388779	0	0	19.24	326.00	437195	523	915713	138.41	34	25	440
118	1737115	128478083	77903	6664136	388779	0	0	19.28	330.47	437195	4879	920592	139.56	1106	130	3619
119	1263854	129741937	60227	6724363	388779	0	0	19.29	333.72	447149	1461	922053	140.71	215	51	1171
120	1185229	130927166	56175	6780538	388779	0	0	19.31	336.77	447149	1302	923355	141.80	61	57	1160
121	1500925	132428091	68281	6848819	388779	0	0	19.34	340.63	447149	1905	925260	143.13	869	41	971
122	1500845	133928936	68088	6916907	388779	0	0	19.36	344.49	447149	1631	926891	144.49	728	39	840
123	1108849	135037785	51843	6968750	388779	0	0	19.38	347.34	447149	965	927856	145.54	67	65	809
124	3707928	138745713	189673	7158423	388779	0	0	19.38	356.88	447149	85247	1013103	136.95	7553	2028	75642
125	2646392	141392105	116910	7275333	388779	0	0	19.43	363.68	447149	9329	1022432	138.29	6635	178	2492
126	1329549	142721654	63917	7339250	388779	0	0	19.45	367.10	447149	2577	1025009	139.24	478	98	1977
127	1108022	143829676	51768	7391018	388779	0	0	19.46	369.95	472819	885	1025894	140.20	67	53	741
128	2099460	145929136	93555	7484573	388779	0	0	19.50	375.35	472819	3516	1029410	141.76	725	161	2603
129	1368541	147297677	65541	7550114	388779	0	0	19.51	378.87	472819	2156	1031566	142.79	410	74	1645
130	1297054	148594731	61474	7611588	388779	0	0	19.52	382.21	472819	1260	1032826	143.87	760	32	441
131	214310	148809041	7882	7619470	388779	0	0	19.53	382.76	472819	522	1033348	144.01	465	10	20
132	858997	149668038	37791	7657261	388779	0	0	19.55	384.97	472819	2110	1035458	144.54	2053	10	20
133	221150	149889188	8195	7665456	388779	0	0	19.55	385.54	472819	568	1036026	144.68	511	10	20
134	919338	150808526	41900	7707356	388779	0	0	19.57	387.90	472819	2549	1038575	145.21	2492	10	20
135	1813167	152621693	77934	7785290	388779	0	0	19.60	392.57	476252	3659	1042234	146.44	3602	10	20
136	1343775	153965468	60900	7846190	388779	0	0	19.62	396.02	476252	3459	1045693	147.24	3402	10	20
137	840989	154806457	38787	7884977	388779	0	0	19.63	398.19	476252	2490	1048183	147.69	2433	10	20
138	1361166	156167623	64664	7949641	388779	0	0	19.64	401.69	476252	3415	1051598	148.51	3358	10	20
139	1065261	157232884	47843	7997484	388779	0	0	19.66	404.43	476252	2504	1054102	149.16	2447	10	20
140	1155669	158388553	55058	8052542	388779	0	0	19.67	407.40	476252	3395	1057497	149.78	2951	12	405
141	1254613	159643166	58945	8111487	388779	0	0	19.68	410.63	476252	3169	1060666	150.51	3112	10	20
142	2156016	161799182	97940	8209427	388779	0	0	19.71	416.17	476252	5374	1066040	151.78	4877	12	458
143	630003	162429185	27379	8236806	388779	0	0	19.72	417.79	476465	1838	1067878	152.10	1781	10	20
144	1446429	163875614	68196	8305002	388779	0	0	19.73	421.51	476465	3408	1071286	152.97	3351	10	20
145	1543572	165419186	72673	8377675	388779	0	0	19.75	425.48	476465	3488	1074774	153.91	3431	10	20
146	210007	165629193	7778	8385453	388779	0	0	19.75	426.02	476465	510	1075284	154.03	453	10	20
147	1341834	166971027	64672	8450125	388779	0	0	19.76	429.48	476465	3401	1078685	154.79	3344	10	20
148	11192	166982219	479	8450604	388779	0	0	19.76	429.50	476465	205	1078890	154.77	148	10	20
149	746326	167728545	33718	8484322	388779	0	0	19.77	431.42	476465	2019	1080909	155.17	1962	10	20
150	802893	168531438	37497	8521819	388779	0	0	19.78	433.49	476465	2366	1083275	155.58	2309	10	20
151	102214	168633652	4145	8525964	388779	0	0	19.78	433.75	476667	297	1083572	155.63	240	10	20
152	1150341	169783993	53997	8579961	388779	0	0	19.79	436.71	476667	2964	1086536	156.26	2907	10	20
153	1697061	171481054	75548	8655509	388779	0	0	19.81	441.08	476667	4049	1090585	157.24	3992	10	20
154	811031	172292085	37746	8693255	388779	0	0	19.82	443.16	476667	2419	1093004	157.63	2362	10	20
155	846282	173138367	39530	8732785	388779	0	0	19.83	445.34	476667	2783	1095787	158.00	2502	12	242
156	851146	173989513	37611	8770396	388779	0	0	19.84	447.53	476667	2066	1097853	158.48	2009	10	20
157	724853	174714366	32531	8802927	388779	0	0	19.85	449.39	476667	1897	1099750	158.87	1840	10	20
158	1144269	175858635	53471	8856398	388779	0	0	19.86	452.34	476667	2923	1102673	159.48	2866	10	20
159	622239	176480874	26976	8883374	388779	0	0	19.87	453.94	476875	1775	1104448	159.79	1718	10	20
160	1273377	177754251	60021	8943395	388779	0	0	19.88	457.21	476875	3214	1107662	160.48	3157	10	20
161	650986	178405237	28038	8971433	388779	0	0	19.89	458.89	476875	1859	1109521	160.79	1802	10	20
162	354545	178759782	16343	8987776	388779	0	0	19.89	459.80	476875	720	1110241	161.01	663	10	20
163	1149413	179909195	52903	9040679	388779	0	0	19.90	462.75	476875	3114	1113355	161.59	3057	10	20
164	1240270	181149465	56351	9097030	388779	0	0	19.91	465.94	476875	2623	1115978	162.32	2566	10	20
165	1705459	182854924	81003	9178033	388779	0	0	19.92	470.33	476875	3772	1119750	163.30	3715	10	20
166	1619994	184474918	76456	9254489	388779	0	0	19.93	474.50	476875	3794	1123544	164.19	3737	10	20
167	1113286	185588204	51818	9306307	388779	0	0	19.94	477.36	477334	3384	1126928	164.69	2922	12	423
168	17188	185605392	673	9306980	388779	0	0	19.94	477.41	477334	243	1127171	164.66	186	10	20
169	803111	186408503	37490	9344470	388779	0	0	19.95	479.47	477334	2388	1129559	165.03	2331	10	20
170	898645	187307148	42263	9386733	388779	0	0	19.95	481.78	477334	2625	1132184	165.44	2568	10	20
171	1082936	188390084	50023	9436756	388779	0	0	19.96	484.57	477334	2843	1135027	165.98	2786	10	20
172	810229	189200313	37746	9474502	388779	0	0	19.97	486.65	477334	2408	1137435	166.34	2351	10	20
173	763024	189963337	34297	9508799	388779	0	0	19.98	488.62	477334	2006	1139441	166.72	1949	10	20
174	5297	189968634	168	9508967	388779	0	0	19.98	488.63	477334	184	1139625	166.69	127	10	20
175	921806	190890440	43779	9552746	388779	0	0	19.98	491.00	477536	2606	1142231	167.12	2549	10	20
176	1507436	192397876	71937	9624683	388779	0	0	19.99	494.88	477536	3684	1145915	167.90	3627	10	20
177	610513	193008389	23107	9647790	388779	0	0	20.01	496.45	477536	1472	1147387	168.22	1415	10	20
178	58777	193067166	2172	9649962	388779	0	0	20.01	496.60	477536	503	1147890	168.19	446	10	20
179	915518	193982684	42901	9692863	388779	0	0	20.01	498.95	477536	2728	1150618	168.59	2671	10	20
180	1425503	195408187	64437	9757300	388779	0	0	20.03	502.62	477536	3701	1154319	169.28	3644	10	20
181	1084107	196492294	50193	9807493	388779	0	0	20.03	505.41	477536	2842	1157161	169.81	2785	10	20
182	622851	197115145	27041	9834534	388779	0	0	20.04	507.01	477536	1785	1158946	170.08	1728	10	20
183	1127345	198242490	50532	9885066	388779	0	0	20.05	509.91	477738	2730	1161676	170.65	2673	10	20
184	650272	198892762	28067	9913133	388779	0	0	20.06	511.58	477738	1833	1163509	170.94	1776	10	20
185	904019	199796781	41839	9954972	388779	0	0	20.07	513.91	477738	2733	1166242	171.32	2676	10	20
186	820648	200617429	36347	9991319	388779	0	0	20.08	516.02	477738	2124	1168366	171.71	2067	10	20
187	578728	201196157	21767	10013086	388779	0	0	20.09	517.51	477738	1334	1169700	172.01	1277	10	20
188	11130	201207287	460	10013546	388779	0	0	20.09	517.54	477738	205	1169905	171.99	148	10	20
189	1499149	202706436	66459	10080005	388779	0	0	20.11	521.39	477738	3612	1173517	172.73	3555	10	20
190	1435923	204142359	68265	10148270	388779	0	0	20.12	525.09	477738	3657	1177174	173.42	3600	10	20
191	1456269	205598628	66021	10214291	388779	0	0	20.13	528.83	477940	2943	1180117	174.22	2886	10	20
192	1057213	206655841	50449	10264740	388779	0	0	20.13	531.55	477940	2859	1182976	174.69	2802	10	20
193	1769936	208425777	82975	10347715	388779	0	0	20.14	536.10	477940	4712	1187688	175.49	4035	14	636
194	664725	209090502	28744	10376459	388779	0	0	20.15	537.81	477940	1946	1189634	175.76	1889	10	20
195	355364	209445866	16398	10392857	388779	0	0	20.15	538.73	477940	721	1190355	175.95	664	10	20
196	827991	210273857	38378	10431235	388779	0	0	20.16	540.86	477940	2435	1192790	176.29	2378	10	20
197	371917	210645774	17276	10448511	388779	0	0	20.16	541.81	477940	815	1193605	176.48	758	10	20
198	840636	211486410	39235	10487746	388779	0	0	20.17	543.98	477940	2504	1196109	176.81	2406	12	59
199	940358	212426768	44448	10532194	388779	0	0	20.17	546.39	478281	2637	1198746	177.21	2580	10	20
200	1421405	213848173	67697	10599891	388779	0	0	20.17	550.05	478281	3259	1202005	177.91	3202	10	20
201	1140109	214988282	54399	10654290	388779	0	0	20.18	552.98	478281	2989	1204994	178.41	2932	10	20
202	759822	215748104	34170	10688460	388779	0	0	20.19	554.94	478281	2014	1207008	178.75	1957	10	20
203	1645052	217393156	77509	10765969	388779	0	0	20.19	559.17	478281	4175	1211183	179.49	3637	12	499
204	1445678	218838834	69034	10835003	388779	0	0	20.20	562.89	478281	3915	1215098	180.10	3328	12	548
205	810229	219649063	37926	10872929	388779	0	0	20.20	564.97	478281	2400	1217498	180.41	2343	10	20
206	1342192	220991255	62586	10935515	388779	0	0	20.21	568.42	478281	3039	1220537	181.06	2982	10	20
207	768484	221759739	34457	10969972	388779	0	0	20.22	570.40	478771	2035	1222572	181.39	1978	10	20
208	1437020	223196759	68025	11037997	388779	0	0	20.22	574.10	478771	3299	1225871	182.07	3242	10	20
209	102624	223299383	4164	11042161	388779	0	0	20.22	574.36	478771	308	1226179	182.11	251	10	20
210	943031	224242414	45191	11087352	388779	0	0	20.23	576.79	478771	2956	1229135	182.44	2611	12	306
211	1225418	225467832	59939	11147291	388779	0	0	20.23	579.94	478771	3950	1233085	182.85	3145	12	766
212	1589878	227057710	74129	11221420	388779	0	0	20.23	584.03	478771	3509	1236594	183.62	3452	10	20
213	1096125	228153835	50634	11272054	388779	0	0	20.24	586.85	478771	2858	1239452	184.08	2801	10	20
214	1097655	229251490	50218	11322272	388779	0	0	20.25	589.67	478771	2859	1242311	184.54	2802	10	20
215	2060538	231312028	90880	11413152	388779	0	0	20.27	594.97	478992	5258	1247569	185.41	4613	12	606
216	1098560	232410588	50662	11463814	388779	0	0	20.27	597.80	478992	2868	1250437	185.86	2811	10	20
217	1591784	234002372	73529	11537343	388779	0	0	20.28	601.89	478992	3500	1253937	186.61	3443	10	20
218	2239326	236241698	103615	11640958	388779	0	0	20.29	607.65	478992	4826	1258763	187.68	4769	10	20
219	1587818	237829516	73464	11714422	388779	0	0	20.30	611.73	478992	3494	1262257	188.42	3437	10	20
220	1102324	238931840	50854	11765276	388779	0	0	20.31	614.57	478992	2879	1265136	188.86	2822	10	20
221	1257028	240188868	59195	11824471	388779	0	0	20.31	617.80	478992	3157	1268293	189.38	3100	10	20
222	1104566	241293434	48713	11873184	388779	0	0	20.32	620.64	478992	2640	1270933	189.86	2583	10	20
223	1305128	242598562	61005	11934189	424652	1	1	20.33	571.29	479194	3339	1274272	190.38	3282	10	20
224	1334678	243933240	62701	11996890	424652	1	0	20.33	574.43	479194	3422	1277694	190.92	3365	10	20
225	1482217	245415457	67208	12064098	424652	1	0	20.34	577.92	479194	3101	1280795	191.61	3044	10	20
226	1067317	246482774	47374	12111472	424652	1	0	20.35	580.43	479194	2476	1283271	192.07	2419	10	20
227	2148131	248630905	95484	12206956	424652	1	0	20.37	585.49	479194	4865	1288136	193.02	4808	10	20
228	1456734	250087639	69201	12276157	424652	1	0	20.37	588.92	479194	3713	1291849	193.59	3656	10	20
229	1944167	252031806	88663	12364820	424652	1	0	20.38	593.50	479194	4498	1296347	194.42	4441	10	20
230	1275060	253306866	59858	12424678	424652	1	0	20.39	596.50	479194	3210	1299557	194.92	3153	10	20
231	658225	253965091	28363	12453041	424652	1	0	20.39	598.05	479396	1907	1301464	195.14	1850	10	20
232	1315464	255280555	61641	12514682	424652	1	0	20.40	601.15	479396	3398	1304862	195.64	3341	10	20
233	1067085	256347640	47517	12562199	424652	1	0	20.41	603.67	479396	2479	1307341	196.08	2422	10	20
234	1707493	258055133	79841	12642040	424652	1	0	20.41	607.69	479396	3877	1311218	196.81	3820	10	20
235	1312724	259367857	61408	12703448	424652	1	0	20.42	610.78	479396	3411	1314629	197.29	3354	10	20
236	1318821	260686678	61748	12765196	424652	1	0	20.42	613.88	479396	3369	1317998	197.79	3312	10	20
237	1539901	262226579	72179	12837375	424652	1	0	20.43	617.51	479396	3660	1321658	198.41	3603	10	20
238	1748159	263974738	82621	12919996	424652	1	0	20.43	621.63	479396	1383	1323041	199.52	473	48	835
239	1607717	265582455	75689	12995685	424652	1	0	20.44	625.41	481414	1600	1324641	200.49	667	70	836
240	214310	265796765	7882	13003567	424652	1	0	20.44	625.92	481414	69	1324710	200.65	12	10	20
241	858551	266655316	38227	13041794	424652	1	0	20.45	627.94	481414	9170	1333880	199.91	2112	50	6981
242	221150	266876466	8195	13049989	424652	1	0	20.45	628.46	481414	70	1333950	200.06	12	10	21
243	918182	267794648	41973	13091962	424652	1	0	20.45	630.62	481414	5081	1339031	199.99	2591	30	2433
244	1812753	269607401	77896	13169858	424652	1	0	20.47	634.89	481414	9633	1348664	199.91	3671	24	5911
245	1342683	270950084	60925	13230783	424652	1	0	20.48	638.05	481414	3541	1352205	200.38	3250	14	250
246	839869	271789953	38713	13269496	424652	1	0	20.48	640.03	481414	2568	1354773	200.62	2510	10	21
247	1359478	273149431	64603	13334099	424652	1	0	20.49	643.23	486787	9621	1364394	200.20	2850	24	6720
248	1064821	274214252	47802	13381901	424652	1	0	20.49	645.74	486787	2539	1366933	200.61	2481	10	21
249	1154609	275368861	54729	13436630	424652	1	0	20.49	648.46	486787	6552	1373485	200.49	3036	16	3473
250	1253540	276622401	59170	13495800	424652	1	0	20.50	651.41	486787	3566	1377051	200.88	3057	14	468
251	2153022	278775423	97959	13593759	424652	1	0	20.51	656.48	486787	10446	1387497	200.92	4998	34	5387
252	629535	279404958	27375	13621134	424652	1	0	20.51	657.96	486787	1927	1389424	201.09	1801	12	87
253	1445312	280850270	68047	13689181	424652	1	0	20.52	661.37	486787	2735	1392159	201.74	2677	10	21
254	1542491	282392761	72616	13761797	424652	1	0	20.52	665.00	486787	2930	1395089	202.42	2872	10	21
255	210007	282602768	7778	13769575	424652	1	0	20.52	665.49	490700	70	1395159	202.56	12	10	21
256	1340085	283942853	64546	13834121	424652	1	0	20.52	668.65	490700	3473	1398632	203.01	3415	10	21
257	11192	283954045	479	13834600	424652	1	0	20.52	668.67	490700	70	1398702	203.01	12	10	21
258	745287	284699332	33802	13868402	424652	1	0	20.53	670.43	490700	1042	1399744	203.39	801	14	200
259	801773	285501105	37421	13905823	424652	1	0	20.53	672.32	490700	2391	1402135	203.62	2333	10	21
260	101775	285602880	4118	13909941	424652	1	0	20.53	672.56	490700	291	1402426	203.65	233	10	21
261	1149261	286752141	53963	13963904	424652	1	0	20.54	675.26	490700	782	1403208	204.35	724	10	21
262	1696005	288448146	75421	14039325	424652	1	0	20.55	679.26	490700	3924	1407132	204.99	3866	10	21
263	809875	289258021	37679	14077004	424652	1	0	20.55	681.16	492074	2447	1409579	205.21	2389	10	21
264	845163	290103184	39266	14116270	424652	1	0	20.55	683.16	492074	933	1410512	205.67	875	10	21
265	850700	290953884	37584	14153854	424652	1	0	20.56	685.16	492074	908	1411420	206.14	850	10	21
