tu	raw	wire	cumulative_raw	cumulative_wire	keys	missing	occurrences	body_bytes
150	3226990	145359	515950555	26118934	46085	29	120673	243461
151	3603368	166721	519553923	26285655	49122	587	127735	284460
152	2002292	93799	521556215	26379454	28281	240	75595	154268
153	3593725	191250	525149940	26570704	51528	1451	134149	353831
154	3270700	150571	528420640	26721275	47390	132	122539	248308
155	3103667	142298	531524307	26863573	44894	111	116640	235980
156	2318918	104497	533843225	26968070	32427	76	86800	170386
157	2324434	105082	536167659	27073152	32500	98	86976	172322
158	2859562	132018	539027221	27205170	40456	189	107271	220589
159	2745201	126620	541772422	27331790	38982	174	102760	211387
160	5268437	494126	547040859	27825916	78607	18317	193803	1471977
161	3901021	185189	550941880	28011105	58118	87	146133	301126
162	5648896	270490	556590776	28281595	82188	744	202441	463547
163	4647203	231769	561237979	28513364	63844	1518	196291	460027
164	5384109	272852	566622088	28786216	79958	1381	196284	487267
165	3757878	184721	570379966	28970937	56115	427	140013	307233
166	4255021	201018	574634987	29171955	62820	126	157684	328178
167	4422666	212356	579057653	29384311	65104	309	163828	352707
168	3665053	169631	582722706	29553942	51304	285	132023	278709
169	6169470	317803	588892176	29871745	90223	2031	220221	578322
170	5098648	255702	593990824	30127447	72436	1532	182982	464044
171	4376001	213658	598366825	30341105	64408	383	162192	354738
172	4191388	200270	602558213	30541375	61847	283	155381	332076
173	4459467	231918	607017680	30773293	65817	1333	166004	416172
174	5079225	243129	612096905	31016422	75909	364	187282	406462
175	4068126	216454	616165031	31232876	60458	1506	181349	428067
176	4262079	201787	620427110	31434663	63135	143	158132	329649
177	4530667	216012	624957777	31650675	66991	258	197961	387287
178	4484470	205885	629442247	31856560	64275	196	161672	342815
179	2004029	93108	631446276	31949668	28169	158	74497	152727
180	6572910	372566	638019186	32322234	97376	4334	234193	734614
181	3576456	178742	641595642	32500976	51477	865	131524	322894
182	5937659	290126	647533301	32791102	86857	1288	211696	510224
183	5258676	249578	652791977	33040680	78467	269	193406	415118
184	3933920	188725	656725897	33229405	58510	62	146647	302721
185	4009788	193770	660735685	33423175	59475	313	149498	320700
186	5365076	262867	666100761	33686042	79921	683	197567	450400
187	3855476	176133	669956237	33862175	54996	116	138270	285225
188	5658648	262386	675614885	34124561	82504	222	202814	432724
189	4427369	222877	680042254	34347438	65101	744	163943	377387
190	3511244	167988	683553498	34515426	52088	89	129454	266961
191	4067346	191706	687620844	34707132	60443	26	181309	341399
192	4183656	199027	691804500	34906159	61743	316	155043	331741
193	5805682	277896	697610182	35184055	84389	753	206628	473387
194	4353898	206566	701964080	35390621	63988	70	161197	334722
195	4100812	180963	706064892	35571584	56006	97	144162	295268
