group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	anchor_samples	anchor_occupied	anchor_usable	anchor_collisions	anchor_matches	closed_by
98	784	792	13702760	97338	15747	870.18	1178675590	1073741824	1741	1076	377	220	157	tu
99	792	800	14768352	77346	15223	970.13	1192378350	1073741824	1346	751	270	192	78	tu
100	800	808	15616580	328447	40618	384.47	1207146702	1073741824	5382	3927	856	724	132	tu
101	808	816	14990634	136202	18103	828.07	1222763282	1073741824	2247	1440	459	335	124	tu
102	816	824	14398156	230693	32465	443.50	1237753916	1073741824	3937	3018	661	520	141	tu
103	824	832	16226212	140894	22165	732.06	1252152072	1073741824	2357	731	416	303	113	tu
104	832	840	15655256	164621	25761	607.71	1268378284	1073741824	2659	1299	573	371	202	tu
105	840	848	14855016	76812	13517	1098.99	1284033540	1073741824	1370	441	320	204	116	tu
106	848	856	15991483	119493	20606	776.06	1298888556	1073741824	2385	1022	561	322	239	tu
107	856	864	15857957	154523	27058	586.07	1314880039	1073741824	2677	1536	544	351	193	tu
108	864	872	15923675	63551	11816	1347.64	1330737996	1073741824	1194	538	245	155	90	tu
109	872	880	16037038	166364	29836	537.51	1346661671	1073741824	3005	1331	521	387	134	tu
110	880	888	13953057	1985073	293018	47.62	1362698709	1073741824	31115	7706	4452	4300	152	tu
111	888	896	13616721	200764	32807	415.06	1376651766	1073741824	3458	1633	625	442	183	tu
112	896	904	18324098	404558	55167	332.16	1390268487	1073741824	6584	3849	1126	880	246	tu
113	904	912	18321152	321617	48175	380.30	1408592585	1073741824	5463	3334	912	754	158	tu
114	912	920	23577995	1558093	177547	132.80	1426913737	1073741824	26934	23954	4487	3826	661	tu
115	920	928	15387025	271487	39491	389.63	1450491732	1073741824	4367	1334	783	639	144	tu
116	928	936	15506282	184903	27453	564.83	1465878757	1073741824	3106	947	594	432	162	tu
117	936	944	17055123	57953	10182	1675.03	1481385039	1073741824	1097	471	348	115	233	tu
118	944	952	25008380	798756	102317	244.42	1498440162	1073741824	12828	8654	1973	1735	238	tu
119	952	960	36945865	1162672	146814	251.65	1523448542	1073741824	18163	8082	2723	2664	59	tu
120	960	968	35388437	918554	119056	297.24	1560394407	1073741824	14781	6725	2313	2100	213	tu
121	968	976	30094834	407627	55223	544.97	1595782844	1073741824	6580	5043	1184	925	259	tu
122	976	984	33672695	405960	61560	546.99	1625877678	1073741824	6919	3380	1249	893	356	tu
123	984	992	32706513	248943	39413	829.84	1659550373	1073741824	4265	1775	935	595	340	tu
124	992	1000	34106232	504442	73947	461.23	1692256886	1073741824	8222	3582	1546	1150	396	tu
125	1000	1008	33870107	653102	90804	373.00	1726363118	1073741824	10589	7738	1966	1481	485	tu
126	1008	1016	37185172	420048	59297	627.10	1760233225	1073741824	6743	2416	1364	938	426	tu
127	1016	1024	36494611	330156	48427	753.60	1797418397	1073741824	5388	1736	1087	751	336	tu
128	1024	1032	32114967	229878	35844	895.96	1833913008	1073741824	4358	1884	855	611	244	tu
129	1032	1040	33652748	470103	68292	492.78	1866027975	1073741824	7574	4487	1401	1013	388	tu
130	1040	1048	30101093	323800	45500	661.56	1899680723	1073741824	5354	1739	986	703	283	tu
131	1048	1056	34941919	514883	72644	481.00	1929781816	1073741824	8527	3215	1464	1116	348	tu
132	1056	1064	28585713	170910	28442	1005.05	1964723735	1073741824	2933	1437	614	329	285	tu
133	1064	1072	29973043	236882	33563	893.04	1993309448	1073741824	3959	1939	824	510	314	tu
134	1072	1080	28199350	287644	46150	611.04	2023282491	1073741824	4752	2212	953	619	334	tu
135	1080	1088	27621600	235204	38447	718.43	2051481841	1073741824	3891	3100	733	505	228	tu
136	1088	1096	28254247	310099	46262	610.74	2079103441	1073741824	5183	3103	920	716	204	tu
137	1096	1104	30447463	281603	45919	663.07	2107357688	1073741824	4615	2019	876	596	280	tu
138	1104	1112	37536935	301823	43859	855.85	2137805151	1073741824	5061	1800	1059	640	419	tu
139	1112	1120	27591343	119940	18516	1490.14	2175342086	1073741824	2082	870	417	232	185	tu
140	1120	1128	30507724	172620	32290	944.80	2202933429	1073741824	3809	2925	748	427	321	tu
141	1128	1136	28147604	353898	53919	522.03	2233441153	1073741824	6579	5123	968	732	236	tu
142	1136	1144	33403829	1096891	142781	233.95	2261588757	1073741824	17829	10727	2616	2129	487	tu
143	1144	1152	27679767	78023	14306	1934.84	2294992586	1073741824	1336	712	327	139	188	tu
144	1152	1160	22054955	827751	106488	207.11	2322672353	1073741824	13996	11494	2118	1572	546	tu
145	1160	1168	20214231	120163	22525	897.41	2344727308	1073741824	2120	965	519	212	307	tu
146	1168	1176	19756924	437792	58400	338.30	2364941539	1073741824	7115	3729	1224	895	329	tu
147	1176	1184	23242100	485615	68769	337.97	2384698463	1073741824	8093	4639	1239	902	337	tu
148	1184	1192	20651038	186830	31776	649.89	2407940563	1073741824	3288	1830	641	384	257	tu
149	1192	1200	20895788	509324	70124	297.98	2428591601	1073741824	8405	3745	1251	1032	219	tu
150	1200	1208	21901513	454900	62397	351.00	2449487389	1073741824	7393	3998	1130	876	254	tu
151	1208	1216	19214707	292180	41353	464.65	2471388902	1073741824	4799	1625	769	606	163	tu
152	1216	1224	20501363	438211	63050	325.16	2490603609	1073741824	7103	4581	990	832	158	tu
153	1224	1232	22898131	219395	31966	716.33	2511104972	1073741824	3995	1915	724	416	308	tu
154	1232	1238	12526413	61205	11109	1127.59	2534003103	1073741824	1052	506	206	103	103	tu
