tu	raw	cumulative_raw	p29batch_wire	p29batch_cum_wire	p29batch_ratio	grz2_cum_wire	grz2_group_closes	grz2_ratio	grz2_fine_cum_wire	fastintern_wire	fastintern_cum_wire	fastintern_ratio	pred_cum_wire	pred_ratio	predfrozen_cum_wire	p29socket_wire	p29socket_cum_wire	p29socket_ratio	p29socket_b_root	p29socket_b_need	p29socket_b_fill
82	2377693	205774101	675	463968	443.51	0	0	NA	420607	100398	9219077	22.32	493766	416.74	2487234	2303	958364	214.71	74	51	2154
83	2400484	208174585	501	464469	448.20	0	0	NA	420607	99890	9318967	22.34	495039	420.52	2521770	4975	963339	216.10	3537	35	1379
84	3013940	211188525	619	465088	454.08	0	0	NA	420607	122916	9441883	22.37	496716	425.17	2522383	1937	965276	218.79	84	57	1772
85	2377649	213566174	644	465732	458.56	0	0	NA	420607	99100	9540983	22.38	497827	429.00	2538934	2850	968126	220.60	1541	33	1252
86	3005612	216571786	480	466212	464.53	0	0	NA	420607	122319	9663302	22.41	499501	433.58	2539543	1378	969504	223.38	84	57	1213
87	2348487	218920273	520	466732	469.05	0	0	NA	430053	99940	9763242	22.42	500644	437.28	2574476	5533	975037	224.53	3277	41	2191
88	2348611	221268884	737	467469	473.33	0	0	NA	430053	98629	9861871	22.44	502197	440.60	2581393	2723	977760	226.30	665	41	1993
89	2337947	223606831	549	468018	477.77	0	0	NA	430053	98770	9960641	22.45	503321	444.26	2582184	1597	979357	228.32	126	33	1414
90	2337992	225944823	639	468657	482.11	0	0	NA	430053	98300	10058941	22.46	504765	447.62	2614611	4995	984352	229.54	3330	33	1608
91	2344278	228289101	522	469179	486.57	0	0	NA	430053	99057	10157998	22.47	506365	450.84	2615035	1934	986286	231.46	56	41	1813
92	2344556	230633657	512	469691	491.03	0	0	NA	430053	98784	10256782	22.49	507409	454.53	2615462	1740	988026	233.43	56	41	1619
93	2330751	232964408	386	470077	495.59	0	0	NA	430053	98912	10355694	22.50	508202	458.41	2615837	1728	989754	235.38	52	37	1615
94	2331112	235295520	436	470513	500.08	0	0	NA	430053	98682	10454376	22.51	508830	462.42	2616212	1630	991384	237.34	52	37	1517
95	2346925	237642445	490	471003	504.55	0	0	NA	437696	99825	10554201	22.52	510081	465.89	2664868	6856	998240	238.06	4862	41	1929
96	2328573	239971018	295	471298	509.17	0	0	NA	437696	98088	10652289	22.53	510954	469.65	2665116	1105	999345	240.13	40	27	1014
97	2372874	242343892	534	471832	513.62	0	0	NA	437696	100850	10753139	22.54	511719	473.59	2665544	2843	1002188	241.81	60	41	2718
98	2273420	244617312	371	472203	518.03	0	0	NA	437696	97971	10851110	22.54	512354	477.44	2666380	2649	1004837	243.44	136	31	2458
99	3038128	247655440	1140	473343	523.21	0	0	NA	437696	126122	10977232	22.56	514726	481.14	2722070	9856	1014693	244.07	5810	81	3941
100	2372439	250027879	433	473776	527.73	0	0	NA	437696	100830	11078062	22.57	515360	485.15	2722514	2674	1017367	245.76	68	31	2551
101	2376944	252404823	566	474342	532.12	0	0	NA	437696	102066	11180128	22.58	516016	489.14	2722889	3576	1020943	247.23	52	37	3463
102	2368489	254773312	426	474768	536.63	0	0	NA	437696	99107	11279235	22.59	517677	492.15	2725700	1926	1022869	249.08	348	39	1515
103	2368621	257141933	551	475319	540.99	0	0	NA	449572	97893	11377128	22.60	518976	495.48	2778039	6095	1028964	249.90	5271	21	779
104	2368771	259510704	211	475530	545.73	0	0	NA	449572	97898	11475026	22.62	520015	499.04	2830374	5725	1034689	250.81	5271	19	411
105	2368746	261879450	194	475724	550.49	0	0	NA	449572	97904	11572930	22.63	521054	502.60	2830522	477	1035166	252.98	24	19	410
106	2368198	264247648	189	475913	555.24	0	0	NA	449572	97910	11670840	22.64	522094	506.13	2830670	473	1035639	255.15	24	19	406
107	2371350	266618998	218	476131	559.97	0	0	NA	449572	98539	11769379	22.65	523131	509.66	2830815	1053	1036692	257.18	22	19	988
108	2365502	268984500	509	476640	564.33	0	0	NA	449572	98221	11867600	22.67	524409	512.93	2831213	1150	1037842	259.18	56	39	1031
109	2365636	271350136	458	477098	568.75	0	0	NA	449572	97530	11965130	22.68	525714	516.16	2883549	5789	1043631	260.01	5272	21	472
110	2365786	273715922	316	477414	573.33	0	0	NA	449572	97528	12062658	22.69	526757	519.62	2935881	5577	1049208	260.88	5273	19	261
111	2365761	276081683	287	477701	577.94	409592	1	674.04	452060	97532	12160190	22.70	527797	523.08	2936029	329	1049537	263.05	24	19	262
112	2365217	278446900	75803	553504	503.06	409592	0	679.82	452060	97600	12257790	22.72	528839	526.52	2936177	405	1049942	265.20	24	19	338
113	2364358	280811258	211	553715	507.14	409592	0	685.59	452060	97909	12355699	22.73	529877	529.96	2936322	618	1050560	267.30	22	19	553
114	2368271	283179529	449	554164	511.00	409592	0	691.37	452060	98349	12454048	22.74	531152	533.14	2936721	1221	1051781	269.24	56	39	1102
115	2368413	285547942	450	554614	514.86	409592	0	697.15	452060	97564	12551612	22.75	532452	536.29	2989059	5802	1057583	270.00	5271	21	486
116	2368563	287916505	265	554879	518.88	409592	0	702.93	452060	97569	12649181	22.76	533493	539.68	3041394	5520	1063103	270.83	5271	19	206
117	2368538	290285043	246	555125	522.92	409592	0	708.72	452060	97569	12746750	22.77	534530	543.07	3041542	277	1063380	272.98	24	19	210
118	2367994	292653037	249	555374	526.95	409592	0	714.50	452060	97563	12844313	22.78	535569	546.43	3041690	281	1063661	275.14	24	19	214
119	2372491	295025528	239	555613	530.99	409592	0	720.29	454340	98429	12942742	22.79	536610	549.80	3041835	1007	1064668	277.11	22	19	942
120	2365438	297390966	327	555940	534.93	409592	0	726.07	454340	98340	13041082	22.80	537886	552.89	3042233	1169	1065837	279.02	56	39	1050
121	2365565	299756531	360	556300	538.84	409592	0	731.84	454340	97518	13138600	22.81	539187	555.94	3094569	5745	1071582	279.73	5271	21	429
122	2365715	302122246	193	556493	542.90	409592	0	737.62	454340	97526	13236126	22.83	540228	559.25	3146902	5508	1077090	280.50	5271	19	194
123	2365690	304487936	168	556661	546.99	409592	0	743.39	454340	97526	13333652	22.84	541269	562.54	3147050	262	1077352	282.63	24	19	195
124	2365146	306853082	179	556840	551.06	409592	0	749.17	454340	97521	13431173	22.85	542312	565.82	3147198	265	1077617	284.75	24	19	198
