phase	loop	x_end	TUs	sum_root_tok	sum_O_z3	sum_B_z3	sum_A_z3	sum_full_wire_z	blocks_pub	new_blk_loop	Q_loop	tok_per_reg	bits_per_byte	plateau	sum_root_tok_memo	sum_full_wire_memo_z	resident_blk	never_blk	reclaim_def_bytes
edit	3	16536	689	12896	38204	5469913	483857	51358	471153	3653	1.0894	0.00511	0.00021	0	2986	24267	11404	207031	1242186
edit	4	17225	689	10937	33709	5469913	483857	54227	478493	7340	1.0903	0.00434	0.00022	0	4513	36273	9465	212427	1274562
edit	5	17914	689	6929	23213	5469913	483857	56095	478671	178	1.0924	0.00275	0.00023	0	6798	56755	6622	208767	1252602
edit	6	18603	689	6789	22799	5469913	483857	32884	478892	221	1.0925	0.00269	0.00013	0	1434	15643	6504	208856	1253136
edit	7	19292	689	6500	21930	5469913	483857	33064	480790	1898	1.0926	0.00258	0.00013	0	1382	17189	6331	210572	1263432
edit	8	19981	689	5469	19570	5469913	483857	35405	484131	3341	1.0931	0.00217	0.00014	0	2474	25689	5319	212884	1277304
edit	9	20670	689	3646	15362	5469913	483857	37018	484215	84	1.0940	0.00145	0.00015	0	3450	35674	3511	211158	1266948
edit	10	21359	689	3581	15167	5469913	483857	24406	484285	70	1.0940	0.00142	0.00010	0	912	12703	3447	211164	1266984
edit	11	22048	689	3531	15017	5469913	483857	24071	485269	984	1.0940	0.00140	0.00010	0	963	12439	3400	212098	1272588
edit	12	22737	689	2982	13614	5469913	483857	26643	486808	1539	1.0943	0.00118	0.00011	0	1466	19545	2851	213088	1278528
edit	13	23426	689	2113	11670	5469913	483857	26854	486861	53	1.0947	0.00084	0.00011	0	1640	22387	1983	212272	1273632
edit	14	24115	689	2070	11541	5469913	483857	20490	486895	34	1.0947	0.00082	0.00008	0	768	11773	1940	212263	1273578
edit	15	24804	689	2043	11460	5469913	483857	20178	487482	587	1.0947	0.00081	0.00008	0	734	11271	1913	212823	1276938
edit	16	25493	689	1703	10581	5469913	483857	22393	488167	685	1.0949	0.00068	0.00009	0	1015	16887	1573	213168	1279008
edit	17	26182	689	1334	9797	5469913	483857	20533	488186	19	1.0951	0.00053	0.00008	0	1070	14378	1204	212818	1276908
edit	18	26871	689	1317	9746	5469913	483857	18285	488198	12	1.0951	0.00052	0.00007	0	696	10835	1187	212813	1276878
edit	19	27560	689	1305	9710	5469913	483857	18178	488480	282	1.0951	0.00052	0.00007	0	698	10718	1175	213083	1278498
edit	20	28249	689	1122	9221	5469913	483857	19676	488800	320	1.0952	0.00045	0.00008	0	804	14288	992	213220	1279320
revert	1	28938	689	4862	17922	5469913	483857	33390	488849	49	1.0934	0.00193	0.00013	1	2257	25748	4721	212298	1273788
frozen_warm	1	29627	689	4814	17778	5469913	483857	26756	488849	0	1.0935	0.00191	0.00011	0	773	11843	4674	212254	1273524
frozen_warm	2	30316	689	4814	17778	5469913	483857	26046	488849	0	1.0935	0.00191	0.00010	0	689	10335	4674	212254	1273524
frozen_edit	1	31005	689	952	8890	5469913	483857	18200	488849	0	1.0953	0.00038	0.00007	0	870	12039	822	212085	1272510
frozen_revert	1	31694	689	4814	17778	5469913	483857	26046	488849	0	1.0935	0.00191	0.00010	0	689	10335	4674	212085	1272510
