phase	loop	x_end	TUs	sum_root_tok	sum_O_z3	sum_B_z3	sum_A_z3	sum_full_wire_z	blocks_pub	new_blk_loop	Q_loop	tok_per_reg	bits_per_byte	plateau	sum_root_tok_memo	sum_full_wire_memo_z	resident_blk	never_blk	reclaim_def_bytes
edit	11	39616	1238	2971	19900	9433948	200905	36345	185715	385	1.0196	0.00062	0.00008	0	1340	22783	2966	60581	363486
edit	12	40854	1238	2683	19036	9433948	200905	38761	186667	952	1.0197	0.00056	0.00009	0	1577	28934	2681	61245	367470
edit	13	42092	1238	1852	16635	9433948	200905	45217	186761	94	1.0200	0.00038	0.00010	0	1378	42915	1851	60508	363048
edit	14	43330	1238	1772	16395	9433948	200905	32664	186835	74	1.0200	0.00037	0.00007	0	1255	22232	1771	60502	363012
edit	15	44568	1238	1706	16197	9433948	200905	32218	187140	305	1.0200	0.00035	0.00007	0	1250	21801	1705	60741	364446
edit	16	45806	1238	1457	15450	9433948	200905	34667	187271	131	1.0201	0.00030	0.00008	0	1299	27304	1457	60623	363738
edit	17	47044	1238	1364	15208	9433948	200905	31262	187286	15	1.0201	0.00028	0.00007	0	1276	21766	1364	60545	363270
edit	18	48282	1238	1349	15163	9433948	200905	30284	187298	12	1.0201	0.00028	0.00007	0	1238	20253	1349	60542	363252
edit	19	49520	1238	1337	15127	9433948	200905	30195	187359	61	1.0201	0.00028	0.00007	0	1238	20164	1337	60591	363546
edit	20	50758	1238	1277	14947	9433948	200905	30862	187397	38	1.0201	0.00026	0.00007	0	1239	21590	1277	60569	363414
revert	1	51996	1238	3214	20636	9433948	200905	43687	187560	163	1.0195	0.00067	0.00010	1	2528	41071	3195	60168	361008
frozen_warm	1	53234	1238	3070	20204	9433948	200905	37579	187560	0	1.0196	0.00064	0.00008	0	1407	24532	3054	60024	360144
frozen_warm	2	54472	1238	3070	20204	9433948	200905	35060	187560	0	1.0196	0.00064	0.00008	0	1238	19802	3054	60024	360144
frozen_edit	1	55710	1238	1258	14916	9433948	200905	29904	187560	0	1.0201	0.00026	0.00007	0	1257	20021	1258	60005	360030
frozen_revert	1	56948	1238	3070	20204	9433948	200905	35060	187560	0	1.0196	0.00064	0.00008	0	1238	19802	3054	60005	360030
