row	tu	raw_bytes	payload_wire_bytes	definition_wire_bytes	context_wire_bytes	selector_wire_bytes	wire_bytes	cumulative_raw_bytes	cumulative_charged_bytes	cumulative_charged_ratio	vocabulary_assets	online_promoted_assets	online_published_assets	seed_published_assets	online_selected_tus	candidate_state_bytes	logical_state_bytes
empty-frozen	67	820648	22130	0	0	0	22130	65131900	1387141	46.95405874384796	0	0	0	0	0	0	0
empty-frozen	68	578728	12658	0	0	0	12658	65710628	1399799	46.94290251671847	0	0	0	0	0	0	0
empty-frozen	69	11130	1551	0	0	0	1551	65721758	1401350	46.898888928533204	0	0	0	0	0	0	0
empty-frozen	70	1499149	35338	0	0	0	35338	67220907	1436688	46.78879965587518	0	0	0	0	0	0	0
empty-frozen	71	1435923	36707	0	0	0	36707	68656830	1473395	46.59770801448356	0	0	0	0	0	0	0
empty-frozen	72	1456269	31486	0	0	0	31486	70113099	1504881	46.590460641073946	0	0	0	0	0	0	0
empty-frozen	73	1057213	27051	0	0	0	27051	71170312	1531932	46.45787933145858	0	0	0	0	0	0	0
empty-frozen	74	1770010	42680	0	0	0	42680	72940322	1574612	46.32272712261814	0	0	0	0	0	0	0
empty-frozen	75	664725	19707	0	0	0	19707	73605047	1594319	46.16707635046688	0	0	0	0	0	0	0
empty-frozen	76	355364	7150	0	0	0	7150	73960411	1601469	46.18285524103183	0	0	0	0	0	0	0
empty-frozen	77	827991	23335	0	0	0	23335	74788402	1624804	46.02918382771091	0	0	0	0	0	0	0
empty-frozen	78	371917	1229	0	0	0	1229	75160319	1626033	46.223120317976324	0	0	0	0	0	0	0
empty-frozen	79	840575	26663	0	0	0	26663	76000894	1652696	45.986009526252865	0	0	0	0	0	0	0
empty-frozen	80	940358	28551	0	0	0	28551	76941252	1681247	45.76439511862326	0	0	0	0	0	0	0
empty-frozen	81	1421405	15093	0	0	0	15093	78362657	1696340	46.19513599867951	0	0	0	0	0	0	0
empty-frozen	82	1140109	10429	0	0	0	10429	79502766	1706769	46.58085892115453	0	0	0	0	0	0	0
empty-frozen	83	759822	22028	0	0	0	22028	80262588	1728797	46.4268436375121	0	0	0	0	0	0	0
empty-frozen	84	1645089	31731	0	0	0	31731	81907677	1760528	46.524495492261416	0	0	0	0	0	0	0
empty-frozen	85	1445789	25204	0	0	0	25204	83353466	1785732	46.67747791941904	0	0	0	0	0	0	0
empty-frozen	86	810229	151	0	0	0	151	84163695	1785883	47.12721662057369	0	0	0	0	0	0	0
empty-frozen	87	1342192	12292	0	0	0	12292	85505887	1798175	47.55148247528744	0	0	0	0	0	0	0
empty-frozen	88	768484	1443	0	0	0	1443	86274371	1799618	47.94038012511544	0	0	0	0	0	0	0
empty-frozen	89	1437020	19669	0	0	0	19669	87711391	1819287	48.211959410472346	0	0	0	0	0	0	0
empty-frozen	90	102624	2621	0	0	0	2621	87814015	1821908	48.19892936416109	0	0	0	0	0	0	0
empty-frozen	91	943068	19656	0	0	0	19656	88757083	1841564	48.19657801738088	0	0	0	0	0	0	0
empty-frozen	92	1225492	5669	0	0	0	5669	89982575	1847233	48.71208721368663	0	0	0	0	0	0	0
empty-frozen	93	1589878	37660	0	0	0	37660	91572453	1884893	48.58230838567494	0	0	0	0	0	0	0
empty-frozen	94	1096125	31108	0	0	0	31108	92668578	1916001	48.36562089476989	0	0	0	0	0	0	0
empty-frozen	95	1097655	170	0	0	0	170	93766233	1916171	48.9341676708394	0	0	0	0	0	0	0
empty-frozen	96	2060575	15771	0	0	0	15771	95826808	1931942	49.601286166976024	0	0	0	0	0	0	0
empty-frozen	97	1098560	226	0	0	0	226	96925368	1932168	50.16404784677109	0	0	0	0	0	0	0
empty-frozen	98	1591784	37571	0	0	0	37571	98517152	1969739	50.01533299589438	0	0	0	0	0	0	0
empty-frozen	99	2239326	29825	0	0	0	29825	100756478	1999564	50.389223850799475	0	0	0	0	0	0	0
empty-frozen	100	1587818	95	0	0	0	95	102344296	1999659	51.18087433907481	0	0	0	0	0	0	0
empty-frozen	101	1102324	31055	0	0	0	31055	103446620	2030714	50.94100892592458	0	0	0	0	0	0	0
empty-frozen	102	1257028	26846	0	0	0	26846	104703648	2057560	50.88728785551819	0	0	0	0	0	0	0
empty-frozen	103	1104566	28208	0	0	0	28208	105808214	2085768	50.72865917973619	0	0	0	0	0	0	0
empty-frozen	104	1305128	28394	0	0	0	28394	107113342	2114162	50.66468037927084	0	0	0	0	0	0	0
empty-frozen	105	1334678	889	0	0	0	889	108448020	2115051	51.27442316993775	0	0	0	0	0	0	0
empty-frozen	106	1482217	6578	0	0	0	6578	109930237	2121629	51.814071640234936	0	0	0	0	0	0	0
empty-frozen	107	1067317	26647	0	0	0	26647	110997554	2148276	51.668199989200644	0	0	0	0	0	0	0
empty-frozen	108	2148131	39490	0	0	0	39490	113145685	2187766	51.71745287201648	0	0	0	0	0	0	0
empty-frozen	109	1456734	8768	0	0	0	8768	114602419	2196534	52.17420672750797	0	0	0	0	0	0	0
empty-frozen	110	1944167	37976	0	0	0	37976	116546586	2234510	52.157558480382725	0	0	0	0	0	0	0
empty-frozen	111	1275060	1080	0	0	0	1080	117821646	2235590	52.70270756265684	0	0	0	0	0	0	0
empty-frozen	112	658225	20506	0	0	0	20506	118479871	2256096	52.51543861608726	0	0	0	0	0	0	0
empty-frozen	113	1315464	34222	0	0	0	34222	119795335	2290318	52.30511003275528	0	0	0	0	0	0	0
empty-frozen	114	1067085	95	0	0	0	95	120862420	2290413	52.76883252059781	0	0	0	0	0	0	0
empty-frozen	115	1707493	7101	0	0	0	7101	122569913	2297514	53.34892975624958	0	0	0	0	0	0	0
empty-frozen	116	1312724	7578	0	0	0	7578	123882637	2305092	53.74303368368811	0	0	0	0	0	0	0
empty-frozen	117	1318821	363	0	0	0	363	125201458	2305455	54.30661539696069	0	0	0	0	0	0	0
empty-frozen	118	1539510	229	0	0	0	229	126740968	2305684	54.96892375538018	0	0	0	0	0	0	0
empty-frozen	119	1737115	11378	0	0	0	11378	128478083	2317062	55.44870314216883	0	0	0	0	0	0	0
empty-frozen	120	1263854	1831	0	0	0	1831	129741937	2318893	55.94994551279425	0	0	0	0	0	0	0
empty-frozen	121	1185229	592	0	0	0	592	130927166	2319485	56.44665345971196	0	0	0	0	0	0	0
empty-frozen	122	1500925	8974	0	0	0	8974	132428091	2328459	56.873705313256536	0	0	0	0	0	0	0
empty-frozen	123	1500845	7768	0	0	0	7768	133928936	2336227	57.327021732049154	0	0	0	0	0	0	0
empty-frozen	124	1108849	676	0	0	0	676	135037785	2336903	57.784933734947494	0	0	0	0	0	0	0
empty-frozen	125	3707928	80350	0	0	0	80350	138745713	2417253	57.398093207454906	0	0	0	0	0	0	0
empty-frozen	126	2646392	66828	0	0	0	66828	141392105	2484081	56.91928121506505	0	0	0	0	0	0	0
empty-frozen	127	1329549	4566	0	0	0	4566	142721654	2488647	57.34909531162917	0	0	0	0	0	0	0
empty-frozen	128	1108022	560	0	0	0	560	143829676	2489207	57.78132393167784	0	0	0	0	0	0	0
empty-frozen	129	2099460	6405	0	0	0	6405	145929136	2495612	58.47428847112452	0	0	0	0	0	0	0
empty-frozen	130	1368541	3669	0	0	0	3669	147297677	2499281	58.93602079958196	0	0	0	0	0	0	0
empty-frozen	131	1297054	8342	0	0	0	8342	148594731	2507623	59.25720532950926	0	0	0	0	0	0	0
empty-frozen	132	214310	4736	0	0	0	4736	148809041	2512359	59.23080300227794	0	0	0	0	0	0	0
empty-frozen	133	858997	23023	0	0	0	23023	149668038	2535382	59.0317506395486	0	0	0	0	0	0	0
empty-frozen	134	221150	5122	0	0	0	5122	149889188	2540504	58.99978429476986	0	0	0	0	0	0	0
empty-frozen	135	919338	27747	0	0	0	27747	150808526	2568251	58.72032211804843	0	0	0	0	0	0	0
empty-frozen	136	1813167	38729	0	0	0	38729	152621693	2606980	58.543484414916875	0	0	0	0	0	0	0
empty-frozen	137	1343775	36459	0	0	0	36459	153965468	2643439	58.24438089927553	0	0	0	0	0	0	0
empty-frozen	138	840989	27321	0	0	0	27321	154806457	2670760	57.96344748311342	0	0	0	0	0	0	0
empty-frozen	139	1361166	36309	0	0	0	36309	156167623	2707069	57.68882248660821	0	0	0	0	0	0	0
empty-frozen	140	1065261	26764	0	0	0	26764	157232884	2733833	57.51371206653808	0	0	0	0	0	0	0
empty-frozen	141	1155669	32467	0	0	0	32467	158388553	2766300	57.25646278422442	0	0	0	0	0	0	0
empty-frozen	142	1254613	33923	0	0	0	33923	159643166	2800223	57.01087591952498	0	0	0	0	0	0	0
empty-frozen	143	2156016	51071	0	0	0	51071	161799182	2851294	56.745878187237096	0	0	0	0	0	0	0
empty-frozen	144	630003	19944	0	0	0	19944	162429185	2871238	56.57113238261684	0	0	0	0	0	0	0
empty-frozen	145	1446429	36240	0	0	0	36240	163875614	2907478	56.36349234628774	0	0	0	0	0	0	0
empty-frozen	146	1543572	37032	0	0	0	37032	165419186	2944510	56.17885013126123	0	0	0	0	0	0	0
empty-frozen	147	210007	4522	0	0	0	4522	165629193	2949032	56.16391853326787	0	0	0	0	0	0	0
empty-frozen	148	1341834	35842	0	0	0	35842	166971027	2984874	55.93905370879977	0	0	0	0	0	0	0
empty-frozen	149	11192	1639	0	0	0	1639	166982219	2986513	55.91210183916829	0	0	0	0	0	0	0
empty-frozen	150	746326	22021	0	0	0	22021	167728545	3008534	55.750922209953416	0	0	0	0	0	0	0
empty-frozen	151	802893	25781	0	0	0	25781	168531438	3034315	55.54183992103654	0	0	0	0	0	0	0
empty-frozen	152	102214	2588	0	0	0	2588	168633652	3036903	55.52816537110339	0	0	0	0	0	0	0
empty-frozen	153	1150341	31726	0	0	0	31726	169783993	3068629	55.32894103523104	0	0	0	0	0	0	0
empty-frozen	154	1697061	42265	0	0	0	42265	171481054	3110894	55.122756995256026	0	0	0	0	0	0	0
empty-frozen	155	811031	26396	0	0	0	26396	172292085	3137290	54.917487704356304	0	0	0	0	0	0	0
empty-frozen	156	846282	27719	0	0	0	27719	173138367	3165009	54.703909846701855	0	0	0	0	0	0	0
empty-frozen	157	851146	22575	0	0	0	22575	173989513	3187584	54.58350681895755	0	0	0	0	0	0	0
empty-frozen	158	724853	20857	0	0	0	20857	174714366	3208441	54.45459835477729	0	0	0	0	0	0	0
empty-frozen	159	1144269	31532	0	0	0	31532	175858635	3239973	54.27780879655479	0	0	0	0	0	0	0
empty-frozen	160	622239	19361	0	0	0	19361	176480874	3259334	54.14629921327486	0	0	0	0	0	0	0
empty-frozen	161	1273377	34419	0	0	0	34419	177754251	3293753	53.967085874380984	0	0	0	0	0	0	0
empty-frozen	162	650986	20301	0	0	0	20301	178405237	3314054	53.832930000537104	0	0	0	0	0	0	0
empty-frozen	163	354545	7251	0	0	0	7251	178759782	3321305	53.822151834896225	0	0	0	0	0	0	0
empty-frozen	164	1149413	33395	0	0	0	33395	179909195	3354700	53.6289966315915	0	0	0	0	0	0	0
empty-frozen	165	1240270	28366	0	0	0	28366	181149465	3383066	53.54594471405524	0	0	0	0	0	0	0
empty-frozen	166	1705459	39834	0	0	0	39834	182854924	3422900	53.421053492652426	0	0	0	0	0	0	0
empty-frozen	167	1619994	40070	0	0	0	40070	184474918	3462970	53.270723685160426	0	0	0	0	0	0	0
empty-frozen	168	1113286	31936	0	0	0	31936	185588204	3494906	53.10248802113705	0	0	0	0	0	0	0
empty-frozen	169	17188	2120	0	0	0	2120	185605392	3497026	53.07521076480415	0	0	0	0	0	0	0
empty-frozen	170	803111	26104	0	0	0	26104	186408503	3523130	52.909913344100275	0	0	0	0	0	0	0
empty-frozen	171	898645	28198	0	0	0	28198	187307148	3551328	52.74284661963074	0	0	0	0	0	0	0
