project	corpus_set	target_profile	prior_profile	target_compiler	target_stdlib	prior_compiler	prior_stdlib	compiler_axis	stdlib_axis	tu_aligned	test_tus	test_raw_bytes	cold_bytes	warm_xprofile_bytes	warm_sameprofile_bytes	gap_closed_pct	xprofile_over_cold_pct	decode_exact	p29_source_sha256	p29_stock_binary_sha256	p29_run_binary_sha256
range-v3	verified-44	debian-gcc	linuxbrew	gcc-12.2.0	libstdc++-12	clang-22.1.8	libstdc++-12	cross-family	same	false	537	866488941	840585	620285	27090	27.08	73.79	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
range-v3	verified-44	debian-gcc	conan-gcc	gcc-12.2.0	libstdc++-12	gcc-14.2.0	libstdc++-14	same-family	version	true	537	866488941	840585	602652	27090	29.25	71.69	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
re2	verified-44	conan-gcc	debian-gcc	gcc-14.2.0	libstdc++-14	gcc-12.2.0	libstdc++-12	same-family	version	true	72	87032434	462569	314060	1716	32.22	67.89	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
re2	verified-44	conan-gcc	linuxbrew	gcc-14.2.0	libstdc++-14	clang-22.1.8	libstdc++-12	cross-family	version	true	72	87032434	462569	332636	1716	28.19	71.91	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
re2	verified-44	conan-gcc	fedora-clang-libcxx	gcc-14.2.0	libstdc++-14	clang-20.1.8	libc++	cross-family	family	true	72	87032434	462569	404370	1716	12.63	87.42	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
re2	verified-44	fedora-clang-libcxx	debian-gcc	clang-20.1.8	libc++	gcc-12.2.0	libstdc++-12	cross-family	family	true	72	217114604	500795	439544	1716	12.27	87.77	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
re2	verified-44	debian-gcc	linuxbrew	gcc-12.2.0	libstdc++-12	clang-22.1.8	libstdc++-12	cross-family	same	true	72	84637328	453398	310326	1716	31.68	68.44	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
re2	verified-44	debian-gcc	conan-gcc	gcc-12.2.0	libstdc++-12	gcc-14.2.0	libstdc++-14	same-family	version	true	72	84637328	453398	305604	1716	32.72	67.4	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
rocksdb	verified-44	conan-gcc	debian-gcc	gcc-14.2.0	libstdc++-14	gcc-12.2.0	libstdc++-12	same-family	version	true	418	1995458263	2555954	1695048	20970	33.96	66.32	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
rocksdb	verified-44	conan-gcc	linuxbrew	gcc-14.2.0	libstdc++-14	clang-22.1.8	libstdc++-12	cross-family	version	true	418	1995458263	2555954	1886732	20970	26.4	73.82	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
