project	profile	raw_bytes	p29_complete_bytes	grz_complete_bytes	p29_C_gbps_2pass_med	p29_C_gbps_2pass_all	p29_plan_s_all	p29_grouped_s_all	grz_C_gbps_med	grz_C_gbps_all	grz_cat_s_all	grz_enc_s_all	grz_F_gbps_med	grz_F_gbps_all	p29_F_gbps_codec_proxy	probe_makespan_med	probe_makespan_all	p29_C_legal_2pass	grz_C_legal	grz_F_legal	p29_complete_exact	grz_complete_exact	p29_F_basis	grz_F_basis	charge	size_winner	p29_gate_pass	grz_gate_pass
range-v3	linuxbrew	1043257878	892676	641613	0.3734	0.3673,0.3794	1.36,1.32	1.48,1.43	0.5630	0.6561,0.4699	0.89,1.51	0.70,0.71	1.1006	1.1076,1.0936	7.368	0.715	0.718,0.715,0.712	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
re2	conan-gcc	87032434	462550	367974	0.1404	0.1404,0.1404	0.21,0.20	0.41,0.42	0.3264	0.3626,0.2901	0.08,0.14	0.16,0.16	0.6502	0.6238,0.6765	0.790	0.635	0.631,0.635,0.648	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
re2	debian-gcc	84637328	453331	362280	0.1411	0.1411,0.1411	0.20,0.20	0.40,0.40	0.3223	0.3527,0.2919	0.08,0.13	0.16,0.16	0.6786	0.6758,0.6815	0.774	0.624	0.638,0.618,0.624	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
re2	fedora-clang-libcxx	217114604	501668	396468	0.2250	0.2215,0.2285	0.37,0.37	0.61,0.58	0.4307	0.4934,0.3680	0.19,0.35	0.25,0.24	0.8805	0.8770,0.8840	1.651	0.976	0.999,0.968,0.976	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
re2	linuxbrew	88654287	434258	355812	0.1465	0.1453,0.1478	0.21,0.20	0.40,0.40	0.3325	0.3694,0.2955	0.08,0.14	0.16,0.16	0.7185	0.7176,0.7194	0.821	0.630	0.625,0.634,0.630	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
rocksdb	conan-gcc	1995458263	2555041	2679877	0.3452	0.3440,0.3464	2.58,2.56	3.22,3.20	0.5028	0.5784,0.4273	1.73,2.94	1.72,1.73	0.9528	0.9450,0.9606	3.752	2.669	2.669,2.695,2.669	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	P29BSC	False	False
rocksdb	debian-gcc	1804295565	2468928	2535516	0.3408	0.3398,0.3417	2.39,2.36	2.92,2.92	0.4940	0.5674,0.4206	1.57,2.67	1.61,1.62	0.9399	0.9495,0.9303	3.703	2.447	2.488,2.447,2.441	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	P29BSC	False	False
rocksdb	fedora-clang-libcxx	2407316918	2282164	2553438	0.3612	0.3598,0.3625	3.04,3.02	3.65,3.62	0.5252	0.6094,0.4409	2.09,3.60	1.86,1.86	1.0524	1.0511,1.0538	4.261	2.862	2.862,2.851,2.867	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	P29BSC	False	False
rocksdb	linuxbrew	1843673630	2278907	2444715	0.3459	0.3459,0.3459	2.37,2.36	2.96,2.97	0.4980	0.5816,0.4143	1.60,2.83	1.57,1.62	0.9565	0.9418,0.9713	3.753	2.474	2.474,2.470,2.488	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	P29BSC	False	False
spdlog	conan-gcc	262532575	715752	507502	0.2313	0.2323,0.2303	0.44,0.44	0.69,0.70	0.4326	0.4953,0.3698	0.23,0.41	0.30,0.30	0.8679	0.8801,0.8556	1.690	1.030	1.030,1.055,1.029	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
spdlog	debian-gcc	255841435	703346	502334	0.2337	0.2347,0.2326	0.42,0.42	0.67,0.68	0.4341	0.4920,0.3762	0.23,0.39	0.29,0.29	0.8545	0.8556,0.8535	1.688	1.018	1.017,1.018,1.020	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
spdlog	fedora-clang-libcxx	537083605	776806	522291	0.3026	0.3017,0.3034	0.75,0.75	1.03,1.02	0.4985	0.5838,0.4131	0.47,0.84	0.45,0.46	0.9940	0.9863,1.0018	2.931	1.454	1.454,1.468,1.444	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
spdlog	linuxbrew	263293064	698032	498347	0.2361	0.2351,0.2372	0.43,0.43	0.69,0.68	0.4338	0.4968,0.3708	0.23,0.41	0.30,0.30	0.8696	0.8501,0.8890	1.711	1.022	1.017,1.024,1.022	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
