corpus	row	rep	tus	first_byte_ms	wire_TU50	wire_TU100	wire_TU200	wire_full	wall_TU50	wall_TU100	wall_TU200	C_wall	C_user	C_sys	peakRSS_KiB	exact/ledger/txn
corpus2	t1to8-at50	3	622	85.079	2920057	14477738	17845740	26756155	0.008	0.015	0.007	8.61	3.65	6.52	3582068	OK/OK/OK
corpus2	t1to4-at100	1	622	97.162	2920057	6036920	12743209	21025959	0.010	0.013	0.007	8.07	3.35	6.28	3684644	OK/OK/OK
corpus2	t1to4-at100	2	622	82.706	2920057	6036920	12743209	21025959	0.009	0.012	0.005	7.97	3.40	6.07	3684892	OK/OK/OK
corpus2	t1to4-at100	3	622	82.576	2920057	6036920	12743209	21025959	0.010	0.015	0.005	7.93	3.43	6.03	3684820	OK/OK/OK
corpus2	t1to8-at100	1	622	84.836	2920057	6036920	17445512	26586352	0.011	0.013	0.006	8.72	3.63	6.72	3616292	OK/OK/OK
corpus2	t1to8-at100	2	622	83.650	2920057	6036920	17445512	26586352	0.008	0.012	0.006	8.57	3.55	6.61	3616724	OK/OK/OK
corpus2	t1to8-at100	3	622	83.537	2920057	6036920	17445512	26586352	0.009	0.014	0.006	8.78	3.70	6.70	3616964	OK/OK/OK
corpus2	t1to4-at200	1	622	92.083	2920057	6036920	8802928	20813791	0.009	0.012	0.006	8.07	3.48	6.17	3671496	OK/OK/OK
corpus2	t1to4-at200	2	622	86.043	2920057	6036920	8802928	20813791	0.010	0.014	0.009	8.15	3.40	6.24	3671764	OK/OK/OK
corpus2	t1to4-at200	3	622	95.371	2920057	6036920	8802928	20813791	0.010	0.013	0.006	8.11	3.38	6.28	3671316	OK/OK/OK
corpus2	t1to8-at200	1	622	81.344	2920057	6036920	8802928	26295263	0.008	0.014	0.005	8.96	3.76	6.81	3673300	OK/OK/OK
corpus2	t1to8-at200	2	622	84.317	2920057	6036920	8802928	26295263	0.009	0.013	0.006	8.85	3.75	6.66	3673300	OK/OK/OK
corpus2	t1to8-at200	3	622	83.565	2920057	6036920	8802928	26295263	0.009	0.011	0.006	8.65	3.62	6.58	3673636	OK/OK/OK
corpus12	ctl-1F	1	650	70.550	968586	1106427	1880563	3289527	0.007	0.006	0.008	6.64	2.40	6.01	3761992	OK/OK/OK
corpus12	ctl-1F	2	650	76.890	968586	1106427	1880563	3289527	0.008	0.006	0.006	6.60	2.39	5.91	3761736	OK/OK/OK
corpus12	ctl-1F	3	650	72.645	968586	1106427	1880563	3289527	0.008	0.007	0.005	6.73	2.65	5.77	3761560	OK/OK/OK
corpus12	ctl-8F	1	650	78.385	7128680	7787982	11339100	17208713	0.008	0.007	0.005	7.12	2.75	6.13	3749544	OK/OK/OK
corpus12	ctl-8F	2	650	76.808	7128680	7787982	11339100	17208713	0.007	0.008	0.006	7.45	2.84	6.42	3749200	OK/OK/OK
corpus12	ctl-8F	3	650	77.930	7128680	7787982	11339100	17208713	0.007	0.007	0.007	7.56	2.88	6.48	3749536	OK/OK/OK
corpus12	t1to4-at50	1	650	71.443	968586	3966984	6099483	9880843	0.008	0.006	0.007	7.04	2.59	6.23	3754420	OK/OK/OK
corpus12	t1to4-at50	2	650	71.488	968586	3966984	6099483	9880843	0.007	0.007	0.007	6.88	2.54	6.02	3755108	OK/OK/OK
corpus12	t1to4-at50	3	650	73.604	968586	3966984	6099483	9880843	0.005	0.007	0.006	6.93	2.60	6.06	3754684	OK/OK/OK
corpus12	t1to8-at50	1	650	73.580	968586	7682511	11233630	17103264	0.006	0.008	0.006	7.34	2.89	6.22	3753584	OK/OK/OK
corpus12	t1to8-at50	2	650	85.202	968586	7682511	11233630	17103264	0.010	0.007	0.006	7.50	2.80	6.55	3753840	OK/OK/OK
corpus12	t1to8-at50	3	650	75.336	968586	7682511	11233630	17103264	0.008	0.008	0.007	7.68	2.92	6.59	3753908	OK/OK/OK
corpus12	t1to4-at100	1	650	75.396	968586	1106427	5822462	9609073	0.007	0.006	0.007	7.05	2.51	6.34	3754684	OK/OK/OK
