project	profile	total_tus	probe_tus	raw_bytes	probe_raw_bytes	identity	p29_complete_bytes	legacy_p29_bytes	p29_complete_exact	lo_grz_complete_bytes	lo_grz_exact	lo_grz_f_bps	lo_z19_long	z19_source	p29_probe_bytes	grz_probe_bytes	selected_at_probe	grz_g1_close_tu	grz_g1_closed_by	grz_g1_add_bytes	grz_anchor_samples	grz_anchor_matches	makespan_s	p29_probe_eUS	grz_probe_eUS	p29_plan_s	producer_extract_s	producer_concat_s	p29_intern_s	p29_plan_s1_s	p29_literal_entropy_s	grz_match_s	grz_entropy_s	grz_total_s	p29_interner	p29_src_sha	p29_bin_sha	grz_src_sha	grz_bin_sha	zstd
range-v3	conan-gcc	537	112	912083285	152370714	PASS	850547	848333	OK	633756	True	596534310	770633	local-oracle-retained	326669	243844	GRZ2	112	tu	2593720	42611	1981	.411306684	0.40 0.21 0.18	0.18 0.13 0.05	0.25	1.34	0.13	0.2	0.0	0.087	0.06	0.11	0.17	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
range-v3	debian-gcc	537	112	866488941	144346085	PASS	842644	840585	OK	625132	True	609699367	756030	local-oracle-retained	318637	237497	GRZ2	112	tu	2511857	41238	2511	.386952673	0.38 0.20 0.17	0.17 0.11 0.05	0.24	1.31	0.13	0.2	0.0	0.082	0.05	0.10	0.15	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
range-v3	fedora-clang-libcxx	575	112	2005784147	357606376	PASS	936114	936761	OK	1036737	True	593305650	949409	local-oracle-retained	462249	321009	GRZ2	112	tu	4519156	73073	2534	.687347075	0.68 0.32 0.35	0.30 0.23 0.07	0.51	3.00	0.31	0.3	0.0	0.106	0.10	0.18	0.28	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
range-v3	linuxbrew	575	112	1043257878	163123445	PASS	892676	893451	OK	641613	True	593321050	817018	local-oracle-retained	344804	245038	GRZ2	112	tu	2993399	48835	2050	.419234276	0.41 0.22 0.19	0.18 0.13 0.05	0.27	1.58	0.15	0.2	0.0	0.082	0.05	0.11	0.17	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
re2	conan-gcc	72	72	87032434	87032434	PASS	462550	462569	OK	367974	True	454855298	389738	local-oracle-retained	462550	367974	GRZ2	72	tu	3213055	51771	1978	.419495816	0.41 0.27 0.14	0.17 0.13 0.03	0.20	0.13	0.08	0.1	0.0	0.121	0.04	0.11	0.16	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
re2	debian-gcc	72	72	84637328	84637328	PASS	453331	453398	OK	362280	True	461270696	384519	local-oracle-retained	453331	362280	GRZ2	72	tu	3156797	51205	1968	.417570519	0.41 0.27 0.14	0.16 0.12 0.04	0.20	0.13	0.08	0.1	0.0	0.119	0.04	0.11	0.15	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
re2	fedora-clang-libcxx	72	72	217114604	217114604	PASS	501668	500795	OK	396468	True	536992788	445413	local-oracle-retained	501668	396468	GRZ2	72	tu	4395968	71599	3387	.594031377	0.58 0.33 0.25	0.24 0.18 0.06	0.37	0.32	0.19	0.2	0.0	0.132	0.07	0.15	0.23	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
re2	linuxbrew	72	72	88654287	88654287	PASS	434258	434331	OK	355812	True	460466428	377050	local-oracle-retained	434258	355812	GRZ2	72	tu	3106214	50364	2164	.406181690	0.40 0.24 0.15	0.16 0.11 0.05	0.20	0.13	0.07	0.1	0.0	0.118	0.04	0.11	0.15	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
rocksdb	conan-gcc	418	112	1995458263	655730008	PASS	2555041	2555954	OK	2679877	True	552191430	2405077	local-oracle-retained	1494422	1191824	GRZ2	92	raw	11042324	177211	5143	1.663163702	1.65 1.03 0.61	0.67 0.60 0.14	0.99	2.79	0.57	0.6	0.0	0.414	0.20	0.42	0.62	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
rocksdb	debian-gcc	418	112	1804295565	593521934	PASS	2468928	2469686	OK	2535516	True	552910118	2321239	local-oracle-retained	1396430	1111481	GRZ2	101	raw	11001629	176436	5122	1.495622866	1.49 0.93 0.54	0.61 0.55 0.14	0.88	2.63	0.53	0.5	0.0	0.368	0.18	0.38	0.57	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
