tu	pass	raw	cumulative_raw	stream	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	build_close	stream_switch_delta
123	2	3519831	428756282	2	467307	375426	18756157	63450853	NA	0	
124	2	3519843	432276125	2	467321	375426	18904131	63971690	NA	0	
125	2	3518182	435794307	2	467335	375426	19052091	64492412	NA	0	
126	2	3517653	439311960	2	467349	375426	19200051	65013180	NA	0	
127	2	3531244	442843204	2	467363	375426	19348277	65535064	NA	0	
128	2	3523616	446366820	2	467377	375426	19496356	66056379	NA	0	
129	2	3527193	449894013	2	467391	375426	19644441	66577806	NA	0	
130	2	3519941	453413954	2	467405	375426	19792456	67098671	NA	0	
131	2	3523430	456937384	2	467419	375426	19940438	67619881	NA	0	
132	2	3520530	460457914	2	467433	375426	20088432	68140918	NA	0	
133	2	3521427	463979341	2	467447	375426	20236383	68661865	NA	0	
134	2	3529654	467508995	2	467461	375426	20384591	69183602	NA	0	
135	2	3535454	471044449	2	467475	375426	20532976	69706396	NA	0	
136	2	3531323	474575772	2	467489	375426	20681048	70228078	NA	0	
137	2	3519157	478094929	2	467503	375426	20829023	70748898	NA	0	
138	2	3518383	481613312	2	467517	375426	20976998	71269685	NA	0	
139	2	3517513	485130825	2	467531	375426	21124948	71790357	NA	0	
140	2	3518384	488649209	2	467545	375426	21272923	72311145	NA	0	
141	2	3518315	492167524	2	467559	375426	21420828	72831912	NA	0	
142	2	3524829	495692353	2	467573	375426	21568993	73353510	NA	0	
143	2	3532515	499224868	2	467587	375426	21717291	73875662	NA	0	
144	2	3520292	502745160	2	467601	375426	21865259	74396490	NA	0	
145	2	3521371	506266531	2	467615	375426	22013309	74917662	NA	0	
146	2	3522719	509789250	2	467629	375426	22161304	75438452	NA	0	
147	2	3525076	513314326	2	467643	375426	22309345	75959580	NA	0	
148	2	3521720	516836046	2	467657	375426	22457339	76480547	NA	0	
149	2	3520553	520356599	2	467671	375426	22605307	77001213	NA	0	
150	2	3520698	523877297	2	467685	375426	22753363	77522689	NA	0	
151	2	3520116	527397413	2	467699	375426	22901337	78043711	NA	0	
152	2	3520659	530918072	2	467713	375426	23049330	78564688	NA	0	
153	2	3526649	534444721	2	467727	375426	23197448	79086265	NA	0	
154	2	2337686	536782407	2	467779	375426	23298138	79429273	NA	0	
155	2	2385645	539168052	2	467831	375426	23401289	79790355	NA	0	
156	2	1998426	541166478	2	467883	375426	23488085	80087583	NA	0	
157	2	2526879	543693357	2	467935	375426	23596078	80468009	NA	0	
158	2	1934978	545628335	2	467987	375426	23679722	80754931	NA	0	
159	2	1936075	547564410	2	468060	375426	23763424	81041974	NA	1	
160	3	3518074	551082484	3	468060	375426	23911395	81562717	NA	0	-21
161	3	3523605	554606089	3	468067	375426	24059464	82083996	NA	0	
162	3	3523686	558129775	3	468081	375426	24207601	82605307	NA	0	
163	3	3518991	561648766	3	468095	375426	24355544	83126153	NA	0	
164	3	3519520	565168286	3	468109	375426	24503495	83646978	NA	0	
165	3	3519112	568687398	3	468123	375426	24651414	84167870	NA	0	
166	3	3519831	572207229	3	468137	375426	24799517	84689201	NA	0	
167	3	3519843	575727072	3	468151	375426	24947491	85210038	NA	0	
168	3	3518182	579245254	3	468165	375426	25095451	85730760	NA	0	
169	3	3517653	582762907	3	468179	375426	25243411	86251528	NA	0	
170	3	3531244	586294151	3	468193	375426	25391637	86773412	NA	0	
171	3	3523616	589817767	3	468207	375426	25539716	87294727	NA	0	
