tu	pass	raw	cumulative_raw	stream	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	build_close	stream_switch_delta
168	4	2242658	426907294	4	1008937	666701	20679512	67294822	NA	0	
169	4	3073112	429980406	4	1008952	666701	20821749	67800119	NA	0	
170	4	1691182	431671588	4	1008967	666701	20901259	68078040	NA	0	
171	4	1734109	433405697	4	1008982	666701	20983097	68363871	NA	0	
172	4	3326956	436732653	4	1008997	666701	21135049	68893529	NA	0	
173	4	3623532	440356185	4	1009012	666701	21304175	69464533	NA	0	
174	4	3702583	444058768	4	1009027	666701	21469036	70018132	NA	0	
175	4	3160151	447218919	4	1009042	666701	21610519	70499969	NA	0	
176	4	2761846	449980765	4	1009057	666701	21738885	70943703	NA	0	
177	4	2876035	452856800	4	1009072	666701	21870832	71410826	NA	0	
178	4	2242658	455099458	4	1009087	666701	21976875	71765369	NA	0	
179	4	3073112	458172570	4	1009102	666701	22119112	72270666	NA	0	
180	4	1691182	459863752	4	1009117	666701	22198622	72548587	NA	0	
181	4	1734109	461597861	4	1009132	666701	22280460	72834418	NA	0	
182	4	3239711	464837572	4	1009147	666701	22428414	73360242	NA	0	
183	4	2242658	467080230	4	1009162	666701	22534457	73714785	NA	0	
184	4	3073112	470153342	4	1009177	666701	22676694	74220082	NA	0	
185	4	1691182	471844524	4	1009192	666701	22756204	74498003	NA	0	
186	4	1734109	473578633	4	1009207	666701	22838042	74783834	NA	0	
187	4	3567353	477145986	4	1009222	666701	23005202	75342679	NA	0	
188	4	3196680	480342666	4	1009237	666701	23152908	75868761	NA	0	
189	4	2242658	482585324	4	1009252	666701	23258951	76223304	NA	0	
190	4	3073112	485658436	4	1009267	666701	23401188	76728601	NA	0	
191	4	1691182	487349618	4	1009282	666701	23480698	77006522	NA	0	
192	4	1734109	489083727	4	1009297	666701	23562536	77292353	NA	0	
193	4	3627861	492711588	4	1009312	666701	23731394	77860270	NA	0	
194	4	2061745	494773333	4	1009327	666701	23826205	78190275	NA	0	
195	4	1357037	496130370	4	1009342	666701	23886834	78402324	NA	0	
196	4	3124266	499254636	4	1009357	666701	24029080	78892578	NA	0	
197	4	1672314	500926950	4	1009372	666701	24106963	79166271	NA	0	
198	4	2242658	503169608	4	1009387	666701	24213006	79520814	NA	0	
199	4	2994554	506164162	4	1009402	666701	24352025	80002536	NA	0	
200	4	1438876	507603038	4	1009417	666701	24419438	80232713	NA	0	
201	4	3277287	510880325	4	1009432	666701	24566584	80738940	NA	0	
202	4	76523	510956848	4	1009447	666701	24569219	80750505	NA	0	
203	4	3249100	514205948	4	1009483	667109	24720348	81274928	NA	1	
