tu	pass	raw	cumulative_raw	stream	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	build_close	stream_switch_delta
123	2	3017881	370434492	2	503955	397191	11708564	39418694	NA	0	
124	2	3219014	373653506	2	504007	397191	11802409	39759520	NA	0	
125	2	3017881	376671387	2	504022	397191	11892715	40079985	NA	0	
126	2	3235652	379907039	2	504074	397191	11988238	40422343	NA	0	
127	2	3017881	382924920	2	504089	397191	12078544	40742808	NA	0	
128	2	3303358	386228278	2	504141	397191	12174479	41089135	NA	0	
129	2	3017881	389246159	2	504156	397191	12264785	41409600	NA	0	
130	2	3627731	392873890	2	504208	397191	12369923	41792565	NA	0	
131	2	3017881	395891771	2	504223	397191	12460229	42113030	NA	0	
132	2	3302547	399194318	2	504275	397191	12555858	42458918	NA	0	
133	2	3017881	402212199	2	504290	397191	12646164	42779383	NA	0	
134	2	3303988	405516187	2	504342	397191	12742121	43125497	NA	0	
135	2	3017881	408534068	2	504357	397191	12832427	43445962	NA	0	
136	2	3306096	411840164	2	504409	397191	12928501	43792612	NA	0	
137	2	3017881	414858045	2	504424	397191	13018807	44113077	NA	0	
138	2	3301706	418159751	2	504476	397191	13115795	44459326	NA	0	
139	2	3017881	421177632	2	504491	397191	13206101	44779791	NA	0	
140	2	3304829	424482461	2	504543	397191	13302939	45126185	NA	0	
141	2	3017881	427500342	2	504558	397191	13393245	45446650	NA	0	
142	2	3464133	430964475	2	504610	397191	13496652	45819277	NA	0	
143	2	3264733	434229208	2	504669	397191	13593728	46166382	NA	1	
144	3	3269158	437498366	3	504677	397191	13691574	46515593	NA	0	-7
145	3	3292521	440790887	3	504692	397191	13790627	46871535	NA	0	
146	3	3326476	444117363	3	504707	397191	13891289	47231613	NA	0	
147	3	3248074	447365437	3	504722	397191	13986420	47576303	NA	0	
148	3	3235951	450601388	3	504737	397191	14082328	47918470	NA	0	
149	3	3276906	453878294	3	504752	397191	14180424	48269126	NA	0	
150	3	3226293	457104587	3	504767	397191	14277051	48614944	NA	0	
151	3	3287445	460392032	3	504782	397191	14376088	48968374	NA	0	
152	3	9935	460401967	3	504797	397191	14376599	48970462	NA	0	
153	3	3265332	463667299	3	504812	397191	14472864	49319660	NA	0	
154	3	3254268	466921567	3	504827	397191	14568289	49666110	NA	0	
155	3	3238098	470159665	3	504842	397191	14664728	50014201	NA	0	
156	3	3294337	473454002	3	504857	397191	14762747	50368548	NA	0	
157	3	3281537	476735539	3	504872	397191	14860587	50721651	NA	0	
158	3	3268750	480004289	3	504887	397191	14956946	51071384	NA	0	
159	3	3248764	483253053	3	504902	397191	15052063	51416107	NA	0	
160	3	2960288	486213341	3	504917	397191	15140592	51730165	NA	0	
161	3	3240497	489453838	3	504932	397191	15236451	52073458	NA	0	
162	3	20611	489474449	3	504947	397191	15237682	52078396	NA	0	
163	3	132050	489606499	3	504962	397191	15247560	52106980	NA	0	
164	3	27991	489634490	3	504977	397191	15248708	52111771	NA	0	
165	3	1962298	491596788	3	504992	397191	15309228	52316651	NA	0	
166	3	3268176	494864964	3	505007	397191	15406937	52665679	NA	0	
167	3	3232518	498097482	3	505022	397191	15501236	53007412	NA	0	
168	3	3564422	501661904	3	505037	397191	15605713	53383823	NA	0	
169	3	3233744	504895648	3	505052	397191	15701468	53725712	NA	0	
170	3	3305990	508201638	3	505067	397191	15798572	54072611	NA	0	
171	3	3302054	511503692	3	505082	397191	15894583	54418297	NA	0	
172	3	3300921	514804613	3	505097	397191	15993464	54772714	NA	0	
173	3	3071057	517875670	3	505112	397191	16085839	55100853	NA	0	
