tu	pass	raw	cumulative_raw	stream	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	build_close	stream_switch_delta
176	3	1509484	209546591	3	456815	363001	10881608	32867964	NA	0	
177	3	764286	210310877	3	456830	363001	10919107	32991244	NA	0	
178	3	1419168	211730045	3	456845	363001	10989257	33215697	NA	0	
179	3	764286	212494331	3	456860	363001	11026756	33338977	NA	0	
180	3	1490855	213985186	3	456875	363001	11102349	33575870	NA	0	
181	3	764286	214749472	3	456890	363001	11139848	33699150	NA	0	
182	3	1110682	215860154	3	456905	363001	11194649	33875820	NA	0	
183	3	764286	216624440	3	456920	363001	11232148	33999100	NA	0	
184	3	1880684	218505124	3	456935	363001	11317216	34279238	NA	0	
185	3	764286	219269410	3	456950	363001	11354715	34402518	NA	0	
186	3	1481788	220751198	3	456965	363001	11425281	34633425	NA	0	
187	3	764286	221515484	3	456980	363001	11462780	34756705	NA	0	
188	3	1283114	222798598	3	456995	363001	11527043	34959720	NA	0	
189	3	764286	223562884	3	457010	363001	11564542	35083000	NA	0	
190	3	1196938	224759822	3	457025	363001	11624458	35273932	NA	0	
191	3	764286	225524108	3	457040	363001	11661957	35397212	NA	0	
192	3	1501133	227025241	3	457055	363001	11737379	35635807	NA	0	
193	3	764286	227789527	3	457070	363001	11774878	35759087	NA	0	
194	3	1895521	229685048	3	457085	363001	11861121	36040795	NA	0	
195	3	764286	230449334	3	457100	363001	11898620	36164075	NA	0	
196	3	1430203	231879537	3	457115	363001	11969349	36388153	NA	0	
197	3	764286	232643823	3	457130	363001	12006848	36511433	NA	0	
198	3	1094923	233738746	3	457145	363001	12061305	36685528	NA	0	
199	3	764286	234503032	3	457160	363001	12098804	36808808	NA	0	
200	3	1453058	235956090	3	457175	363001	12165567	37019313	NA	0	
201	3	764286	236720376	3	457190	363001	12203066	37142593	NA	0	
202	3	1893180	238613556	3	457205	363001	12288912	37424993	NA	0	
203	3	764286	239377842	3	457220	363001	12326411	37548273	NA	0	
204	3	1451914	240829756	3	457235	363001	12392985	37758592	NA	0	
205	3	764286	241594042	3	457250	363001	12430484	37881872	NA	0	
206	3	1629581	243223623	3	457265	363001	12505084	38118788	NA	0	
207	3	764286	243987909	3	457280	363001	12542583	38242068	NA	0	
208	3	1631687	245619596	3	457295	363001	12617304	38479527	NA	0	
209	3	764286	246383882	3	457310	363001	12654803	38602807	NA	0	
210	3	1451577	247835459	3	457325	363001	12721704	38812386	NA	0	
211	3	764286	248599745	3	457340	363001	12759203	38935666	NA	0	
212	3	1454020	250053765	3	457355	363001	12825868	39146432	NA	0	
213	3	764286	250818051	3	457370	363001	12863367	39269712	NA	0	
214	3	1783268	252601319	3	457385	363001	12947880	39547629	NA	0	
215	3	1310665	253911984	3	457407	363577	13014052	39756903	NA	1	
216	4	1496695	255408679	4	457415	363577	13090125	39995553	NA	0	-7
217	4	1750960	257159639	4	457430	363577	13175444	40274862	NA	0	
218	4	1810990	258970629	4	457445	363577	13263151	40561899	NA	0	
219	4	1439885	260410514	4	457460	363577	13334687	40789277	NA	0	
220	4	1197209	261607723	4	457475	363577	13395031	40979297	NA	0	
221	4	1580971	263188694	4	457490	363577	13475546	41231838	NA	0	
222	4	1468475	264657169	4	457505	363577	13550116	41466949	NA	0	
223	4	1467018	266124187	4	457520	364291	13626114	41703520	NA	0	
224	4	10456	266134643	4	457535	364291	13626615	41705613	NA	0	
225	4	1410969	267545612	4	457550	364291	13697457	41931665	NA	0	
226	4	1447898	268993510	4	457565	364291	13769363	42161158	NA	0	
227	4	1483622	270477132	4	457580	364291	13844350	42399223	NA	0	
228	4	1564628	272041760	4	457595	364291	13922803	42647630	NA	0	
229	4	1552547	273594307	4	457610	364291	14001716	42896240	NA	0	
230	4	1495660	275089967	4	457625	364291	14076586	43135037	NA	0	
231	4	1336603	276426570	4	457640	364291	14144128	43347340	NA	0	
232	4	857848	277284418	4	457655	364291	14186803	43485729	NA	0	
233	4	1201306	278485724	4	457670	364291	14247342	43677144	NA	0	
234	4	21132	278506856	4	457685	364291	14248569	43682088	NA	0	
235	4	132571	278639427	4	457700	364291	14258433	43710659	NA	0	
236	4	26370	278665797	4	457715	364291	14259481	43715104	NA	0	
237	4	759620	279425417	4	457730	364291	14296621	43837223	NA	0	
