corpus	checkpoint	tu	corpus_tus	method	raw_bytes	build_wire_bytes	average_wire_bytes_per_tu	ratio	saved_vs_empty_bytes	saved_vs_empty_percent	installation_bytes_excluded	ideal_1gbit_seconds	ideal_1GBps_seconds	exact
abseil	300	300	700	pre_shared_c_only	869646960	5274352	17581.173333333332	164.88223766635218	214470	3.907395794580331	0	0.042194816	0.005274352	True
abseil	full	700	700	empty_online	2581008467	9222174	13174.534285714286	279.8698514038013	0	0.0	0	0.073777392	0.009222174	True
abseil	full	700	700	pre_shared_installed	2581008467	8978077	12825.824285714285	287.4789854219339	244097	2.646848779908078	79138	0.071824616	0.008978077	True
abseil	full	700	700	pre_shared_c_only	2581008467	8984575	12835.107142857143	287.27106924924107	237599	2.5763881705116383	0	0.0718766	0.008984575	True
opencv	50	50	1506	empty_online	59995693	338612	6772.24	177.1812369319457	0	0.0	0	0.002708896	0.000338612	True
opencv	50	50	1506	pre_shared_installed	59995693	258608	5172.16	231.99472947472623	80004	23.62704216034872	82087	0.002068864	0.000258608	True
opencv	50	50	1506	pre_shared_c_only	59995693	262008	5240.16	228.98420277243443	76604	22.62294307348824	0	0.002096064	0.000262008	True
opencv	100	100	1506	empty_online	110856373	402550	4025.5	275.38535088808845	0	0.0	0	0.0032204	0.00040255	True
opencv	100	100	1506	pre_shared_installed	110856373	320966	3209.66	345.3835390664432	81584	20.266799155384422	82087	0.002567728	0.000320966	True
opencv	100	100	1506	pre_shared_c_only	110856373	325154	3251.54	340.93498157796	77396	19.226431499192646	0	0.002601232	0.000325154	True
opencv	150	150	1506	empty_online	203058108	864635	5764.233333333334	234.84835566452895	0	0.0	0	0.00691708	0.000864635	True
opencv	150	150	1506	pre_shared_installed	203058108	741719	4944.793333333333	273.7668955493927	122916	14.215940830523863	82087	0.005933752	0.000741719	True
opencv	150	150	1506	pre_shared_c_only	203058108	746739	4978.26	271.9264803365031	117896	13.63534902010675	0	0.005973912	0.000746739	True
opencv	200	200	1506	empty_online	307655351	1236927	6184.635	248.72555211423148	0	0.0	0	0.009895416	0.001236927	True
opencv	200	200	1506	pre_shared_installed	307655351	1063940	5319.7	289.1660723349061	172987	13.98522305681742	82087	0.00851152	0.00106394	True
opencv	200	200	1506	pre_shared_c_only	307655351	1069170	5345.85	287.7515745858937	167757	13.5624010147729	0	0.00855336	0.00106917	True
opencv	250	250	1506	empty_online	459746763	1449104	5796.416	317.2627796210624	0	0.0	0	0.011592832	0.001449104	True
opencv	250	250	1506	pre_shared_installed	459746763	1278529	5114.116	359.5904066313709	170575	11.771066810939725	82087	0.010228232	0.001278529	True
opencv	250	250	1506	pre_shared_c_only	459746763	1282953	5131.812	358.3504329464914	166151	11.465774713202089	0	0.010263624	0.001282953	True
opencv	300	300	1506	empty_online	651528883	1740652	5802.173333333333	374.30163122783875	0	0.0	0	0.013925216	0.001740652	True
opencv	300	300	1506	pre_shared_installed	651528883	1569004	5230.013333333333	415.2499821542839	171648	9.861132495179966	82087	0.012552032	0.001569004	True
opencv	300	300	1506	pre_shared_c_only	651528883	1573806	5246.02	413.9829705821429	166846	9.585258857025988	0	0.012590448	0.001573806	True
opencv	full	1506	1506	empty_online	4630994774	7245168	4810.868525896414	639.1839049142822	0	0.0	0	0.057961344	0.007245168	True
opencv	full	1506	1506	pre_shared_installed	4630994774	7076497	4698.869189907038	654.4190966236544	168671	2.328048155681138	82087	0.056611976	0.007076497	True
opencv	full	1506	1506	pre_shared_c_only	4630994774	7050009	4681.280876494024	656.877852780046	195159	2.6936435428412424	0	0.056400072	0.007050009	True
godot	50	50	2207	empty_online	107803623	348957	6979.14	308.9309657063764	0	0.0	0	0.002791656	0.000348957	True
godot	50	50	2207	pre_shared_installed	107803623	239551	4791.02	450.02368180470967	109406	31.35228695799196	79138	0.001916408	0.000239551	True
godot	50	50	2207	pre_shared_c_only	107803623	241251	4825.02	446.85254361639954	107706	30.86512091747694	0	0.001930008	0.000241251	True
godot	100	100	2207	empty_online	204440064	425218	4252.18	480.78882831865064	0	0.0	0	0.003401744	0.000425218	True
godot	100	100	2207	pre_shared_installed	204440064	307899	3078.99	663.9841766293492	117319	27.59031837786735	79138	0.002463192	0.000307899	True
godot	100	100	2207	pre_shared_c_only	204440064	310355	3103.55	658.7297256367708	114863	27.012732292612263	0	0.00248284	0.000310355	True
godot	150	150	2207	empty_online	279432192	472599	3150.66	591.2669980258105	0	0.0	0	0.003780792	0.000472599	True
godot	150	150	2207	pre_shared_installed	279432192	352716	2351.44	792.2299867315347	119883	25.36674855427117	79138	0.002821728	0.000352716	True
godot	150	150	2207	pre_shared_c_only	279432192	355485	2369.9	786.0590235874931	117114	24.780839570121817	0	0.00284388	0.000355485	True
godot	200	200	2207	empty_online	382645585	555383	2776.915	688.9760489608072	0	0.0	0	0.004443064	0.000555383	True
godot	200	200	2207	pre_shared_installed	382645585	434148	2170.74	881.3712950422437	121235	21.829080112282874	79138	0.003473184	0.000434148	True
godot	200	200	2207	pre_shared_c_only	382645585	437169	2185.845	875.2806923638227	118214	21.285131161738835	0	0.003497352	0.000437169	True
godot	250	250	2207	empty_online	529267340	810504	3242.016	653.010151708073	0	0.0	0	0.006484032	0.000810504	True
godot	250	250	2207	pre_shared_installed	529267340	665353	2661.412	795.4684806411033	145151	17.908733331359254	79138	0.005322824	0.000665353	True
godot	250	250	2207	pre_shared_c_only	529267340	668676	2674.704	791.5153826367329	141828	17.498741523792603	0	0.005349408	0.000668676	True
godot	300	300	2207	empty_online	714654730	957367	3191.2233333333334	746.4793856483459	0	0.0	0	0.007658936	0.000957367	True
godot	300	300	2207	pre_shared_installed	714654730	804445	2681.483333333333	888.3823381337444	152922	15.973184787025247	79138	0.00643556	0.000804445	True
godot	300	300	2207	pre_shared_c_only	714654730	807876	2692.92	884.6094326357015	149491	15.614806025275573	0	0.006463008	0.000807876	True
godot	full	2207	2207	empty_online	5932762185	8634807	3912.4635251472587	687.0752507844124	0	0.0	0	0.069078456	0.008634807	True
godot	full	2207	2207	pre_shared_installed	5932762185	7820134	3543.332125056638	758.6522411252799	814673	9.434756329817215	79138	0.062561072	0.007820134	True
godot	full	2207	2207	pre_shared_c_only	5932762185	7820558	3543.5242410512005	758.6111099745057	814249	9.429845971079608	0	0.062564464	0.007820558	True
fmt	50	50	50	empty_online	136350082	1209222	24184.44	112.75851911394268	0	0.0	0	0.009673776	0.001209222	True
fmt	50	50	50	pre_shared_installed	136350082	1036902	20738.04	131.49755907501384	172320	14.250485022601309	79138	0.008295216	0.001036902	True
fmt	50	50	50	pre_shared_c_only	136350082	1042007	20840.14	130.85332632122433	167215	13.82831274985073	0	0.008336056	0.001042007	True
fmt	full	50	50	empty_online	136350082	1209222	24184.44	112.75851911394268	0	0.0	0	0.009673776	0.001209222	True
fmt	full	50	50	pre_shared_installed	136350082	1036902	20738.04	131.49755907501384	172320	14.250485022601309	79138	0.008295216	0.001036902	True
fmt	full	50	50	pre_shared_c_only	136350082	1042007	20840.14	130.85332632122433	167215	13.82831274985073	0	0.008336056	0.001042007	True
spdlog	full	34	34	empty_online	98384472	462996	13617.529411764706	212.49529585568774	0	0.0	0	0.003703968	0.000462996	True
spdlog	full	34	34	pre_shared_installed	98384472	301114	8856.29411764706	326.73496416639546	161882	34.96401696774918	79138	0.002408912	0.000301114	True
spdlog	full	34	34	pre_shared_c_only	98384472	304544	8957.176470588236	323.05503309866555	158452	34.22318983317351	0	0.002436352	0.000304544	True
catch2	50	50	857	empty_online	50281718	235112	4702.24	213.86283133145054	0	0.0	0	0.001880896	0.000235112	True
catch2	50	50	857	pre_shared_installed	50281718	184418	3688.36	272.65081499636693	50694	21.56163870836027	79138	0.001475344	0.000184418	True
catch2	50	50	857	pre_shared_c_only	50281718	188548	3770.96	266.6786070390564	46564	19.80502909251761	0	0.001508384	0.000188548	True
catch2	100	100	857	empty_online	102344296	309810	3098.1	330.3453600593912	0	0.0	0	0.00247848	0.00030981	True
catch2	100	100	857	pre_shared_installed	102344296	251084	2510.84	407.609787959408	58726	18.955488848003615	79138	0.002008672	0.000251084	True
catch2	100	100	857	pre_shared_c_only	102344296	256345	2563.45	399.2443620901519	53465	17.257351279816664	0	0.00205076	0.000256345	True
catch2	150	150	857	empty_online	167728545	420268	2801.786666666667	399.0990153901796	0	0.0	0	0.003362144	0.000420268	True
catch2	150	150	857	pre_shared_installed	167728545	353171	2354.4733333333334	474.92162436893176	67097	15.965288815708073	79138	0.002825368	0.000353171	True
catch2	150	150	857	pre_shared_c_only	167728545	358928	2392.8533333333335	467.3041529220345	61340	14.595448618500576	0	0.002871424	0.000358928	True
catch2	200	200	857	empty_online	212426768	452238	2261.19	469.72339343443053	0	0.0	0	0.003617904	0.000452238	True
catch2	200	200	857	pre_shared_installed	212426768	379788	1898.94	559.3298577100909	72450	16.020325580778263	79138	0.003038304	0.000379788	True
catch2	200	200	857	pre_shared_c_only	212426768	385758	1928.79	550.673655504228	66480	14.700224218221377	0	0.003086064	0.000385758	True
catch2	250	250	857	empty_online	275368861	495511	1982.044	555.7270393593684	0	0.0	0	0.003964088	0.000495511	True
catch2	250	250	857	pre_shared_installed	275368861	416580	1666.32	661.0227591338999	78931	15.929212469551635	79138	0.00333264	0.00041658	True
catch2	250	250	857	pre_shared_c_only	275368861	422821	1691.284	651.265809881723	72690	14.669704607970358	0	0.003382568	0.000422821	True
catch2	300	300	857	empty_online	321181154	516649	1722.1633333333334	621.6622000623247	0	0.0	0	0.004133192	0.000516649	True
catch2	300	300	857	pre_shared_installed	321181154	436803	1456.01	735.2997896076721	79846	15.454592963501332	79138	0.003494424	0.000436803	True
catch2	300	300	857	pre_shared_c_only	321181154	443068	1476.8933333333334	724.9026199138733	73581	14.241970854487281	0	0.003544544	0.000443068	True
catch2	full	857	857	empty_online	947252235	1177453	1373.924154025671	804.4926081975246	0	0.0	0	0.009419624	0.001177453	True
catch2	full	857	857	pre_shared_installed	947252235	1077476	1257.26487747958	879.1399854845955	99977	8.490954628337606	79138	0.008619808	0.001077476	True
catch2	full	857	857	pre_shared_c_only	947252235	1083120	1263.850641773629	874.5588992909373	94333	8.011614900976939	0	0.00866496	0.00108312	True
nlohmann-json	50	50	99	empty_online	146522996	646648	12932.96	226.58849327609457	0	0.0	0	0.005173184	0.000646648	True
nlohmann-json	50	50	99	pre_shared_installed	146522996	471314	9426.28	310.88190887603594	175334	27.114287835112766	79138	0.003770512	0.000471314	True
nlohmann-json	50	50	99	pre_shared_c_only	146522996	474898	9497.96	308.5357192491861	171750	26.560045032227737	0	0.003799184	0.000474898	True
nlohmann-json	full	99	99	empty_online	293917707	819926	8282.080808080807	358.46857765212957	0	0.0	0	0.006559408	0.000819926	True
nlohmann-json	full	99	99	pre_shared_installed	293917707	643832	6503.353535353535	456.513045328595	176094	21.476816200486386	79138	0.005150656	0.000643832	True
nlohmann-json	full	99	99	pre_shared_c_only	293917707	648648	6552.0	453.12358474858473	171278	20.889446120747483	0	0.005189184	0.000648648	True
range-v3	50	50	259	empty_online	121091080	417280	8345.6	290.19143021472394	0	0.0	0	0.00333824	0.00041728	True
range-v3	50	50	259	pre_shared_installed	121091080	285059	5701.18	424.7930428437622	132221	31.686397622699385	79138	0.002280472	0.000285059	True
range-v3	50	50	259	pre_shared_c_only	121091080	289521	5790.42	418.24627574511004	127759	30.617091641104295	0	0.002316168	0.000289521	True
range-v3	100	100	259	empty_online	247655440	514726	5147.26	481.140334857769	0	0.0	0	0.004117808	0.000514726	True
range-v3	100	100	259	pre_shared_installed	247655440	373449	3734.49	663.1573253643737	141277	27.447030070367536	79138	0.002987592	0.000373449	True
range-v3	100	100	259	pre_shared_c_only	247655440	378472	3784.72	654.3560421907036	136254	26.471171069656478	0	0.003027776	0.000378472	True
range-v3	150	150	259	empty_online	367905603	643930	4292.866666666667	571.3440948550308	0	0.0	0	0.00515144	0.00064393	True
range-v3	150	150	259	pre_shared_installed	367905603	494606	3297.3733333333334	743.8357055919257	149324	23.189477117077946	79138	0.003956848	0.000494606	True
range-v3	150	150	259	pre_shared_c_only	367905603	500097	3333.98	735.6684863136552	143833	22.336744677216466	0	0.004000776	0.000500097	True
range-v3	200	200	259	empty_online	484251452	778505	3892.525	622.027414082119	0	0.0	0	0.00622804	0.000778505	True
range-v3	200	200	259	pre_shared_installed	484251452	603250	3016.25	802.7375913800248	175255	22.511737239966344	79138	0.004826	0.00060325	True
range-v3	200	200	259	pre_shared_c_only	484251452	609122	3045.61	794.9991167615026	169383	21.75747105028227	0	0.004872976	0.000609122	True
range-v3	250	250	259	empty_online	609580129	869940	3479.76	700.7151401246063	0	0.0	0	0.00695952	0.00086994	True
range-v3	250	250	259	pre_shared_installed	609580129	685487	2741.948	889.2657760103401	184453	21.202956525737406	79138	0.005483896	0.000685487	True
range-v3	250	250	259	pre_shared_c_only	609580129	691476	2765.904	881.5636826151595	178464	20.514518242637422	0	0.005531808	0.000691476	True
range-v3	full	259	259	empty_online	632049016	890225	3437.162162162162	709.9879423741189	0	0.0	0	0.0071218	0.000890225	True
range-v3	full	259	259	pre_shared_installed	632049016	699412	2700.4324324324325	903.6862621745123	190813	21.434244151759387	79138	0.005595296	0.000699412	True
range-v3	full	259	259	pre_shared_c_only	632049016	705428	2723.6602316602316	895.9794847950465	184797	20.758459939902835	0	0.005643424	0.000705428	True
eigen	50	50	650	empty_online	270347075	332194	6643.88	813.8228715750435	0	0.0	0	0.002657552	0.000332194	True
eigen	50	50	650	pre_shared_installed	270347075	303623	6072.46	890.4038066944862	28571	8.600697182971397	79138	0.002428984	0.000303623	True
eigen	50	50	650	pre_shared_c_only	270347075	428735	8574.7	630.5691744317586	-96541	-29.06163266043336	0	0.00342988	0.000428735	True
eigen	100	100	650	empty_online	538626320	455566	4555.66	1182.323351610963	0	0.0	0	0.003644528	0.000455566	True
eigen	100	100	650	pre_shared_installed	538626320	359250	3592.5	1499.3077800974252	96316	21.142051865152357	79138	0.002874	0.00035925	True
eigen	100	100	650	pre_shared_c_only	538626320	496081	4960.81	1085.7628492121246	-40515	-8.893332689445657	0	0.003968648	0.000496081	True
eigen	150	150	650	empty_online	826174243	715497	4769.98	1154.6858239796952	0	0.0	0	0.005723976	0.000715497	True
eigen	150	150	650	pre_shared_installed	826174243	524393	3495.9533333333334	1575.4867875810698	191104	26.709266425994798	79138	0.004195144	0.000524393	True
eigen	150	150	650	pre_shared_c_only	826174243	663135	4420.9	1245.8613148152338	52362	7.318269678279574	0	0.00530508	0.000663135	True
eigen	200	200	650	empty_online	1098381060	971955	4859.775	1130.0739849067086	0	0.0	0	0.00777564	0.000971955	True
eigen	200	200	650	pre_shared_installed	1098381060	685874	3429.37	1601.4327121307995	286081	29.433564311104938	79138	0.005486992	0.000685874	True
eigen	200	200	650	pre_shared_c_only	1098381060	828042	4140.21	1326.4798887012978	143913	14.80654968594225	0	0.006624336	0.000828042	True
eigen	250	250	650	empty_online	1365556584	1132546	4530.184	1205.7405032554968	0	0.0	0	0.009060368	0.001132546	True
