project	schema	stage	receiver_initial_state	learning_mode	description	build_repetitions	tus_per_build	total_tus	raw_bytes_per_build	curve_sha256	log_sha256	tu50_wire_bytes	tu50_decimal_mb	tu50_seconds_1gbit	tu100_wire_bytes	tu100_decimal_mb	tu100_seconds_1gbit	tu150_wire_bytes	tu150_decimal_mb	tu150_seconds_1gbit	tu200_wire_bytes	tu200_decimal_mb	tu200_seconds_1gbit	tu250_wire_bytes	tu250_decimal_mb	tu250_seconds_1gbit	tu300_wire_bytes	tu300_decimal_mb	tu300_seconds_1gbit	build1_incremental_wire_bytes	build1_cumulative_wire_bytes	build2_incremental_wire_bytes	build2_cumulative_wire_bytes	build3_incremental_wire_bytes	build3_cumulative_wire_bytes	build4_incremental_wire_bytes	build4_cumulative_wire_bytes	full_build_wire_bytes	full_build_decimal_mb	full_build_seconds_1gbit	full_build_ratio	four_build_cumulative_wire_bytes	four_build_cumulative_decimal_mb	four_build_cumulative_seconds_1gbit	four_build_cumulative_ratio	exact
eigen	p28-cold	p28	cold	incremental_online_empty_start	P27 plus S1 chain 1024	4	650	2600	3532268956	151d50e5ac6891918f5bbf0fd011d9da14cf93d3cba17ae4682c7bc9edbd2e5d	b47991ffe3e7e132e3a5a9c5ee4b537e2135046bb10bdf3fcca667701ebea279	666424	0.666424	0.005331392	692626	0.692626	0.005541008	926957	0.926957	0.007415656	1085704	1.085704	0.008685632	1107720	1.10772	0.00886176	1149200	1.1492	0.0091936	1377958	1377958	34205	1412163	9802	1421965	9802	1431767	1377958	1.377958	0.011023664	2563.4082867547486	1431767	1.431767	0.011454136	9868.278724122012	True
eigen	p29-cold	p29	cold	incremental_online_empty_start	P28 plus selected blob zstd-9/LDM workers	4	650	2600	3532268956	151d50e5ac6891918f5bbf0fd011d9da14cf93d3cba17ae4682c7bc9edbd2e5d	732fcd4b9178db7913cf302553ca2544c5a7b7952ccdb4fbdd3715b2b6ef30ff	666424	0.666424	0.005331392	692626	0.692626	0.005541008	926957	0.926957	0.007415656	1085704	1.085704	0.008685632	1107720	1.10772	0.00886176	1149200	1.1492	0.0091936	1377958	1377958	34205	1412163	9802	1421965	9802	1431767	1377958	1.377958	0.011023664	2563.4082867547486	1431767	1.431767	0.011454136	9868.278724122012	True
re2	p25-cold	p25	cold	incremental_online_empty_start	key-map material baseline	4	72	288	110231455	58f5fb245318098a6c6926f8a23100915a304d34dc791b206360e1cf7efeb778	29343b5092fb3748699432f2751236472eff2fc36af7c65270e4fef4ff4dea5d	459616	0.459616	0.003676928	508796	0.508796	0.004070368	510900	0.5109	0.0040872	511650	0.51165	0.0040932	512426	0.512426	0.004099408				507842	507842	2968	510810	1106	511916	1106	513022	507842	0.507842	0.004062736	217.0585634902194	513022	0.513022	0.004104176	859.4676641547536	True
re2	p26-cold	p26	cold	incremental_online_empty_start	direct ordinals plus compressed zlib-member recovery	4	72	288	110231455	334ed857d3813dda8f53da376c2a9c32f432e48259e2dd331d46f0d91e7bdf49	4a57400e58523c635abbf4c14c925f5590e29c481df534126d59375a9b73264e	442556	0.442556	0.003540448	489212	0.489212	0.003913696	491353	0.491353	0.003930824	492103	0.492103	0.003936824	492879	0.492879	0.003943032				488243	488243	3020	491263	1106	492369	1106	493475	488243	0.488243	0.003905944	225.77170589235277	493475	0.493475	0.0039478	893.5119712244795	True
re2	p27-cold	p27	cold	incremental_online_empty_start	P26 plus canonical-MO factoring	4	72	288	110231455	334ed857d3813dda8f53da376c2a9c32f432e48259e2dd331d46f0d91e7bdf49	c3cd89ac16a8a5fa7deb836928e36fbe1838f659b6f51d22947a6cd1545a9664	442556	0.442556	0.003540448	489212	0.489212	0.003913696	491353	0.491353	0.003930824	492103	0.492103	0.003936824	492879	0.492879	0.003943032				488243	488243	3020	491263	1106	492369	1106	493475	488243	0.488243	0.003905944	225.77170589235277	493475	0.493475	0.0039478	893.5119712244795	True
re2	p28-cold	p28	cold	incremental_online_empty_start	P27 plus S1 chain 1024	4	72	288	110231455	334ed857d3813dda8f53da376c2a9c32f432e48259e2dd331d46f0d91e7bdf49	050be9f881eaaa130c993709b24e9c6ef2e5c6a1b53e7ce91a3e03542d23a1ef	442556	0.442556	0.003540448	489212	0.489212	0.003913696	491353	0.491353	0.003930824	492103	0.492103	0.003936824	492879	0.492879	0.003943032				488243	488243	3020	491263	1106	492369	1106	493475	488243	0.488243	0.003905944	225.77170589235277	493475	0.493475	0.0039478	893.5119712244795	True
re2	p29-cold	p29	cold	incremental_online_empty_start	P28 plus selected blob zstd-9/LDM workers	4	72	288	110231455	334ed857d3813dda8f53da376c2a9c32f432e48259e2dd331d46f0d91e7bdf49	4b7423c6d3fbe1e67df0d51ab555dbfc9daf5b61785bac581686637f6a2dd88a	442556	0.442556	0.003540448	489212	0.489212	0.003913696	491353	0.491353	0.003930824	492103	0.492103	0.003936824	492879	0.492879	0.003943032				488243	488243	3020	491263	1106	492369	1106	493475	488243	0.488243	0.003905944	225.77170589235277	493475	0.493475	0.0039478	893.5119712244795	True
leveldb	p25-cold	p25	cold	incremental_online_empty_start	key-map material baseline	4	72	288	143868249	7945933cb0097141387717812beb573cef74326ea539db5c309a98e209c71775	2becdf4112f25968d53dc45bcac5e6fd70dfce93b00022327cc1343726859016	544845	0.544845	0.00435876	755208	0.755208	0.006041664	757651	0.757651	0.006061208	758451	0.758451	0.006067608	759303	0.759303	0.006074424				753948	753948	3607	757555	1204	758759	1204	759963	753948	0.753948	0.006031584	190.8198562765602	759963	0.759963	0.006079704	757.2381760690981	True
leveldb	p26-cold	p26	cold	incremental_online_empty_start	direct ordinals plus compressed zlib-member recovery	4	72	288	143868249	e5286a104bbbea7505a61b65cd21a07c73ecc4c90ece89ccf76eab56229196df	89e0fb9dee1d701c3b9cda6e4718a47fb3ddc5bb7395c7e9795ee59dcead21f4	520716	0.520716	0.004165728	686623	0.686623	0.005492984	689066	0.689066	0.005512528	689866	0.689866	0.005518928	690718	0.690718	0.005525744				685363	685363	3607	688970	1204	690174	1204	691378	685363	0.685363	0.005482904	209.91540103565555	691378	0.691378	0.005531024	832.3565343415613	True
leveldb	p27-cold	p27	cold	incremental_online_empty_start	P26 plus canonical-MO factoring	4	72	288	143868249	e5286a104bbbea7505a61b65cd21a07c73ecc4c90ece89ccf76eab56229196df	df8e998bd49f5f35989b40bbc9b76c7754818bc6f1873629803ed4a007071a53	520716	0.520716	0.004165728	686623	0.686623	0.005492984	689066	0.689066	0.005512528	689866	0.689866	0.005518928	690718	0.690718	0.005525744				685363	685363	3607	688970	1204	690174	1204	691378	685363	0.685363	0.005482904	209.91540103565555	691378	0.691378	0.005531024	832.3565343415613	True
