corpus	raw_bytes	target_line_bytes	package_budget_raw	package_lines	package_raw_bytes	package_wire_bytes	hit_lines	hit_bytes	residual_lines	residual_bytes	residual_wire_bytes	literal_tus	front_tus	line_wire_bytes	literal_only_line_wire_bytes	baseline_line_wire_bytes	tu_front_gain	line_gain	raw_over_line_wire	exact
abseil	2581008467	28956497	262144	2641	262144	42591	2641	259109	374194	28697388	3532155	53	598	3574746	4071976	3564062	1.142509867	0.997011256	722.011708524	OK
abseil	2581008467	28956497	524288	6816	524288	90811	6816	517078	370019	28439419	3487729	53	598	3578540	4071976	3564062	1.142509867	0.995954216	721.246225276	OK
abseil	2581008467	28956497	1048576	18986	1048576	181102	18986	1029196	357849	27927301	3391796	53	598	3572898	4071976	3564062	1.142509867	0.997526938	722.385152613	OK
abseil	2581008467	28956497	2097152	43070	2097152	375155	40305	1937835	336530	27018662	3205359	54	597	3580514	4071976	3564062	1.142509867	0.995405129	720.848589616	OK
abseil	2581008467	28956497	4194304	80173	4194304	706021	61710	3111646	315125	25844851	3043379	58	593	3749400	4071976	3564062	1.142509867	0.950568624	688.379065184	OK
opencv	4630994774	53562985	0	0	0	0	0	0	586099	53562985	7466008	289	1217	7466008	8275079	7466008	1.108367283	1.000000000	620.277231688	OK
opencv	4630994774	53562985	65536	268	65536	5129	265	59500	585834	53503485	7460949	289	1217	7466078	8275079	7466008	1.108367283	0.999990624	620.271416130	OK
opencv	4630994774	53562985	131072	799	131072	11977	699	113328	585400	53449657	7455524	289	1217	7467501	8275079	7466008	1.108367283	0.999800067	620.153217790	OK
opencv	4630994774	53562985	262144	2459	262144	40465	1972	211987	584127	53350998	7441491	289	1217	7481956	8275079	7466008	1.108367283	0.997868472	618.955093294	OK
opencv	4630994774	53562985	524288	6398	524288	90805	5206	424036	580893	53138949	7405546	289	1217	7496351	8275079	7466008	1.108367283	0.995952297	617.766533878	OK
opencv	4630994774	53562985	1048576	16772	1048576	180160	13855	852301	572244	52710684	7328833	289	1217	7508993	8275079	7466008	1.108367283	0.994275531	616.726473710	OK
opencv	4630994774	53562985	2097152	42355	2097152	372060	35718	1717159	550381	51845826	7141478	289	1217	7513538	8275079	7466008	1.108367283	0.993674085	616.353410870	OK
opencv	4630994774	53562985	4194304	81395	4194304	717224	56508	2688804	529591	50874181	6997694	290	1216	7714918	8275079	7466008	1.108367283	0.967736533	600.264937877	OK
godot	5932762185	272752620	0	0	0	0	0	0	2641125	272752620	70181917	300	1907	70181917	74241364	70181917	1.057841780	1.000000000	84.534057185	OK
godot	5932762185	272752620	65536	301	65536	5423	301	64935	2640824	272687685	70176583	300	1907	70182006	74241364	70181917	1.057841780	0.999998732	84.533949984	OK
godot	5932762185	272752620	131072	885	131072	13506	885	129793	2640240	272622827	70168915	300	1907	70182421	74241364	70181917	1.057841780	0.999992819	84.533450121	OK
godot	5932762185	272752620	262144	2640	262144	42564	2638	258966	2638487	272493654	70149378	300	1907	70191942	74241364	70181917	1.057841780	0.999857177	84.521983805	OK
godot	5932762185	272752620	524288	6815	524288	90784	6810	516755	2634315	272235865	70104072	300	1907	70194856	74241364	70181917	1.057841780	0.999815670	84.518475043	OK
godot	5932762185	272752620	1048576	18975	1048576	180931	18948	1028095	2622177	271724525	70005959	300	1907	70186890	74241364	70181917	1.057841780	0.999929146	84.528067635	OK
godot	5932762185	272752620	2097152	43053	2097152	374976	39783	1916450	2601342	270836170	69816878	301	1906	70191854	74241364	70181917	1.057841780	0.999858431	84.522089771	OK
godot	5932762185	272752620	4194304	81679	4194304	716404	56120	2714124	2585005	270038496	69716098	303	1904	70432502	74241364	70181917	1.057841780	0.996442197	84.233301623	OK
fmt	136350082	4956020	0	0	0	0	0	0	82098	4956020	757429	0	30	757429	860736	757429	1.136391662	1.000000000	180.016981130	OK
fmt	136350082	4956020	65536	301	65536	5423	301	64935	81797	4891085	751777	0	30	757200	860736	757429	1.136391662	1.000302430	180.071423666	OK
fmt	136350082	4956020	131072	885	131072	13506	885	129793	81213	4826227	744476	0	30	757982	860736	757429	1.136391662	0.999270431	179.885646361	OK
fmt	136350082	4956020	262144	2641	262144	42591	2641	259109	79457	4696911	724847	0	30	767438	860736	757429	1.136391662	0.986957904	177.669182396	OK
fmt	136350082	4956020	524288	6816	524288	90811	6816	517078	75282	4438942	680220	0	30	771031	860736	757429	1.136391662	0.982358686	176.841245034	OK
fmt	136350082	4956020	1048576	18986	1048576	181097	18985	1029161	63113	3926859	584150	0	30	765247	860736	757429	1.136391662	0.989783691	178.177871981	OK
fmt	136350082	4956020	2097152	42572	2097152	371579	37367	1803564	44731	3152456	422647	1	29	794226	860736	757429	1.136391662	0.953669359	171.676678930	OK
fmt	136350082	4956020	4194304	80124	4194304	700328	44183	2112393	37915	2843627	356725	1	29	1057053	860736	757429	1.136391662	0.716547798	128.990771513	OK
spdlog	98384472	3102128	0	0	0	0	0	0	55983	3102128	558691	5	29	558691	633158	558691	1.133288347	1.000000000	176.098186654	OK
spdlog	98384472	3102128	65536	301	65536	5423	301	64935	55682	3037193	553147	5	29	558570	633158	558691	1.133288347	1.000216625	176.136333853	OK
spdlog	98384472	3102128	131072	885	131072	13506	885	129793	55098	2972335	545871	5	29	559377	633158	558691	1.133288347	0.998773636	175.882226119	OK
spdlog	98384472	3102128	262144	2641	262144	42591	2641	259109	53342	2843019	526220	5	29	568811	633158	558691	1.133288347	0.982208502	172.965136047	OK
spdlog	98384472	3102128	524288	6816	524288	90811	6816	517078	49167	2585050	481098	5	29	571909	633158	558691	1.133288347	0.976887931	172.028193296	OK
spdlog	98384472	3102128	1048576	18980	1048576	181027	18971	1028761	37012	2073367	384930	5	29	565957	633158	558691	1.133288347	0.987161569	173.837362202	OK
spdlog	98384472	3102128	2097152	42600	2097152	370980	35973	1749913	20010	1352215	236533	5	29	607513	633158	558691	1.133288347	0.919636288	161.946282631	OK
spdlog	98384472	3102128	4194304	81807	4194304	711568	39172	1864066	16811	1238062	208862	6	28	920430	633158	558691	1.133288347	0.606989125	106.889684169	OK
catch2	947252235	5588040	0	0	0	0	0	0	70718	5588040	803702	61	183	803702	888333	803702	1.105301467	1.000000000	1178.611270098	OK
catch2	947252235	5588040	65536	301	65536	5423	301	64935	70417	5523105	798539	61	183	803962	888333	803702	1.105301467	0.999676602	1178.230109135	OK
catch2	947252235	5588040	131072	885	131072	13506	885	129793	69833	5458247	791305	61	183	804811	888333	803702	1.105301467	0.998622037	1176.987187054	OK
catch2	947252235	5588040	262144	2641	262144	42591	2641	259109	68077	5328931	772003	61	183	814594	888333	803702	1.105301467	0.986628922	1162.851966747	OK
catch2	947252235	5588040	524288	6816	524288	90811	6816	517078	63902	5070962	727223	61	183	818034	888333	803702	1.105301467	0.982479946	1157.961936790	OK
catch2	947252235	5588040	1048576	18986	1048576	181102	18986	1029196	51732	4558844	628966	61	183	810068	888333	803702	1.105301467	0.992141400	1169.349036130	OK
catch2	947252235	5588040	2097152	42636	2097152	371430	39427	1903710	31291	3684330	443370	63	180	814800	888333	803702	1.105301467	0.986379480	1162.557971281	OK
catch2	947252235	5588040	4194304	82001	4194304	712367	42174	2004585	28544	3583455	419459	61	179	1131826	888333	803702	1.105301467	0.710093248	836.923904381	OK
nlohmann-json	293917707	7980784	0	0	0	0	0	0	86569	7980784	955600	7	90	955600	1077212	955600	1.127262453	1.000000000	307.573992256	OK
nlohmann-json	293917707	7980784	65536	301	65536	5423	301	64935	86268	7915849	950298	7	90	955721	1077212	955600	1.127262453	0.999873394	307.535051547	OK
nlohmann-json	293917707	7980784	131072	885	131072	13533	884	129706	85685	7851078	942912	7	90	956445	1077212	955600	1.127262453	0.999116520	307.302256795	OK
nlohmann-json	293917707	7980784	262144	2640	262144	42572	2636	258789	83933	7721995	923469	7	90	966041	1077212	955600	1.127262453	0.989191970	304.249723355	OK
nlohmann-json	293917707	7980784	524288	6814	524288	90803	6810	516759	79759	7464025	878496	7	90	969299	1077212	955600	1.127262453	0.985867106	303.227081633	OK
nlohmann-json	293917707	7980784	1048576	18979	1048576	181089	18974	1028842	67595	6951942	781613	7	90	962702	1077212	955600	1.127262453	0.992622847	305.304971840	OK
nlohmann-json	293917707	7980784	2097152	42650	2097152	371425	37526	1824523	49043	6156261	618973	8	89	990398	1077212	955600	1.127262453	0.964864630	296.767266291	OK
nlohmann-json	293917707	7980784	4194304	79547	4194304	715268	43378	2218218	43191	5762566	557272	10	87	1272540	1077212	955600	1.127262453	0.750939067	230.969326701	OK
range-v3	632049016	5171912	0	0	0	0	0	0	76561	5171912	829093	21	238	829093	934776	829093	1.127468209	1.000000000	762.337899367	OK
range-v3	632049016	5171912	65536	301	65536	5422	299	64611	76262	5107301	823389	21	238	828811	934776	829093	1.127468209	1.000340246	762.597282131	OK
range-v3	632049016	5171912	131072	869	131072	12611	805	123199	75756	5048713	817535	21	238	830146	934776	829093	1.127468209	0.998731548	761.370910659	OK
range-v3	632049016	5171912	262144	2607	262144	42277	2504	249713	74057	4922199	798152	21	238	840429	934776	829093	1.127468209	0.986511651	752.055219418	OK
range-v3	632049016	5171912	524288	6739	524288	90883	6530	501098	70031	4670814	754575	21	238	845458	934776	829093	1.127468209	0.980643627	747.581802999	OK
range-v3	632049016	5171912	1048576	18570	1048576	180518	18095	1002600	58466	4169312	661177	21	238	841695	934776	829093	1.127468209	0.985027831	750.924047309	OK
range-v3	632049016	5171912	2097152	42479	2097152	372827	37405	1811745	39156	3360167	492914	22	237	865741	934776	829093	1.127468209	0.957668633	730.067093969	OK
range-v3	632049016	5171912	4194304	82855	4194304	714975	41263	1951001	35298	3220911	461957	24	235	1176932	934776	829093	1.127468209	0.704452764	537.031040026	OK
eigen	3532268956	6916480	0	0	0	0	0	0	99108	6916480	1201421	458	183	1201421	1315071	1201421	1.094596316	1.000000000	2940.075923427	OK
eigen	3532268956	6916480	65536	301	65536	5423	301	64935	98807	6851545	1196064	458	183	1201487	1315071	1201421	1.094596316	0.999945068	2939.914419382	OK
eigen	3532268956	6916480	131072	885	131072	13506	885	129793	98223	6786687	1188948	458	183	1202454	1315071	1201421	1.094596316	0.999140923	2937.550173229	OK
eigen	3532268956	6916480	262144	2640	262144	42570	2625	258006	96483	6658474	1168410	458	183	1210980	1315071	1201421	1.094596316	0.992106393	2916.868120035	OK
eigen	3532268956	6916480	524288	6809	524288	90722	6772	514628	92336	6401852	1123564	458	183	1214286	1315071	1201421	1.094596316	0.989405297	2908.926691076	OK
eigen	3532268956	6916480	1048576	18866	1048575	180312	18687	1020534	80421	5895946	1026021	459	182	1206333	1315071	1201421	1.094596316	0.995928156	2928.104392402	OK
eigen	3532268956	6916480	2097152	43210	2097152	376149	36870	1776220	62238	5140260	862845	459	182	1238994	1315071	1201421	1.094596316	0.969674591	2850.916918080	OK
eigen	3532268956	6916480	4194304	82811	4194304	715042	38918	1866855	60190	5049625	848263	458	183	1563305	1315071	1201421	1.094596316	0.768513502	2259.488043600	OK
re2	110231455	2626159	0	0	0	0	0	0	54091	2626159	494336	4	49	494336	563199	494336	1.139304036	1.000000000	222.988928583	OK
re2	110231455	2626159	65536	301	65536	5423	301	64935	53790	2561224	489673	4	49	495096	563199	494336	1.139304036	0.998464944	222.646628129	OK
re2	110231455	2626159	131072	884	131072	13487	881	129517	53210	2496642	482784	4	49	496271	563199	494336	1.139304036	0.996100921	222.119477060	OK
re2	110231455	2626159	262144	2633	262144	42781	2545	252522	51546	2373637	464673	4	49	507454	563199	494336	1.139304036	0.974149381	217.224526755	OK
re2	110231455	2626159	524288	6754	524288	91235	6339	490320	47752	2135839	423863	4	49	515098	563199	494336	1.139304036	0.959693107	214.000937686	OK
re2	110231455	2626159	1048576	18245	1048576	180840	17083	970158	37008	1656001	336400	5	48	517240	563199	494336	1.139304036	0.955718815	213.114714639	OK
re2	110231455	2626159	2097152	42445	2097152	371850	34016	1657288	20075	968871	193633	5	48	565483	563199	494336	1.139304036	0.874183662	194.933278277	OK
re2	110231455	2626159	4194304	82754	4194304	714734	34530	1670806	19561	955353	190334	5	48	905068	563199	494336	1.139304036	0.546186585	121.793561368	OK
leveldb	143868249	3332546	0	0	0	0	0	0	63185	3332546	595228	5	62	595228	671040	595228	1.127366320	1.000000000	241.702757599	OK
leveldb	143868249	3332546	65536	301	65536	5423	301	64935	62884	3267611	589853	5	62	595276	671040	595228	1.127366320	0.999919365	241.683267929	OK
leveldb	143868249	3332546	131072	885	131072	13506	885	129793	62300	3202753	582446	5	62	595952	671040	595228	1.127366320	0.998785137	241.409121876	OK
leveldb	143868249	3332546	262144	2641	262144	42591	2641	259109	60544	3073437	562401	5	62	604992	671040	595228	1.127366320	0.983860944	237.801903166	OK
leveldb	143868249	3332546	524288	6816	524288	90805	6815	517020	56370	2815526	517484	5	62	608289	671040	595228	1.127366320	0.978528298	236.512988070	OK
leveldb	143868249	3332546	1048576	18984	1048576	181095	18979	1028985	44206	2303561	420723	5	62	601818	671040	595228	1.127366320	0.989049846	239.056075092	OK
leveldb	143868249	3332546	2097152	42541	2097152	371474	35489	1728043	27696	1604503	277848	5	62	649322	671040	595228	1.127366320	0.916691564	221.566878991	OK
leveldb	143868249	3332546	4194304	80756	4194304	705179	37938	1828358	25247	1504188	254445	7	60	959624	671040	595228	1.127366320	0.620272107	149.921478621	OK
simdjson	468377342	6724281	0	0	0	0	0	0	114994	6724281	1132840	33	106	1132840	1303116	1132840	1.150308958	1.000000000	413.454099432	OK
simdjson	468377342	6724281	65536	301	65536	5423	301	64935	114693	6659346	1127343	33	106	1132766	1303116	1132840	1.150308958	1.000065327	413.481109073	OK
simdjson	468377342	6724281	131072	885	131072	13506	885	129793	114109	6594488	1119708	33	106	1133214	1303116	1132840	1.150308958	0.999669965	413.317645211	OK
simdjson	468377342	6724281	262144	2641	262144	42591	2641	259109	112353	6465172	1100072	33	106	1142663	1303116	1132840	1.150308958	0.991403415	409.899805980	OK
simdjson	468377342	6724281	524288	6816	524288	90811	6816	517078	108178	6207203	1055148	33	106	1145959	1303116	1132840	1.150308958	0.988551946	408.720854760	OK
simdjson	468377342	6724281	1048576	18986	1048576	181102	18986	1029196	96008	5695085	959179	32	107	1140281	1303116	1132840	1.150308958	0.993474416	410.756069776	OK
simdjson	468377342	6724281	2097152	42359	2097152	372264	41348	2002776	73646	4721505	761145	33	106	1133409	1303116	1132840	1.150308958	0.999497975	413.246535011	OK
simdjson	468377342	6724281	4194304	79558	4194304	719780	59274	3018331	55720	3705950	634454	35	104	1354234	1303116	1132840	1.150308958	0.836517175	345.861455258	OK
cereal	326899429	3156148	0	0	0	0	0	0	55145	3156148	552309	4	41	552309	627873	552309	1.136814718	1.000000000	591.877787615	OK
cereal	326899429	3156148	65536	301	65536	5423	301	64935	54844	3091213	547314	4	41	552737	627873	552309	1.136814718	0.999225672	591.419479789	OK
cereal	326899429	3156148	131072	885	131072	13506	885	129793	54260	3026355	540550	4	41	554056	627873	552309	1.136814718	0.996846889	590.011531325	OK
cereal	326899429	3156148	262144	2640	262144	42550	2638	258966	52507	2897182	520548	4	41	563098	627873	552309	1.136814718	0.980839925	580.537364722	OK
cereal	326899429	3156148	524288	6815	524288	90675	6804	516423	48341	2639725	476094	4	41	566769	627873	552309	1.136814718	0.974486960	576.777186120	OK
cereal	326899429	3156148	1048576	18964	1048576	180803	18928	1027510	36217	2128638	381844	4	41	562647	627873	552309	1.136814718	0.981626135	581.002705071	OK
cereal	326899429	3156148	2097152	42504	2097152	371361	39134	1884192	16011	1271956	206523	5	40	577884	627873	552309	1.136814718	0.955743713	565.683474538	OK
cereal	326899429	3156148	4194304	82902	4194304	716408	42042	2144015	13103	1012133	173072	5	40	889480	627873	552309	1.136814718	0.620934703	367.517458515	OK
