corpus	scenario	tus	raw_bytes	empty_wire_bytes	seed_wire_bytes	empty_ratio	seed_ratio	seed_gain_vs_empty_percent	seed_strictly_smaller	seed_published_assets	all_published_assets	final_logical_state_bytes	package_sha256	affected_tus	affected_occurrences	exact	seed_change_vs_standard_percent	empty_change_vs_standard_percent
llvm	shuffle1	200	724323634	1760912	1531592	411.33437332473176	472.92205365397575	14.972655903138698	True	1593	13177	12105605	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-6.214644631207267	-6.240061967889366
rocksdb	shuffle1	200	1224557334	11316112	11161695	108.21361029300523	109.7106966280659	1.3834547530639396	True	1512	18691	18527431	4a2950b18807e6981e87cbacb28311e5789c089fbc630669eae9ebb9a4c504a6	0	0	True	-0.3690478910237216	0.7209720087606009
duckdb	shuffle1	200	646795216	1318925	1089774	490.3957510851641	593.5131651149688	21.027387329850033	True	1773	12936	12890457	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	25.493542697843765	25.536402752241404
abseil	shuffle1	200	548396320	4061597	3866096	135.01987518702617	141.8475692274584	5.0568066597415084	True	1867	12553	23601486	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-1.7623980366757608	-1.3778816559102292
opencv	shuffle1	200	307655351	1095148	999439	280.92582098492625	307.8280425318604	9.576272288753994	True	1415	9055	9670929	4a2950b18807e6981e87cbacb28311e5789c089fbc630669eae9ebb9a4c504a6	0	0	True	6.977014104912849	12.946104088214572
godot	shuffle1	200	382645585	572848	484044	667.9705349412061	790.5181863632232	18.346266041930082	True	1029	7242	3767588	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-9.684036988372958	-3.0488017763874553
fmt	shuffle1	50	136350082	1219181	1093019	111.83744005196931	124.74630541646577	11.542525793238735	True	1777	7070	6087157	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-4.667073490945716	-0.8168598427961027
spdlog	shuffle1	34	98384472	344841	342251	285.30387047943833	287.46292048817975	0.7567545456404812	True	1356	2875	2017262	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-11.017352761569722	34.26361714529305
catch2	shuffle1	200	212426768	546393	457053	388.7801783697815	464.77491231870266	19.546967200740404	True	1619	6836	3387404	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-15.598847398441752	-17.232102168219576
nlohmann-json	shuffle1	99	293917707	924667	756635	317.8633032215922	388.4537551130994	22.2078016480866	True	2114	8500	6514129	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-14.272006978265605	-11.327429225872665
range-v3	shuffle1	200	484251452	831486	693684	582.3927907385091	698.0865235467446	19.86524123376061	True	1768	9337	6887335	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-12.190276840751702	-6.371845106231488
eigen	shuffle1	200	1098381060	1242532	1082684	883.9861347635313	1014.4982838944696	14.764049344037588	True	1564	12606	6539937	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-23.519512618640338	-21.77626008827137
re2	shuffle1	72	110231455	402691	298423	273.7370713524762	369.37989028995753	34.939666178545224	True	1445	5671	3606118	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-15.341310823897626	-2.703561788070752
leveldb	shuffle1	72	143868249	826214	725372	174.12952213349084	198.3371966384145	13.902108159675318	True	1616	7641	4914734	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-10.67424714491323	-0.3572924206077355
simdjson	shuffle1	153	468377342	767661	673230	610.1356484177261	695.7166822631195	14.02655853125976	True	1897	9992	7138063	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	0.8026974436670997	18.632834024393574
cereal	shuffle1	84	326899429	416058	350748	785.7063894937725	932.0065374570917	18.6202059598344	True	1531	5116	2111677	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-22.563492878077707	-34.69756620471184
llvm	shuffle2	200	724323634	1822633	1586633	397.40509142542686	456.51617859958793	14.874265189240354	True	1476	13577	21881144	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-9.46810005842561	-9.415115385269557
rocksdb	shuffle2	200	1224557334	11347639	11171307	107.91296180641629	109.61629950730027	1.5784366144444784	True	1549	19869	22914343	4a2950b18807e6981e87cbacb28311e5789c089fbc630669eae9ebb9a4c504a6	0	0	True	-0.45477221241883026	0.44114022308958667
duckdb	shuffle2	200	646795216	1319315	1141551	490.25078620344647	566.5933593856079	15.572147017522653	True	1605	12798	12890361	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	19.801568217276323	25.4992931938165
abseil	shuffle2	200	548396320	4027816	3859693	136.152277065288	142.08288586682932	4.355864572648649	True	1890	12682	12337777	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-1.5994277265057089	-0.5507451184463275
opencv	shuffle2	200	307655351	1079698	1010955	284.94574501388354	304.3215088703256	6.799808102239968	True	1435	9233	4789059	4a2950b18807e6981e87cbacb28311e5789c089fbc630669eae9ebb9a4c504a6	0	0	True	5.7584165467305715	14.56231279487412
godot	shuffle2	200	382645585	569755	491401	671.5967126220919	778.6829595381369	15.945022496901707	True	1076	7745	3765892	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-11.036200577532407	-2.52248773595668
fmt	shuffle2	50	136350082	1220156	1099157	111.74807319719774	124.04968716934887	11.008345486586535	True	1794	7422	6082669	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-5.19943920659196	-0.8961149230098497
spdlog	shuffle2	34	98384472	334132	304377	294.4479187865873	323.23228101991936	9.775705785916799	True	1076	2701	1996822	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	0.05486616925720611	38.56679396166784
catch2	shuffle2	200	212426768	540952	455786	392.6906047116935	466.0668998170194	18.685523469347466	True	1591	7189	5853422	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-15.364227949081366	-16.399606619441276
nlohmann-json	shuffle2	99	293917707	890938	739156	329.8969254875199	397.63961464156415	20.53450151253593	True	2074	8669	6523377	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-12.244776474790164	-7.970476060062537
range-v3	shuffle2	200	484251452	842931	676617	574.4852805271131	715.6950712145867	24.58022780982447	True	1675	9351	6837264	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-9.97536272366789	-7.6430929696499454
eigen	shuffle2	200	1098381060	960647	895501	1143.376349481131	1226.5548112174079	7.27481041338871	True	1383	10391	6543329	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-7.533101582242785	1.1771233345859722
re2	shuffle2	72	110231455	416556	265596	264.62577660626664	415.0343190409494	56.83820539465956	True	1518	5785	3619886	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-4.877709001641595	-5.9420582106607505
leveldb	shuffle2	72	143868249	809007	670736	177.83313246980558	214.49310757138426	20.61481715607929	True	1729	7924	4914638	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-3.398058252427183	1.762036669645628
simdjson	shuffle2	153	468377342	852599	730561	549.3524411827834	641.1201008540013	16.704696801499132	True	2090	11199	7138111	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-7.1078253561304265	6.814340622027482
cereal	shuffle2	84	326899429	441931	280042	739.7069429390561	1167.322862284943	57.808828675698656	True	1633	5860	2125941	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-3.0120481927710885	-38.52071929780894
llvm	shuffle3	200	724323634	1763781	1541965	410.66528894460254	469.7406452156826	14.385281118572735	True	1513	12939	21880768	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-6.845550969055713	-6.392573681199654
rocksdb	shuffle3	200	1224557334	11548397	11228937	106.03699664983807	109.05371844191485	2.844970988794393	True	1500	19488	23558585	4a2950b18807e6981e87cbacb28311e5789c089fbc630669eae9ebb9a4c504a6	0	0	True	-0.9656657615943476	-1.3049343558244497
duckdb	shuffle3	200	646795216	1285280	1108017	503.2329266774555	583.7412386272052	15.99822024391322	True	1569	12490	8038671	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	23.42734813635532	28.822591186356284
abseil	shuffle3	200	548396320	4027585	3848981	136.16008600687508	142.4783130911792	4.640293106149396	True	1894	12514	23601734	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-1.325571625321087	-0.545041259216128
opencv	shuffle3	200	307655351	1117515	1035022	275.3031064459985	297.24522860383644	7.970168750036222	True	1361	9470	5739156	4a2950b18807e6981e87cbacb28311e5789c089fbc630669eae9ebb9a4c504a6	0	0	True	3.2992535424367864	10.685494154440889
godot	shuffle3	200	382645585	539219	476500	709.6292693692174	803.0337565582372	13.162434417628543	True	996	7585	3765684	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-8.254144805876184	2.9976688506896165
fmt	shuffle3	50	136350082	1248271	1103158	109.23115413239593	123.5997762786473	13.154326034892549	True	1766	7230	6084549	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-5.543267600833246	-3.1282469912382815
spdlog	shuffle3	34	98384472	399882	332592	246.03375995918796	295.81130033193824	20.23199595901284	True	1262	2428	2005294	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-8.433155337470533	15.783156031029154
catch2	shuffle3	200	212426768	528219	445396	402.1566206440889	476.939101383937	18.595362329253074	True	1599	6994	5851286	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-13.389882262076892	-14.384374662781918
nlohmann-json	shuffle3	99	293917707	898701	732499	327.04726822380303	401.2533901070172	22.689723808496677	True	2112	8427	6528705	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-11.447251122527124	-8.765429213943232
range-v3	shuffle3	200	484251452	852265	693870	568.1935219679325	697.8993932581031	22.82776312565755	True	1676	9078	12124003	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-12.21381526798968	-8.654585134905224
eigen	shuffle3	200	1098381060	1330540	1148127	825.5152494475927	956.6720928956465	15.88787651540291	True	1401	11521	6541177	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-27.878884478807652	-26.950335953823256
re2	shuffle3	72	110231455	403967	313934	272.87242522285237	351.12939343938535	28.678957997540877	True	1474	5898	3573910	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-19.524167500175192	-3.0108895033505223
leveldb	shuffle3	72	143868249	838144	733379	171.65099195364996	196.17175975859686	14.285246782359472	True	1615	7739	4914558	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-11.64950182647717	-1.775589874770922
simdjson	shuffle3	153	468377342	925789	745481	505.9223451564017	628.2887719472394	24.186800200139235	True	2098	10642	5264385	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-8.966962269997492	-1.6300690546117935
cereal	shuffle3	84	326899429	276978	266272	1180.236080121887	1227.689839712775	4.0207006369426646	True	732	2885	2214293	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	2.0035903136642164	-1.9070106651069785
