logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
55	55	25	3679603	184803	23225988	198163217	22185221	8878	2175	173726	24	0	1	150	8719	1572	35632	136501	1	1	1249	8878	173726	6	182610	2175	18	2193	1
56	56	26	4156384	135892	19365753	202319601	22321113	9106	1061	125701	24	0	1	227	8870	1530	22567	101583	1	1	593	9106	125701	6	134813	1061	18	1079	1
57	57	27	3892276	123505	19013115	206211877	22444618	9458	1256	112767	24	0	1	188	9261	1565	22755	88426	1	1	699	9458	112767	6	122231	1256	18	1274	1
58	58	28	4122406	131955	18015012	210334283	22576573	4173	1067	126691	24	0	1	146	4018	1558	24193	100919	1	1	607	4173	126691	6	130870	1067	18	1085	1
59	59	29	2236738	15891	4418051	212571021	22592464	5481	327	10059	24	0	1	51	5422	1567	3763	4710	1	1	164	5481	10059	6	15546	327	18	345	1
60	60	0	2919850	24757	5269396	215490871	22617221	7306	464	16963	24	0	1	80	7218	1596	5729	9619	1	1	227	7306	16963	6	24275	464	18	482	1
61	61	1	3337365	30138	6115949	218828236	22647359	8113	464	21537	24	0	1	42	8063	1563	6584	13371	1	1	248	8113	21537	6	29656	464	18	482	1
62	62	2	3393617	87996	14469456	222221853	22735355	8555	1162	78255	24	0	1	485	8061	1550	20404	56280	1	1	665	8555	78255	6	86816	1162	18	1180	1
63	63	3	4192631	84250	15811917	226414484	22819605	9442	746	74038	24	0	1	322	9111	1587	14286	58145	1	1	414	9442	74038	6	83486	746	18	764	1
64	64	4	4091388	188102	21137391	230505872	23007707	9329	1722	177027	24	0	1	146	9174	1591	32243	143172	1	1	1021	9329	177027	6	186362	1722	18	1740	1
65	65	5	4506253	141817	18177050	235012125	23149524	10237	1237	130319	24	0	1	145	10083	1556	25855	102887	1	1	692	10237	130319	6	140562	1237	18	1255	1
66	66	6	3238369	29763	5484764	238250494	23179287	7430	293	22016	24	0	1	178	7243	1516	3716	16764	1	1	141	7430	22016	6	29452	293	18	311	1
67	67	7	4715745	149245	20087618	242966239	23328532	11023	1326	136872	24	0	1	296	10718	1436	26930	108485	1	1	764	11023	136872	6	147901	1326	18	1344	1
68	68	8	3527210	76147	7059984	246493449	23404679	8826	857	66440	24	0	1	234	8583	1412	12777	52231	1	1	469	8826	66440	6	75272	857	18	875	1
69	69	9	4179925	211802	16146144	250673374	23616481	9935	2318	199525	24	0	1	249	9677	1426	37658	160420	1	1	1312	9935	199525	6	209466	2318	18	2336	1
70	70	10	4390269	101516	17038668	255063643	23717997	10373	1280	89839	24	0	1	442	9922	1439	18975	69404	1	1	710	10373	89839	6	100218	1280	18	1298	1
71	71	11	3612747	30504	4364901	258676390	23748501	9017	312	21151	24	0	1	120	8889	1392	4359	15381	1	1	159	9017	21151	6	30174	312	18	330	1
72	72	12	3544789	38537	6079990	262221179	23787038	8638	543	29332	24	0	1	157	8472	1405	6823	21084	1	1	294	8638	29332	6	37976	543	18	561	1
73	73	13	4062778	66443	10236613	266283957	23853481	9471	730	56218	24	0	1	88	9375	1410	10692	44096	1	1	395	9471	56218	6	65695	730	18	748	1
74	74	14	3342950	12624	4834818	269626907	23866105	8096	77	4427	24	0	1	57	8031	1398	745	2265	1	1	34	8096	4427	6	12529	77	18	95	1
75	75	15	4195677	116992	17343266	273822584	23983097	9255	991	106722	24	0	1	118	9129	1403	22008	83290	1	1	556	9255	106722	6	115983	991	18	1009	1
76	76	16	4317460	155005	20787044	278140044	24138102	9685	1273	144023	24	0	1	318	9358	1324	26014	116664	1	1	724	9685	144023	6	153714	1273	18	1291	1
77	77	17	3962533	196276	24101682	282102577	24334378	9109	2031	185112	24	0	1	271	8829	1105	38009	145977	1	1	1180	9109	185112	6	194227	2031	18	2049	1
78	78	18	3653738	52128	8172007	285756315	24386506	8767	734	42603	24	0	1	440	8318	1086	10076	31421	1	1	423	8767	42603	6	51376	734	18	752	1
79	79	19	4360662	128490	12511558	290116977	24514996	10425	1804	116237	24	0	1	457	9959	1059	29130	86027	1	1	1016	10425	116237	6	126668	1804	18	1822	1
80	80	20	3641496	72989	9037651	293758473	24587985	9211	869	62885	24	0	1	272	8930	1057	15723	46085	1	1	467	9211	62885	6	72102	869	18	887	1
81	81	21	4854234	137415	13817649	298612707	24725400	11584	1711	124096	24	0	1	198	11377	1064	27686	95325	1	1	968	11584	124096	6	135686	1711	18	1729	1
82	82	22	1633591	4554	2465304	300246298	24729954	3292	45	1193	24	0	1	21	3263	1053	122	1	1	1	18	3292	1193	6	4491	45	18	63	1
83	83	23	3944700	51714	8591533	304190998	24781668	8740	566	42384	24	0	1	366	8365	1012	9303	32049	1	1	304	8740	42384	6	51130	566	18	584	1
84	84	24	5042057	135469	19642751	309233055	24917137	11675	1610	122160	24	0	1	378	11288	1111	26931	94097	1	1	915	11675	122160	6	133841	1610	18	1628	1
85	85	25	3659721	75095	8137427	312892776	24992232	5014	961	69096	24	0	1	242	4763	1119	14327	53630	1	1	529	5014	69096	6	74116	961	18	979	1
