logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions	cf_root	cf_fill	cf_control	cf_total	fc_need	fc_control	fc_total	dir_ok
55	55	25	3977868	9650	4504559	215374229	19935160	8170	23	1264	24	169	1	3	8159	340	174	731	1	1	7	8170	1264	6	9440	23	18	41	1
56	56	26	3977339	9630	4779826	219351568	19944790	8170	23	1244	24	169	1	3	8159	333	172	720	1	1	7	8170	1244	6	9420	23	18	41	1
57	57	27	3991126	11106	8571530	223342694	19955896	8170	23	2720	24	169	1	3	8159	311	355	2035	1	1	7	8170	2720	6	10896	23	18	41	1
58	58	28	3983472	10449	4122761	227326166	19966345	8170	23	2063	24	169	1	3	8159	284	258	1502	1	1	7	8170	2063	6	10239	23	18	41	1
59	59	29	3979695	10118	4645017	231305861	19976463	8170	23	1732	24	169	1	3	8159	269	252	1192	1	1	7	8170	1732	6	9908	23	18	41	1
60	60	0	3987270	10446	5258913	235293131	19986909	8170	23	2060	24	169	1	3	8159	262	264	1515	1	1	7	8170	2060	6	10236	23	18	41	1
61	61	1	3983303	10061	4920585	239276434	19996970	8172	25	1671	24	169	1	3	8161	257	201	1194	1	1	8	8172	1671	6	9849	25	18	43	1
62	62	2	3980301	9841	4810286	243256735	20006811	8170	23	1455	24	169	1	3	8159	247	199	990	1	1	7	8170	1455	6	9631	23	18	41	1
63	63	3	3981283	9839	4914285	247238018	20016650	8170	23	1453	24	169	1	3	8159	231	155	1048	1	1	7	8170	1453	6	9629	23	18	41	1
64	64	4	3989748	10869	5452312	251227766	20027519	8170	23	2483	24	169	1	3	8159	215	355	1894	1	1	7	8170	2483	6	10659	23	18	41	1
65	65	5	3995308	11947	4990805	255223074	20039466	8174	27	3553	24	169	1	3	8163	172	506	2856	1	1	9	8174	3553	6	11733	27	18	45	1
66	66	6	3991417	10849	4715216	259214491	20050315	8180	27	2449	24	169	1	3	8169	156	444	1830	1	1	9	8180	2449	6	10635	27	18	45	1
67	67	7	3978843	9537	4929306	263193334	20059852	8170	23	1151	24	169	1	3	8159	146	172	814	1	1	7	8170	1151	6	9327	23	18	41	1
68	68	8	3978069	9497	5292083	267171403	20069349	8170	23	1111	24	169	1	3	8159	122	172	799	1	1	7	8170	1111	6	9287	23	18	41	1
69	69	9	3977199	9415	4882896	271148602	20078764	8170	23	1029	24	169	1	3	8159	118	169	724	1	1	7	8170	1029	6	9205	23	18	41	1
70	70	10	3978070	9485	8433771	275126672	20088249	8170	23	1099	24	169	1	3	8159	110	173	798	1	1	7	8170	1099	6	9275	23	18	41	1
71	71	11	3978069	9445	10520236	279104741	20097694	8170	23	1059	24	169	1	3	8159	102	149	790	1	1	7	8170	1059	6	9235	23	18	41	1
72	72	12	3984617	10489	4598907	283089358	20108183	8170	23	2103	24	169	1	3	8159	86	342	1657	1	1	7	8170	2103	6	10279	23	18	41	1
73	73	13	3992327	11185	8983087	287081685	20119368	8170	23	2799	24	169	1	3	8159	77	509	2195	1	1	7	8170	2799	6	10975	23	18	41	1
74	74	14	3980080	9524	8745619	291061765	20128892	8170	23	1138	24	169	1	3	8159	1	152	967	1	1	7	8170	1138	6	9314	23	18	41	1
75	75	15	3981159	10130	5481291	295042924	20139022	8170	23	1744	24	169	1	3	8159	1	343	1382	1	1	7	8170	1744	6	9920	23	18	41	1
76	76	16	3982575	9654	4727777	299025499	20148676	8170	23	1268	24	169	1	3	8159	1	184	1065	1	1	7	8170	1268	6	9444	23	18	41	1
77	77	17	3984932	9813	5863758	303010431	20158489	8170	23	1427	24	169	1	3	8159	1	205	1203	1	1	7	8170	1427	6	9603	23	18	41	1
78	78	18	3981491	9676	10312078	306991922	20168165	8170	23	1290	24	169	1	3	8159	1	201	1070	1	1	7	8170	1290	6	9466	23	18	41	1
79	79	19	3980324	9572	5554291	310972246	20177737	8170	23	1186	24	169	1	3	8159	1	182	985	1	1	7	8170	1186	6	9362	23	18	41	1
80	80	20	3980537	10254	5449062	314952783	20187991	8182	33	1846	24	169	1	3	8171	1	305	1522	1	1	12	8182	1846	6	10034	33	18	51	1
81	81	21	3979887	9577	5138554	318932670	20197568	8170	23	1191	24	169	1	3	8159	1	161	1011	1	1	7	8170	1191	6	9367	23	18	41	1
82	82	22	3980447	9671	4979575	322913117	20207239	8170	23	1285	24	169	1	3	8159	1	179	1087	1	1	7	8170	1285	6	9461	23	18	41	1
83	83	23	3986312	10352	5924559	326899429	20217591	8172	25	1962	24	169	1	3	8161	1	303	1640	1	1	8	8172	1962	6	10140	25	18	43	1
