tu	pass	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
2655	3	2004029	7871988956	7344991	15446005	365774032	1233708286	NA	0
2656	3	6572910	7878561866	7345007	15446005	366075299	1234766081	NA	0
2657	3	3576456	7882138322	7345023	15446005	366234221	1235336879	NA	0
2658	3	5937659	7888075981	7345039	15446005	366504637	1236278291	NA	0
2659	3	5258676	7893334657	7345055	15446005	366750155	1237121696	NA	0
2660	3	3933920	7897268577	7345071	15446005	366936966	1237752548	NA	0
2661	3	4009788	7901278365	7345087	15446005	367125480	1238397211	NA	0
2662	3	5365076	7906643441	7345103	15446005	367376474	1239261407	NA	0
2663	3	3855476	7910498917	7345119	15446005	367550404	1239860451	NA	0
2664	3	5658648	7916157565	7345135	15446005	367808007	1240759526	NA	0
2665	3	4427369	7920584934	7345151	15446005	368016691	1241471036	NA	0
2666	3	3511244	7924096178	7345167	15446005	368177023	1242030668	NA	0
2667	3	4067346	7928163524	7345183	15446005	368367813	1242680155	NA	0
2668	3	4183656	7932347180	7345199	15446005	368562416	1243349864	NA	0
2669	3	5805682	7938152862	7345215	15446005	368825600	1244268751	NA	0
2670	3	4353898	7942506760	7345231	15446005	369030559	1244966598	NA	0
2671	3	4100812	7946607572	7345247	15446005	369209201	1245600704	NA	0
2672	3	4401194	7951008766	7345263	15446005	369401279	1246285596	NA	0
2673	3	4461010	7955469776	7345279	15446005	369609687	1247002902	NA	0
2674	3	4155406	7959625182	7345295	15446005	369805065	1247667483	NA	0
2675	3	5241132	7964866314	7345311	15446005	370051295	1248503843	NA	0
2676	3	4936312	7969802626	7345327	15446005	370274075	1249271099	NA	0
2677	3	3950832	7973753458	7345343	15446005	370456276	1249892758	NA	0
2678	3	2931169	7976684627	7345359	15446005	370589232	1250364202	NA	0
2679	3	1688438	7978373065	7345375	15446005	370667731	1250621113	NA	0
2680	3	5268727	7983641792	7345391	15446005	370903747	1251446630	NA	0
2681	3	3982502	7987624294	7345407	15446005	371079256	1252063410	NA	0
2682	3	4195997	7991820291	7345423	15446005	371268445	1252725167	NA	0
2683	3	4582935	7996403226	7345439	15446005	371468819	1253438740	NA	0
2684	3	5334740	8001737966	7345455	15446005	371717314	1254293984	NA	0
2685	3	4315671	8006053637	7345471	15446005	371917792	1254984608	NA	0
2686	3	3702869	8009756506	7345487	15446005	372087553	1255574243	NA	0
2687	3	4337756	8014094262	7345503	16434682	372292050	1256268709	NA	1
2688	3	3960306	8018054568	7345519	16434682	372464460	1256876892	NA	0
2689	3	4585437	8022640005	7345535	16434682	372678970	1257616469	NA	0
2690	3	4801319	8027441324	7345551	16434682	372904356	1258390247	NA	0
2691	3	3966339	8031407663	7345567	16434682	373091142	1259028388	NA	0
2692	3	5927127	8037334790	7345583	16434682	373359821	1259967198	NA	0
2693	3	5807979	8043142769	7345599	16434682	373623754	1260887751	NA	0
2694	3	3325029	8046467798	7345615	16434682	373767199	1261406433	NA	0
2695	3	3926663	8050394461	7345631	16434682	373939589	1262010306	NA	0
2696	3	5514995	8055909456	7345647	16434682	374198518	1262895458	NA	0
2697	3	5063745	8060973201	7345663	16434682	374435986	1263707630	NA	0
2698	3	3389531	8064362732	7345679	16434682	374590521	1264246651	NA	0
2699	3	3970700	8068333432	7345695	16434682	374770136	1264866981	NA	0
2700	3	3304528	8071637960	7345711	16434682	374924550	1265410153	NA	0
2701	3	4952868	8076590828	7345727	16434682	375149549	1266189700	NA	0
2702	3	5004357	8081595185	7345743	16434682	375374832	1266973142	NA	0
2703	3	3999060	8085594245	7345759	16434682	375563601	1267617331	NA	0
2704	3	2159102	8087753347	7345775	16434682	375659573	1267942794	NA	0
2705	3	2069876	8089823223	7345791	16434682	375753342	1268267457	NA	0
2706	3	2209656	8092032879	7345807	16434682	375853134	1268615951	NA	0
2707	3	2179436	8094212315	7345823	16434682	375952037	1268957718	NA	0
2708	3	1818393	8096030708	7345839	16434682	376036767	1269238433	NA	0
2709	3	2102699	8098133407	7345855	16434682	376132479	1269569077	NA	0
2710	3	2166499	8100299906	7345871	16434682	376230684	1269907779	NA	0
2711	3	2105967	8102405873	7345887	16434682	376326402	1270236289	NA	0
2712	3	2187660	8104593533	7345903	16434682	376425201	1270577163	NA	0
2713	3	2065749	8106659282	7345919	16434682	376519849	1270903986	NA	0
2714	3	2079620	8108738902	7345935	16434682	376614853	1271228865	NA	0
2715	3	2052892	8110791794	7345951	16434682	376709291	1271554019	NA	0
2716	3	1976277	8112768071	7345967	16434682	376799782	1271864264	NA	0
2717	3	2063528	8114831599	7345983	16434682	376894890	1272191112	NA	0
2718	3	2053479	8116885078	7345999	16434682	376989540	1272516394	NA	0
2719	3	2050152	8118935230	7346015	16434682	377083739	1272840132	NA	0
2720	3	1886986	8120822216	7346031	16434682	377170890	1273136383	NA	0
2721	3	1977267	8122799483	7346047	16434682	377261394	1273446400	NA	0
2722	3	2212855	8125012338	7346063	16434682	377362547	1273794984	NA	0
2723	3	1973876	8126986214	7346079	16434682	377452916	1274104693	NA	0
2724	3	1984542	8128970756	7346095	16434682	377543880	1274416251	NA	0
2725	3	2087488	8131058244	7346111	16434682	377638426	1274739448	NA	0
2726	3	1888594	8132946838	7346127	16434682	377723835	1275031439	NA	0
2727	3	2256196	8135203034	7346143	16434682	377826358	1275387458	NA	0
2728	3	2075361	8137278395	7346159	16434682	377921580	1275715953	NA	0
2729	3	1043816	8138322211	7346175	16434682	377969124	1275872829	NA	0
2730	3	2254339	8140576550	7346191	16434682	378071578	1276228614	NA	0
2731	3	2207387	8142783937	7346207	16434682	378172334	1276575577	NA	0
2732	3	2132775	8144916712	7346223	16434682	378269239	1276908626	NA	0
2733	3	2117265	8147033977	7346239	16434682	378365520	1277239940	NA	0
2734	3	2052386	8149086363	7346255	16434682	378459745	1277564515	NA	0
2735	3	2791252	8151877615	7346271	16434682	378584162	1277996540	NA	0
2736	3	2166312	8154043927	7346287	16434682	378682227	1278333609	NA	0
2737	3	2131740	8156175667	7346303	16434682	378778700	1278665385	NA	0
2738	3	2178590	8158354257	7346319	16434682	378877372	1279005317	NA	0
2739	3	2676743	8161031000	7346335	16434682	378997671	1279422092	NA	0
2740	3	2020135	8163051135	7346351	16434682	379090291	1279740398	NA	0
2741	3	2594363	8165645498	7346367	16434682	379206472	1280142330	NA	0
2742	3	2105899	8167751397	7346383	16434682	379302457	1280472339	NA	0
2743	3	2172547	8169923944	7346399	16434682	379400927	1280811858	NA	0
2744	3	2704680	8172628624	7346415	16434682	379521876	1281232059	NA	0
2745	3	2283855	8174912479	7346431	16434682	379625578	1281591686	NA	0
2746	3	2065650	8176978129	7346447	16434682	379720664	1281918868	NA	0
