tu	pass	raw	cumulative_raw	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	grz2_group_closes
166	4	4901797	455373779	926078	662660	21354386	70494909	NA	0
167	4	3311713	458685492	926093	662660	21504889	71020854	NA	0
168	4	3312945	461998437	926108	662660	21648070	71517973	NA	0
169	4	3130877	465129314	926123	662660	21790279	72026044	NA	0
170	4	2928089	468057403	926138	662660	21921613	72494214	NA	0
171	4	2217916	470275319	926153	662660	22020386	72850948	NA	0
172	4	2291136	472566455	926168	662660	22125939	73206563	NA	0
173	4	2148194	474714649	926183	662660	22221901	73553071	NA	0
174	4	3373438	478088087	926198	662660	22368636	74061653	NA	0
175	4	3403824	481491911	926213	662660	22520207	74593637	NA	0
176	4	1376778	482868689	926228	662660	22581123	74806424	NA	0
177	4	3051811	485920500	926243	662660	22719875	75290546	NA	0
178	4	3199257	489119757	926258	662660	22861455	75783178	NA	0
179	4	2122398	491242155	926273	662660	22955668	76124928	NA	0
180	4	2291136	493533291	926288	662660	23061221	76480543	NA	0
181	4	1555026	495088317	926303	662660	23132782	76725284	NA	0
182	4	3827792	498916109	926318	662660	23296856	77281989	NA	0
183	4	2812277	501728386	926333	662660	23424989	77726516	NA	0
184	4	3244042	504972428	926348	662660	23565729	78208976	NA	0
185	4	3130877	508103305	926363	662660	23707938	78717047	NA	0
186	4	3313928	511417233	926378	662660	23855318	79245432	NA	0
187	4	2217916	513635149	926393	662660	23954091	79602166	NA	0
188	4	2291136	515926285	926408	662660	24059644	79957781	NA	0
189	4	2148194	518074479	926423	662660	24155606	80304289	NA	0
190	4	3659517	521733996	926438	662660	24322560	80866129	NA	0
191	4	3051811	524785807	926453	662660	24461312	81350251	NA	0
192	4	2291136	527076943	926468	662660	24566865	81705866	NA	0
193	4	1555026	528631969	926483	662660	24638426	81950607	NA	0
194	4	3130877	531762846	926498	662660	24780635	82458678	NA	0
195	4	2217916	533980762	926513	662660	24879408	82815412	NA	0
196	4	2291136	536271898	926528	662660	24984961	83171027	NA	0
197	4	3256665	539528563	926543	662660	25132184	83700576	NA	0
198	4	2148194	541676757	926558	662660	25228146	84047084	NA	0
199	4	3723571	545400328	926594	663610	25396861	84618736	NA	1
