group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	closed_by	end_offset
242	242	243	1709466	0	145	11789.42	0	285100576	tu	462206
243	243	244	1450567	0	145	10003.91	0	286810042	tu	462351
244	244	245	1530552	0	145	10555.53	0	288260609	tu	462496
245	245	246	1025043	0	145	7069.26	0	289791161	tu	462641
246	246	247	1093945	0	145	7544.45	0	290816204	tu	462786
247	247	248	764286	181	327	2337.27	0	291910149	tu	463113
248	248	249	1509484	0	145	10410.23	0	292674435	tu	463258
249	249	250	764286	181	327	2337.27	0	294183919	tu	463585
250	250	251	1419168	0	145	9787.37	0	294948205	tu	463730
251	251	252	764286	181	327	2337.27	0	296367373	tu	464057
252	252	253	1490855	0	145	10281.76	0	297131659	tu	464202
253	253	254	764286	181	327	2337.27	0	298622514	tu	464529
254	254	255	1110682	0	145	7659.88	0	299386800	tu	464674
255	255	256	764286	181	327	2337.27	0	300497482	tu	465001
256	256	257	1880684	0	145	12970.23	0	301261768	tu	465146
257	257	258	764286	181	327	2337.27	0	303142452	tu	465473
258	258	259	1481788	0	145	10219.23	0	303906738	tu	465618
259	259	260	764286	181	327	2337.27	0	305388526	tu	465945
260	260	261	1283114	0	145	8849.06	0	306152812	tu	466090
261	261	262	764286	181	327	2337.27	0	307435926	tu	466417
262	262	263	1196938	0	145	8254.74	0	308200212	tu	466562
263	263	264	764286	181	327	2337.27	0	309397150	tu	466889
264	264	265	1501133	0	145	10352.64	0	310161436	tu	467034
265	265	266	764286	181	327	2337.27	0	311662569	tu	467361
266	266	267	1895521	0	145	13072.56	0	312426855	tu	467506
267	267	268	764286	181	327	2337.27	0	314322376	tu	467833
268	268	269	1430203	0	145	9863.47	0	315086662	tu	467978
269	269	270	764286	181	327	2337.27	0	316516865	tu	468305
270	270	271	1094923	0	145	7551.19	0	317281151	tu	468450
271	271	272	764286	181	327	2337.27	0	318376074	tu	468777
272	272	273	1453058	0	145	10021.09	0	319140360	tu	468922
273	273	274	764286	181	327	2337.27	0	320593418	tu	469249
274	274	275	1893180	0	145	13056.41	0	321357704	tu	469394
275	275	276	764286	181	327	2337.27	0	323250884	tu	469721
276	276	277	1451914	0	145	10013.20	0	324015170	tu	469866
277	277	278	764286	181	327	2337.27	0	325467084	tu	470193
278	278	279	1629581	0	145	11238.49	0	326231370	tu	470338
279	279	280	764286	181	327	2337.27	0	327860951	tu	470665
280	280	281	1631687	0	145	11253.01	0	328625237	tu	470810
281	281	282	764286	181	327	2337.27	0	330256924	tu	471137
282	282	283	1451577	0	145	10010.88	0	331021210	tu	471282
283	283	284	764286	181	327	2337.27	0	332472787	tu	471609
284	284	285	1454020	0	145	10027.72	0	333237073	tu	471754
285	285	286	764286	181	327	2337.27	0	334691093	tu	472081
286	286	287	1783268	0	145	12298.40	0	335455379	tu	472226
287	287	288	1310665	0	145	9039.07	0	337238647	build	472371
