pass	tu_ord	region_count	root_tokens	blocks_after	new_blocks	max_depth	deep_refs	root_raw	root_z1	root_z3	root_z6	changed	tok_per_reg
0	115	4804	186	13764	46	11	177	558	425	425	425	0	0.0387
0	116	4804	159	13810	71	12	152	477	375	375	375	0	0.0331
0	117	4804	119	13881	12	12	114	357	282	282	282	0	0.0248
0	118	5225	598	13893	120	10	336	1794	1354	1354	1354	0	0.1144
0	119	5217	296	14013	61	12	191	888	688	688	688	0	0.0567
0	120	4903	470	14074	57	12	296	1410	1084	1084	1084	0	0.0959
0	121	4869	479	14131	61	10	332	1437	1113	1113	1113	0	0.0984
0	122	5898	607	14192	86	10	454	1821	1381	1381	1381	0	0.1029
0	123	4305	141	14278	17	12	114	423	361	361	361	0	0.0328
0	124	4306	390	14295	27	10	281	1170	944	944	944	0	0.0906
0	125	4141	96	14322	7	13	72	288	245	245	245	0	0.0232
0	126	4294	99	14329	30	13	82	297	261	261	261	0	0.0231
0	127	2380	44	14359	1	13	37	132	131	131	131	0	0.0185
0	128	5784	430	14360	53	11	371	1290	981	981	981	0	0.0743
0	129	5353	475	14413	37	13	286	1425	1089	1089	1089	0	0.0887
0	130	4817	169	14450	31	11	134	507	441	441	441	0	0.0351
0	131	4804	135	14481	11	11	125	405	329	329	329	0	0.0281
0	132	4820	143	14492	21	11	118	429	341	341	341	0	0.0297
0	133	4828	232	14513	24	12	156	696	582	582	582	0	0.0481
0	134	4792	98	14537	16	13	83	294	259	257	257	0	0.0205
0	135	4804	108	14553	47	12	103	324	264	264	264	0	0.0225
0	136	4804	83	14600	11	12	79	249	203	203	203	0	0.0173
0	137	4806	77	14611	12	12	72	231	183	183	183	0	0.0160
0	138	4784	72	14623	22	13	67	216	182	182	182	0	0.0151
0	139	4788	62	14645	4	14	53	186	165	165	165	0	0.0129
0	140	4795	200	14649	68	12	167	600	497	497	497	0	0.0417
0	141	4788	57	14717	14	14	48	171	160	160	160	0	0.0119
0	142	4808	64	14731	7	13	57	192	159	159	159	0	0.0133
0	143	5203	386	14738	35	14	248	1158	897	897	897	0	0.0742
0	144	5667	439	14773	113	13	351	1317	1014	1014	1014	0	0.0775
0	145	4784	60	14886	3	14	54	180	168	168	168	0	0.0125
0	146	5072	213	14889	6	14	107	639	510	510	510	0	0.0420
0	147	4788	58	14895	4	14	48	174	164	164	164	0	0.0121
0	148	5015	261	14899	35	12	183	783	623	623	623	0	0.0520
0	149	4804	75	14934	23	13	71	225	193	193	193	0	0.0156
0	150	4804	61	14957	15	13	57	183	172	172	172	0	0.0127
0	151	4804	51	14972	2	13	48	153	138	138	138	0	0.0106
0	152	5225	408	14974	68	12	312	1224	945	945	945	0	0.0781
0	153	5217	173	15042	54	14	142	519	434	434	434	0	0.0332
0	154	4903	329	15096	45	14	223	987	770	770	770	0	0.0671
0	155	4869	343	15141	42	12	223	1029	808	808	808	0	0.0704
0	156	5898	419	15183	110	12	305	1257	981	981	981	0	0.0710
0	157	4305	91	15293	4	15	71	273	250	250	250	0	0.0211
0	158	4306	309	15297	40	13	216	927	761	761	761	0	0.0718
0	159	6343	785	15337	48	14	316	2355	1731	1731	1732	0	0.1238
0	160	5996	1097	15385	37	13	368	3291	2359	2359	2359	0	0.1830
0	161	5858	1016	15422	82	11	355	3048	2200	2201	2199	0	0.1734
0	162	5700	735	15504	100	13	273	2205	1584	1585	1585	0	0.1289
0	163	3791	549	15604	202	10	231	1647	1253	1253	1253	0	0.1448
0	164	6013	794	15806	148	13	345	2382	1714	1714	1714	0	0.1320
0	165	3042	162	15954	21	10	111	486	424	424	424	0	0.0533
0	166	5209	293	15975	32	13	245	879	657	657	657	0	0.0562
0	167	4932	148	16007	34	14	139	444	365	365	365	0	0.0300
0	168	6175	627	16041	74	12	481	1881	1351	1351	1351	0	0.1015
0	169	5737	773	16115	143	12	558	2319	1757	1757	1757	0	0.1347
0	170	5809	584	16258	66	14	444	1752	1311	1311	1311	0	0.1005
0	171	3014	49	16324	4	14	40	147	149	149	149	0	0.0163
0	172	5836	514	16328	79	14	345	1542	1136	1136	1136	0	0.0881
0	173	3042	69	16407	12	14	49	207	205	205	205	0	0.0227
0	174	5809	391	16419	53	14	257	1173	883	883	883	0	0.0673
0	175	4935	93	16472	15	14	84	279	250	250	250	0	0.0188
0	176	5711	552	16487	63	14	393	1656	1283	1283	1283	0	0.0967
0	177	5694	474	16550	52	14	377	1422	1095	1095	1095	0	0.0832
0	178	138	52	16602	1	8	19	156	165	165	165	0	0.3768
0	179	89	25	16603	3	9	7	75	84	84	84	0	0.2809
0	180	138	49	16606	5	9	20	147	151	151	151	0	0.3551
0	181	307	142	16611	4	7	81	426	379	379	379	0	0.4625
0	182	394	177	16615	11	9	94	531	452	452	452	0	0.4492
0	183	92	21	16626	0	9	10	63	72	72	72	0	0.2283
0	184	142	49	16626	0	6	21	147	144	144	144	0	0.3451
0	185	395	206	16626	73	9	69	618	506	506	507	0	0.5215
0	186	148	46	16699	4	9	15	138	123	129	129	0	0.3108
0	187	448	217	16703	13	9	59	651	487	489	489	0	0.4844
0	188	1051	502	16716	6	9	235	1506	1090	1090	1090	0	0.4776
0	189	1073	520	16722	5	9	231	1560	1138	1141	1141	0	0.4846
0	190	917	364	16727	49	10	226	1092	805	805	805	0	0.3969
0	191	1218	639	16776	244	10	221	1917	1351	1351	1333	0	0.5246
0	192	989	284	17020	4	10	165	852	617	617	617	0	0.2872
0	193	1037	328	17024	13	10	165	984	693	659	636	0	0.3163
0	194	886	178	17037	23	11	161	534	402	402	402	0	0.2009
0	195	240	98	17060	11	11	28	294	239	239	239	0	0.4083
0	196	949	215	17071	115	11	152	645	485	485	485	0	0.2266
0	197	950	157	17186	4	11	96	471	370	370	370	0	0.1653
0	198	135	32	17190	6	7	18	96	105	105	105	0	0.2370
0	199	1210	458	17196	19	12	130	1374	990	990	990	0	0.3785
0	200	1040	289	17215	124	12	111	867	649	649	649	0	0.2779
0	201	148	22	17339	1	12	9	66	75	75	75	0	0.1486
0	202	818	116	17340	4	8	93	348	309	309	309	0	0.1418
0	203	907	118	17344	9	8	98	354	295	295	295	0	0.1301
0	204	827	79	17353	27	12	65	237	191	191	191	0	0.0955
0	205	320	54	17380	4	7	31	162	157	157	157	0	0.1688
0	206	1037	222	17384	29	12	88	666	489	488	487	0	0.2141
0	207	182	42	17413	2	12	12	126	119	119	119	0	0.2308
0	208	137	14	17415	2	12	5	42	51	51	51	0	0.1022
0	209	489	240	17417	4	7	50	720	536	536	536	0	0.4908
0	210	2930	454	17421	32	11	296	1362	1067	1067	1067	0	0.1549
0	211	1716	317	17453	4	11	74	951	707	707	707	0	0.1847
0	212	90	24	17457	1	7	7	72	81	81	81	0	0.2667
0	213	2329	342	17458	11	11	229	1026	838	838	838	0	0.1468
0	214	1953	384	17469	89	7	260	1152	940	940	940	0	0.1966
0	215	1489	126	17558	11	10	94	378	344	344	344	0	0.0846
0	216	5028	153	17569	23	15	122	459	385	385	385	0	0.0304
0	217	5996	509	17592	94	15	248	1527	1131	1131	1135	0	0.0849
0	218	5858	495	17686	159	14	220	1485	1099	1102	1103	0	0.0845
0	219	5700	197	17845	36	14	172	591	452	452	452	0	0.0346
0	220	3791	292	17881	39	11	197	876	707	707	707	0	0.0770
0	221	6013	387	17920	33	14	206	1161	884	886	886	0	0.0644
0	222	3042	138	17953	20	12	98	414	366	366	366	0	0.0454
0	223	5209	117	17973	11	14	87	351	307	307	307	0	0.0225
0	224	4932	64	17984	12	14	56	192	183	183	183	0	0.0130
0	225	6175	333	17996	17	14	279	999	746	746	746	0	0.0539
0	226	5737	390	18013	62	12	302	1170	918	918	918	0	0.0680
0	227	5809	424	18075	107	12	330	1272	972	972	972	0	0.0730
0	228	3014	118	18182	4	11	106	354	308	308	308	0	0.0392
0	229	5836	335	18186	24	14	207	1005	768	768	768	0	0.0574
0	230	3042	110	18210	52	11	90	330	297	297	297	0	0.0362
0	231	5809	252	18262	33	15	147	756	600	600	600	0	0.0434
0	232	4935	89	18295	7	15	80	267	244	244	244	0	0.0180
0	233	5711	434	18302	44	13	332	1302	1030	1030	1030	0	0.0760
0	234	5694	371	18346	162	11	296	1113	882	882	882	0	0.0652
0	235	138	27	18508	1	12	10	81	90	90	90	0	0.1957
0	236	89	10	18509	0	12	2	30	39	39	39	0	0.1124
0	237	138	26	18509	1	12	11	78	87	87	87	0	0.1884
0	238	307	53	18510	6	7	37	159	159	159	159	0	0.1726
0	239	394	86	18516	23	12	41	258	242	242	242	0	0.2183
0	240	92	13	18539	0	12	2	39	48	48	48	0	0.1413
0	241	142	33	18539	2	7	13	99	102	108	108	0	0.2324
0	242	395	105	18541	6	12	32	315	272	272	272	0	0.2658
0	243	148	33	18547	4	12	12	99	108	108	108	0	0.2230
0	244	448	152	18551	13	12	31	456	352	352	352	0	0.3393
0	245	1051	165	18564	2	12	118	495	384	384	384	0	0.1570
0	246	1073	187	18566	4	12	118	561	438	438	438	0	0.1743
0	247	917	85	18570	9	12	64	255	205	205	205	0	0.0927
0	248	1218	379	18579	54	12	55	1137	767	767	753	0	0.3112
0	249	989	125	18633	6	12	44	375	299	299	299	0	0.1264
0	250	1037	167	18639	3	12	47	501	360	339	316	0	0.1610
0	251	886	41	18642	7	12	32	123	110	110	110	0	0.0463
0	252	240	81	18649	1	12	19	243	194	194	194	0	0.3375
0	253	949	75	18650	21	12	44	225	192	192	192	0	0.0790
0	254	950	70	18671	10	12	38	210	191	191	191	0	0.0737
0	255	135	22	18681	4	7	14	66	75	75	75	0	0.1630
0	256	1210	335	18685	53	13	149	1005	746	746	746	0	0.2769
0	257	1040	166	18738	76	13	112	498	397	397	397	0	0.1596
0	258	148	19	18814	1	12	8	57	66	66	66	0	0.1284
0	259	818	78	18815	14	10	64	234	215	215	215	0	0.0954
0	260	907	76	18829	5	10	60	228	202	202	202	0	0.0838
0	261	827	51	18834	21	12	38	153	146	146	146	0	0.0617
0	262	320	37	18855	1	8	16	111	113	113	113	0	0.1156
0	263	1037	164	18856	12	12	57	492	385	382	381	0	0.1581
0	264	182	38	18868	4	12	10	114	113	113	113	0	0.2088
0	265	137	12	18872	0	12	4	36	45	45	45	0	0.0876
0	266	489	214	18872	1	7	35	642	473	473	473	0	0.4376
0	267	2930	350	18873	54	9	238	1050	817	817	817	0	0.1195
0	268	1716	301	18927	4	11	86	903	667	667	667	0	0.1754
0	269	90	21	18931	4	8	5	63	72	72	72	0	0.2333
0	270	2329	245	18935	68	9	196	735	599	599	599	0	0.1052
0	271	1953	301	19003	47	9	227	903	730	730	730	0	0.1541
0	272	1489	94	19050	5	11	77	282	253	253	253	0	0.0631
0	273	5028	174	19055	9	15	145	522	435	435	435	0	0.0346
0	274	5844	315	19064	77	15	200	945	744	744	744	0	0.0539
0	275	5882	321	19141	29	16	188	963	752	752	752	0	0.0546
0	276	5830	523	19170	43	11	359	1569	1219	1219	1219	0	0.0897
0	277	5679	388	19213	23	14	232	1164	902	902	902	0	0.0683
0	278	5584	368	19236	49	14	269	1104	880	880	880	0	0.0659
0	279	5131	480	19285	108	10	361	1440	1149	1149	1149	0	0.0935
0	280	5131	416	19393	62	11	320	1248	977	977	977	0	0.0811
0	281	4713	609	19455	44	11	250	1827	1372	1372	1378	0	0.1292
0	282	5545	450	19499	41	11	212	1350	1035	1035	1035	0	0.0812
0	283	4481	471	19540	66	11	202	1413	1058	1058	1061	0	0.1051
0	284	485	169	19606	20	8	47	507	415	418	418	0	0.3485
0	285	1109	289	19626	20	9	77	867	657	661	661	0	0.2606
0	286	995	164	19646	23	9	75	492	404	404	407	0	0.1648
0	287	491	118	19669	26	8	56	354	300	302	302	0	0.2403
0	288	452	93	19695	10	9	46	279	237	237	237	0	0.2058
0	289	821	457	19705	20	9	43	1371	933	938	938	0	0.5566
0	290	434	63	19725	2	9	36	189	166	166	166	0	0.1452
0	291	523	139	19727	15	9	46	417	340	340	340	0	0.2658
0	292	10	7	19742	0	2	1	21	30	30	30	0	0.7000
0	293	506	117	19742	14	10	41	351	291	294	294	0	0.2312
0	294	463	80	19756	8	10	27	240	189	189	189	0	0.1728
0	295	353	25	19764	1	10	15	75	80	80	80	0	0.0708
0	296	1153	208	19765	14	10	67	624	483	483	483	0	0.1804
0	297	458	53	19779	5	10	34	159	144	144	144	0	0.1157
0	298	467	57	19784	5	10	33	171	151	151	151	0	0.1221
0	299	793	93	19789	7	11	50	279	253	253	253	0	0.1173
0	300	479	67	19796	1	11	22	201	173	173	173	0	0.1399
0	301	426	29	19797	4	11	13	87	90	90	90	0	0.0681
0	302	550	142	19801	5	9	44	426	336	336	336	0	0.2582
0	303	541	119	19806	7	11	25	357	288	288	288	0	0.2200
0	304	503	80	19813	1	12	22	240	202	205	205	0	0.1590
0	305	361	22	19814	0	12	9	66	75	75	75	0	0.0609
0	306	471	45	19814	3	12	19	135	128	128	128	0	0.0955
0	307	441	40	19817	1	12	7	120	108	108	108	0	0.0907
0	308	670	268	19818	3	12	9	804	542	542	542	0	0.4000
